 nx ny nz cryst_bool x_ev y_ev z_ev
0 0 0 0 0.6260738458206329 -0.920879110220718 -0.07668892934138938 0.38223091512274376
1 0 0 1 0.9793925811468219 -0.9480642948343789 -0.026922211398478946 0.316937355629796
2 0 0 2 0.7668478296777325 -0.977127956283481 0.02668741569564323 0.21097094324279825
3 0 0 3 0.6050225943761312 0.8603547476693922 -0.29947364208119553 0.41243817216809664
4 0 0 4 0.9847466298947553 0.8155447402730704 -0.368410267089774 0.4462741889419233
5 0 0 5 0.9815933553508024 0.8011983776651254 -0.413375082992144 0.43266869587249923
6 0 0 6 0.9900251418510395 0.7752186382829586 -0.4427454121144253 0.45056915441510553
7 0 0 7 0.9434907611383502 0.8175577833015907 -0.4571669764698645 0.35013943877888365
8 0 0 8 0.681624984149565 0.8023790095852816 -0.5378584108909079 0.2586431031573229
9 0 0 9 0.34367891840886616 0.4692392956883959 0.2957585742298421 0.832070519337988
10 0 0 10 0.8716835630958175 0.2602444153464147 0.35017024444130795 0.8998075595308797
11 0 0 11 0.9822973135241544 0.3018247980031399 0.19688635111816422 0.9328116401791626
12 0 0 12 0.9825448069552627 0.2577185197933921 0.1153023608398035 0.9593156571954148
13 0 0 13 0.9843741986587402 0.28033169560164994 0.07052423497572258 0.9573089745334009
14 0 0 14 0.8574878105809514 0.2797171405441792 0.05160925700578323 0.9586943234822549
15 0 0 15 0.2868692924789737 0.4657937337701244 -0.8402455959454426 0.2775311443329821
16 0 0 16 0.3371391544460484 0.29771251206452676 -0.9546437770671169 0.004745425930064773
17 0 0 17 0.242681698815248 -0.7939036386334622 -0.5862410112089356 0.1613644612090092
18 0 0 18 0.19000192787182982 -0.46401574139160584 -0.1654181716983737 0.8702449196707591
19 0 0 19 0.14181749485770867 -0.4243312942530947 -0.8542430043083161 0.30035286299250813
20 0 0 20 0.5718161797483112 -0.48430806307792285 -0.838598171850068 0.24939688491926773
21 0 0 21 0.8516676137904299 -0.3976017982320089 -0.8292307711862453 0.3927965607799254
22 0 0 22 0.2552669674122136 0.41051637267390956 0.5701324845052825 0.7116356215637951
23 0 0 23 0.6921649018371082 0.40821331575880226 0.5993608592395789 0.6885698579293149
24 0 0 24 0.5382380317482649 0.9646442586237712 0.07613883427587936 0.2523179189421646
25 0 0 25 0.7643719434731946 -0.8753251116554783 0.2259567890500066 0.42749207991205523
26 0 0 26 0.9811153388189047 -0.9113896124399579 -0.04414993361901254 0.40916959527557795
27 0 0 27 0.9831355875456003 -0.9205258981183957 -0.02696501173810245 0.38974986726782224
