r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
24.1993   514932   -0.0115604   -0.0220678   0.0100231
24.2838   91450   0.0147171   -0.105998   0.0425946
24.368   366432   -0.011741   0.00388665   -0.0228345
24.4518   227140   -0.015654   0.00412247   -0.0364216
24.6188   136936   -0.0159927   0.00613454   0.0216715
24.7018   320322   -0.0142206   0.0215494   -0.0355244
24.7845   181778   -0.00950436   0.0330326   0.0305275
24.867   183142   -0.026303   0.00540567   0.0718816
25.0312   181118   -0.00395678   -0.0739847   -0.0688613
25.1128   182006   -0.0175176   -0.0438685   -0.0322439
25.2754   90830   0.00952379   0.0253916   -0.0462424
25.3562   364826   -0.0184577   -0.00589793   -0.0133063
25.4369   228128   -0.0205542   0.0132361   0.00735363
25.5172   45556   -0.0105139   -0.0173916   0.0781898
25.5974   227242   -0.0111482   -0.0322645   -0.00177258
25.6772   182946   -0.0200216   0.0115843   -0.0179122
25.7568   229776   -0.0266644   -0.0584535   -0.00946839
25.9154   91026   -0.0173143   -0.011126   0.0109742
25.9942   226790   0.000405354   0.0118593   -0.115482
26.0729   366432   -0.00316245   0.0503977   -0.0378808
26.1513   228374   -0.0102883   -0.0438824   -0.00664752
26.2295   46408   -0.0341644   0.067008   -0.154533
26.3074   364836   -0.0113022   -0.0078026   -0.0122247
26.3852   275170   -0.0118318   -0.0416327   -0.00810747
26.5399   45400   -0.021929   0.0778447   -0.0182643
26.6169   92258   -0.0148559   -0.0522639   -0.104892
26.6938   228002   -0.00663306   -0.0235094   -0.0355911
26.7704   229362   -0.0139284   -0.0159953   -0.00299614
26.8467   183210   -0.0150043   0.0210189   -0.0691961
26.9229   275726   -0.0141859   -0.0612159   -0.00494303
26.9988   273560   -0.0146428   -0.0403956   -0.010523
27.1501   91112   -0.0142191   -0.0442359   -0.0298842
27.2254   458934   -0.0131969   0.00850069   -0.0186325
27.3005   273080   -0.0119101   -0.0270225   0.0429131
27.3754   90750   -0.0220701   -0.0330299   -0.0418006
27.5246   364540   -0.0201421   -0.036194   -0.0105482
27.5989   91128   -0.0257851   -0.0042778   -0.0130529
27.7469   15574   -0.03671   -0.0780376   0.0530467
27.8206   138110   -0.0119413   -0.0117784   -0.0427888
27.8941   503960   -0.0165535   -0.0403098   -0.0446621
27.9674   320746   -0.0143871   -0.0129217   -0.0474756
28.0405   274356   -0.00593288   -0.0562057   -0.0276008
28.1134   230026   -0.012918   0.00582582   0.0170404
28.2587   230186   -0.00490222   0.0568355   -0.0131105
28.3311   273598   -0.0104729   -0.0431282   -0.0194322
28.4033   181782   -0.0127722   -0.0107999   0.0310969
28.4753   181450   -0.0126729   -0.0187484   0.0239912
28.5471   91326   -0.00184509   -0.0490197   -0.0146707
28.6187   275940   -0.00381819   -0.0131305   0.0134305
28.6902   458900   -0.0162149   -0.0178595   0.0198903
28.8326   91128   0.00239949   0.0072624   -0.0164061
28.9035   456542   -0.0161732   0.00717238   -0.0289482
28.9742   183038   -0.0332154   -0.0757906   0.0333567
29.0448   137610   -0.0284581   0.00104622   -0.0253369
29.1152   183196   -0.000153544   -0.0351139   0.0287928
29.1855   184502   -0.015004   -0.0834934   -0.0877487
29.2556   136316   -0.017376   -0.0658863   0.0220585
29.3952   182382   -0.0223408   0.00186003   -0.0225048
29.4648   183196   -0.0312952   0.0367189   0.0156954
29.5342   275060   -0.0234321   -0.0222521   -0.0137315
29.6034   184616   -0.0202543   0.0181147   -0.0419762
29.7414   456812   -0.0155687   -0.00400192   -0.0174762
29.8102   274512   -0.00600191   0.0371284   0.0227288
29.9473   90888   -0.0368021   0.0104531   -0.00224827
30.0156   364648   -0.00499891   -0.0421529   -0.0297152
30.0837   228642   0.00386527   -0.0594252   -0.0183213
30.1517   227970   -0.0191168   0.00282219   0.00344962
30.2195   91298   -0.0298375   -0.091377   -0.0276371
30.2872   275082   -0.0108141   0.0530807   -0.0431558
30.3547   456602   -0.0196347   -0.0354158   -0.0315523
30.4893   92738   0.00846595   0.0626117   -0.0182875
30.5564   321272   -0.00949609   -0.00327496   0.00603111
30.6234   457364   -0.0161779   0.00885925   0.00620524
30.6902   91352   0.0115739   -0.0444568   0.0484301
30.7568   137652   -0.0198832   0.035846   0.101407
30.8233   272858   -0.0236827   -0.024864   -0.0100244
30.8897   182630   -0.0176601   -0.0458757   0.0718079
31.0879   319652   -0.018955   -0.0171702   0.0449592
31.1537   274232   -0.0134323   0.0738088   -0.0372851
31.2193   381062   -0.0219639   0.00920281   0.0498313
31.2849   366628   -0.00758296   -0.0641668   -0.0112892
31.3502   273914   -0.0190326   -0.0328395   -0.0154365
31.4806   181598   -0.0208757   0.00365192   0.0641672
31.5456   274848   -0.02729   -0.0455433   -0.0529831
31.6104   365498   -0.00863786   -0.0772023   -0.000558443
31.6751   320412   -0.0116977   -0.0276623   -0.0276715
31.8041   90400   -0.0178676   0.0124716   0.0546319
31.8685   367866   -0.0215097   -0.0112526   -0.00508667
31.9967   45514   0.0342724   0.120883   -0.0510031
32.0606   410656   -0.0208742   0.0282257   -0.0284226
32.1244   181870   -0.0217272   -0.0676875   -0.0289808
32.1881   182204   -0.0181973   -0.0818279   0.0761834
32.2517   272742   0.000754236   0.0453874   0.0460054
