k tiecount  Rex2  Rey2  Rez2  Ree2 
3 567 0.683914 0.579424 0.65278 1.91612
4 555 1.13134 1.13784 1.04121 3.31039
5 684 1.76035 1.54518 1.44097 4.7465
6 539 1.91147 2.1504 2.14135 6.20322
7 512 2.52497 2.61398 2.57478 7.71373
8 424 3.08383 3.28954 3.16736 9.54072
9 411 3.86975 3.97642 3.55172 11.3979
10 393 4.64352 4.42623 4.84113 13.9109
11 352 4.79922 5.17929 5.32842 15.3069
12 316 5.912 6.14578 5.724 17.7818
13 320 6.68874 6.78868 6.0776 19.555
14 249 6.91854 7.05387 6.86915 20.8416
15 233 7.08628 8.19157 8.74478 24.0226
16 201 9.2651 8.39879 9.84675 27.5106
17 227 10.552 8.82264 8.87048 28.2451
18 193 9.20043 11.4753 10.5935 31.2693
19 190 12.3113 12.1044 10.0761 34.4919
20 163 12.5938 12.4974 10.9095 36.0007
21 129 13.1126 12.2408 13.1927 38.5461
22 141 12.7334 13.0017 13.0624 38.7976
23 124 15.3145 12.2166 12.3781 39.9092
24 105 17.392 16.1376 14.382 47.9116
25 111 15.0785 14.5705 16.4962 46.1452
26 101 13.3673 17.7246 17.3698 48.4616
27 75 17.8946 14.8336 19.1893 51.9175
28 72 18.2406 16.7033 17.6633 52.6071
29 70 18.0906 21.2046 18.5218 57.8169
30 55 21.4305 16.8605 19.9332 58.2243
31 62 14.6801 17.092 21.7956 53.5677
32 55 19.6698 19.7061 21.9069 61.2827
33 46 18.9631 23.2355 25.9059 68.1044
34 44 21.0863 24.4129 22.9626 68.4618
35 23 30.188 19.5443 30.0465 79.7787
36 43 22.6698 20.9378 27.3475 70.9551
37 30 18.5862 18.8103 25.4185 62.8151
38 31 24.8083 13.4366 19.3525 57.5974
39 23 20.2491 21.3512 22.181 63.7814
40 29 15.4744 30.1524 19.1822 64.809
41 25 28.4339 21.3146 29.0031 78.7516
42 17 15.386 32.0234 18.246 65.6555
43 19 12.8055 18.9264 52.2714 84.0032
44 18 24.3881 29.5246 44.3186 98.2313
45 7 41.9873 11.0949 15.0623 68.1445
46 16 16.3858 22.211 27.905 66.5018
47 12 28.779 17.5764 24.1743 70.5298
48 11 30.5292 15.1926 13.2106 58.9324
49 6 14.9835 59.6621 35.0661 109.712
50 13 29.1504 30.4239 31.9901 91.5644
51 5 24.1849 11.703 15.8307 51.7186
52 6 56.2929 16.0108 20.9675 93.2712
53 6 46.3598 39.3568 37.8443 123.561
54 9 34.6205 27.5716 9.45987 71.652
55 3 63.4205 21.0874 4.1755 88.6834
56 5 2.3288 23.488 57.4052 83.222
57 1 1.03588 6.49851 26.7899 34.3243
58 3 19.9199 4.94199 29.5876 54.4495
59 3 21.0622 9.8197 37.8991 68.7809
60 5 21.3656 27.5721 10.6703 59.6081
61 2 40.5088 51.4256 67.1286 159.063
62 2 71.6531 10.0205 37.5727 119.246
63 1 7.95787 77.9795 19.6158 105.553
64 2 15.0057 12.9378 9.31818 37.2617
65 1 49.1023 86.5008 32.7974 168.4
66 1 100.6 2.52789 0.25004 103.377
67 1 0.00516961 28.3112 16.8116 45.128
69 1 0.119439 30.8647 104.921 135.905
70 1 0.0568823 11.1116 17.3445 28.5129
72 2 73.1815 11.7985 36.8214 121.801
73 2 24.2784 2.50482 22.1707 48.9539
76 1 0 9.50674 113.975 123.482
79 1 147.583 1.0224 33.6619 182.267
82 1 25.4238 117.373 35.6786 178.475
84 1 34.9092 17.8325 1.60762 54.3493
89 1 25.8877 10.859 249.858 286.605
