m  tie_count pf_tie pdf_tie   loop_count pf_loop pdf_loop  tail_count pf_tail pdf_tail   
77 0 0 0 0 0 0 0 0 0
78 1 0.000137646 0.000769823 0 0 0 1 0.000159949 0.00169216
79 1 0.000137646 0.000779692 0 0 0 1 0.000159949 0.00171385
80 0 0 0 0 0 0 0 0 0
81 1 0.000137646 0.000799432 0 0 0 1 0.000159949 0.00175724
82 1 0.000137646 0.000809301 0 0 0 0 0 0
83 0 0 0 0 0 0 1 0.000159949 0.00180063
84 0 0 0 1 0.000152742 0.00121729 1 0.000159949 0.00182232
85 0 0 0 0 0 0 0 0 0
86 0 0 0 0 0 0 0 0 0
87 0 0 0 0 0 0 0 0 0
88 0 0 0 0 0 0 1 0.000159949 0.0019091
89 0 0 0 0 0 0 0 0 0
90 0 0 0 1 0.000152742 0.00130423 0 0 0
91 0 0 0 0 0 0 0 0 0
92 0 0 0 0 0 0 0 0 0
93 0 0 0 0 0 0 0 0 0
94 1 0.000137646 0.000927735 0 0 0 3 0.000479846 0.0061178
95 0 0 0 0 0 0 0 0 0
96 0 0 0 0 0 0 0 0 0
97 0 0 0 0 0 0 0 0 0
98 0 0 0 0 0 0 0 0 0
99 0 0 0 0 0 0 2 0.000319898 0.00429548
 f_tail= 0.0646675 f_loop=0.0968098 f_tie= 0.142146 f_tie+f_loop+f_tail= 0.303624 f_amorph= 0.330633 Ave_tie=13.9466 Ave_loop=10.5401 Ave_tail=7.38868
