k tiecount  Rex2  Rey2  Rez2  Ree2 
3 452 0.652149 0.713793 0.597869 1.96381
4 476 1.05881 0.971259 1.10042 3.13048
5 472 1.35399 1.51769 1.39303 4.26471
6 395 1.70456 1.88036 1.77331 5.35822
7 380 2.33951 2.12995 2.10492 6.57437
8 345 2.49929 2.72663 2.76879 7.99471
9 319 2.83491 3.41444 3.48765 9.737
10 329 4.04249 3.47672 3.72988 11.2491
11 281 3.8025 4.40777 4.57281 12.7831
12 238 4.24762 4.77577 5.71585 14.7392
13 229 6.10169 4.88257 5.07328 16.0576
14 198 6.79544 6.0307 6.8789 19.705
15 190 6.80244 5.58701 7.48551 19.875
16 168 7.91426 7.54674 8.11887 23.5799
17 147 7.74889 8.6426 9.93678 26.3283
18 116 10.6719 8.73589 8.22339 27.6312
19 126 9.57646 7.9487 9.70558 27.2307
20 103 8.8557 13.7427 12.1646 34.763
21 92 12.8192 12.1894 10.4342 35.4429
22 93 13.0007 12.8778 10.9851 36.8636
23 84 15.3375 12.152 12.0182 39.5078
24 97 14.473 10.5254 14.0218 39.0201
25 65 18.3575 14.6527 12.5526 45.5628
26 60 14.4091 13.3885 15.501 43.2987
27 52 12.3642 17.98 18.7819 49.1262
28 50 19.8596 14.7628 13.5861 48.2085
29 44 17.348 12.3876 21.2798 51.0154
30 32 19.6476 11.1419 23.146 53.9354
31 39 10.2939 20.6499 19.0864 50.0302
32 44 15.2476 17.7109 20.4467 53.4052
33 37 22.6184 15.9414 14.5248 53.0846
34 33 20.8435 22.5463 17.1598 60.5496
35 23 23.4863 17.9466 23.0929 64.5259
36 24 22.2387 13.2807 17.442 52.9614
37 16 11.5473 22.0364 20.083 53.6667
38 17 26.2618 35.8948 29.955 92.1116
39 20 26.4354 33.475 28.8547 88.7651
40 10 17.531 34.8139 14.6184 66.9633
41 12 21.9166 11.0664 52.5148 85.4978
42 19 24.0638 18.1053 25.1063 67.2753
43 10 42.1378 13.6153 21.3316 77.0846
44 7 16.4041 50.133 11.7545 78.2917
45 7 14.8555 25.4352 46.7647 87.0553
46 9 27.8415 14.7425 40.2975 82.8815
47 7 16.1655 46.6339 25.6027 88.4022
48 6 9.80894 26.8278 37.904 74.5407
49 7 42.4005 20.9718 21.2769 84.6492
50 3 22.5119 30.0206 12.7509 65.2834
51 9 43.7628 32.7874 11.7863 88.3365
52 5 3.25613 25.7309 50.1577 79.1447
53 3 46.557 23.1838 58.6994 128.44
56 3 66.3259 144.044 21.181 231.551
57 1 5.47981 15.4787 155.289 176.248
58 1 15.1204 4.64536 2.01782 21.7836
59 1 115.637 9.57073 2.1056 127.313
60 1 87.0327 36.5759 2.48756 126.096
62 2 0.990195 18.4094 57.804 77.2035
65 2 46.3763 4.19008 20.7044 71.2708
66 1 0.68973 17.0453 38.2431 55.9782
68 1 0.093086 66.5304 125.115 191.738
69 3 38.8983 42.8102 33.9297 115.638
70 1 61.3376 44.3889 139.358 245.084
73 1 20.0838 113.789 0.958245 134.831
78 1 333.329 144.398 33.7102 511.438
