m  tie_count pf_tie pdf_tie   loop_count pf_loop pdf_loop  tail_count pf_tail pdf_tail   
84 0 0 0 1 0.00159744 0.00572753 2 0.00154083 0.00446381
85 0 0 0 0 0 0 0 0 0
86 1 0.00082713 0.00364608 0 0 0 2 0.00154083 0.00457009
87 0 0 0 0 0 0 1 0.000770416 0.00231162
88 1 0.00082713 0.00373087 0 0 0 1 0.000770416 0.00233819
89 1 0.00082713 0.00377326 0 0 0 0 0 0
90 0 0 0 0 0 0 0 0 0
91 0 0 0 0 0 0 0 0 0
92 0 0 0 0 0 0 1 0.000770416 0.00244447
93 0 0 0 0 0 0 0 0 0
94 0 0 0 0 0 0 0 0 0
95 0 0 0 0 0 0 0 0 0
96 0 0 0 0 0 0 1 0.000770416 0.00255075
97 1 0.00082713 0.00411243 0 0 0 1 0.000770416 0.00257732
98 0 0 0 1 0.00159744 0.00668212 1 0.000770416 0.00260389
99 0 0 0 0 0 0 13 0.0100154 0.034196
 f_tail= 0.0950404 f_loop=0.0370354 f_tie= 0.0595631 f_tie+f_loop+f_tail= 0.191639 f_amorph= 0.166957 Ave_tie=19.5261 Ave_loop=23.4281 Ave_tail=29.453
