rho rho_amorph rho_nem v_mon v_amorph v_nem 2.49393 1.39506 1.514 0.400974 0.716813 0.660502
i  S count[S] pdf[S]
75  -0.51 69 0.0960013
74  -0.49 239 0.332526
73  -0.47 159 0.22122
72  -0.45 157 0.218438
71  -0.43 176 0.244873
70  -0.41 193 0.268525
69  -0.39 211 0.293569
68  -0.37 240 0.333918
67  -0.35 238 0.331135
66  -0.33 218 0.303309
65  -0.31 215 0.299135
64  -0.29 198 0.275482
63  -0.27 179 0.249047
62  -0.25 141 0.196177
61  -0.23 115 0.160002
60  -0.21 96 0.133567
59  -0.19 67 0.0932187
58  -0.17 40 0.0556529
57  -0.15 38 0.0528703
56  -0.13 18 0.0250438
55  -0.11 12 0.0166959
54  -0.09 5 0.00695662
53  -0.07 4 0.00556529
52  -0.05 0 0
51  -0.03 0 0
50  -0.01 0 0
0  0.01 0 0
1  0.03 0 0
2  0.05 0 0
3  0.07 1 0.00139132
4  0.09 5 0.00695662
5  0.11 13 0.0180872
6  0.13 21 0.0292178
7  0.15 37 0.051479
8  0.17 51 0.0709575
9  0.19 79 0.109915
10  0.21 106 0.14748
11  0.23 137 0.190611
12  0.25 164 0.228177
13  0.27 217 0.301917
14  0.29 269 0.374266
15  0.31 307 0.427136
16  0.33 385 0.53566
17  0.35 407 0.566269
18  0.37 434 0.603834
19  0.39 509 0.708184
20  0.41 524 0.729054
21  0.43 542 0.754097
22  0.45 520 0.723488
23  0.47 544 0.75688
24  0.49 532 0.740184
25  0.51 648 0.901578
26  0.53 594 0.826446
27  0.55 544 0.75688
28  0.57 548 0.762445
29  0.59 590 0.820881
30  0.61 567 0.788881
31  0.63 602 0.837577
32  0.65 541 0.752706
33  0.67 547 0.761054
34  0.69 515 0.716532
35  0.71 562 0.781924
36  0.73 567 0.788881
37  0.75 504 0.701227
38  0.77 551 0.766619
39  0.79 522 0.726271
40  0.81 565 0.786098
41  0.83 550 0.765228
42  0.85 527 0.733228
43  0.87 530 0.737402
44  0.89 584 0.812533
45  0.91 595 0.827838
46  0.93 612 0.85149
47  0.95 758 1.05462
48  0.97 3924 5.45955
49  0.99 7875 10.9567
