Rg, Rgx, Rgy, Rgz 5.44316 3.1859 3.13473 3.10667
persistence length in the limit of N=100 is 0.494934
 the MSID is calculated for 7200 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.247475 0.247475 0.0838857 0.0830872 0.0805024
2 0.931807 0.465904 0.316173 0.312958 0.302676
3 2.00662 0.668873 0.681385 0.674128 0.651105
4 3.4308 0.857699 1.16569 1.15287 1.11224
5 5.16588 1.03318 1.75612 1.73625 1.67351
6 7.17487 1.19581 2.44025 2.41176 2.32287
7 9.42161 1.34594 3.20587 3.16714 3.0486
8 11.8707 1.48384 4.0411 3.99038 3.83924
9 14.4875 1.60972 4.9341 4.86973 4.68365
10 17.2382 1.72382 5.87345 5.79386 5.57093
11 20.0899 1.82635 6.84789 6.75153 6.49044
12 23.0108 1.91757 7.84676 7.73199 7.43206
13 25.9711 1.99778 8.85998 8.7249 8.38621
14 28.942 2.06729 9.87783 9.72054 9.34362
15 31.8967 2.12645 10.8911 10.71 10.2955
16 34.8118 2.17574 11.8921 11.685 11.2347
17 37.6654 2.21561 12.8732 12.638 12.1542
18 40.4395 2.24664 13.828 13.5632 13.0482
19 43.1189 2.26942 14.7511 14.4556 13.9122
20 45.6919 2.28459 15.6382 15.3111 14.7425
21 48.1502 2.29287 16.4867 16.1269 15.5366
22 50.49 2.295 17.2952 16.9015 16.2933
23 52.7087 2.29168 18.0629 17.6342 17.0117
24 54.8062 2.28359 18.7894 18.3245 17.6922
25 56.7853 2.27141 19.4757 18.9738 18.3358
26 58.6501 2.25577 20.1231 19.5831 18.9439
27 60.4044 2.2372 20.733 20.1537 19.5176
28 62.0545 2.21623 21.3077 20.6881 20.0586
29 63.6066 2.19333 21.849 21.189 20.5686
30 65.0685 2.16895 22.3593 21.6594 21.0499
31 66.4469 2.14345 22.8407 22.1017 21.5046
32 67.748 2.11713 23.2951 22.5177 21.9352
33 68.979 2.09027 23.7254 22.9103 22.3433
34 70.1474 2.06316 24.1334 23.2823 22.7316
35 71.2601 2.036 24.5215 23.6361 23.1026
36 72.3241 2.009 24.8916 23.9741 23.4583
37 73.3468 1.98235 25.2467 24.2988 23.8013
38 74.3353 1.95619 25.5892 24.6128 24.1333
39 75.2949 1.93064 25.9207 24.9176 24.4565
40 76.2333 1.90583 26.2443 25.2156 24.7733
41 77.1572 1.88188 26.5623 25.5092 25.0857
42 78.0725 1.85887 26.8764 25.8006 25.3955
43 78.9845 1.83685 27.1876 26.0916 25.7052
44 79.897 1.81584 27.4978 26.3827 26.0165
45 80.8145 1.79588 27.8093 26.6753 26.3299
46 81.7412 1.77698 28.1242 26.9709 26.6461
47 82.6809 1.75917 28.4439 27.2715 26.9655
48 83.6371 1.74244 28.7702 27.5784 27.2885
49 84.611 1.72676 29.1029 27.892 27.6161
50 85.6046 1.71209 29.4429 28.2123 27.9495
51 86.6204 1.69844 29.7903 28.5402 28.2899
52 87.6593 1.68576 30.1448 28.8767 28.6378
53 88.7214 1.67399 30.5055 29.2219 28.9939
54 89.806 1.66307 30.8721 29.5764 29.3576
55 90.9119 1.65294 31.2444 29.9395 29.7281
56 92.0392 1.64356 31.6227 30.3107 30.1058
57 93.1861 1.63484 32.0068 30.6898 30.4895
58 94.3516 1.62675 32.3969 31.0763 30.8783
59 95.5363 1.61926 32.7925 31.4703 31.2735
60 96.738 1.6123 33.1923 31.8708 31.6749
61 97.9544 1.60581 33.5953 32.2775 32.0816
62 99.1857 1.59977 34.0022 32.6899 32.4936
63 100.431 1.59415 34.4129 33.1085 32.91
64 101.685 1.58883 34.8254 33.5304 33.3292
65 102.942 1.58372 35.2382 33.9535 33.75
66 104.197 1.57874 35.6504 34.3759 34.1708
67 105.448 1.57385 36.0608 34.7966 34.5908
68 106.691 1.56898 36.4671 35.2141 35.0097
69 107.917 1.56401 36.8657 35.6264 35.4246
70 109.119 1.55884 37.255 36.0318 35.8321
71 110.292 1.55341 37.6339 36.4284 36.2301
72 111.431 1.54766 38.001 36.8133 36.617
73 112.531 1.54153 38.3553 37.185 36.991
74 113.592 1.53502 38.6966 37.5435 37.3515
75 114.616 1.52821 39.0261 37.89 37.6996
76 115.608 1.52116 39.3442 38.2273 38.0368
77 116.574 1.51395 39.6527 38.5569 38.3644
78 117.523 1.50671 39.9554 38.8836 38.6842
79 118.468 1.4996 40.2584 39.2096 39.0003
80 119.427 1.49283 40.5678 39.5403 39.3185
81 120.414 1.48659 40.889 39.8832 39.6415
82 121.448 1.48107 41.231 40.2434 39.9732
83 122.546 1.47646 41.5991 40.6284 40.3187
84 123.732 1.47299 41.9995 41.0435 40.6885
85 125.022 1.47084 42.4359 41.4967 41.0889
86 126.437 1.4702 42.9128 41.9947 41.5297
87 127.995 1.4712 43.4379 42.5403 42.0163
88 129.705 1.47392 44.0103 43.1424 42.5525
89 131.576 1.47838 44.6328 43.8014 43.1415
90 133.621 1.48468 45.3086 44.5249 43.7873
91 135.85 1.49286 46.042 45.3142 44.4938
92 138.268 1.50291 46.8334 46.17 45.2641
93 140.869 1.51472 47.6819 47.0893 46.0973
94 143.645 1.52814 48.5863 48.0725 46.9861
95 146.59 1.54305 49.5505 49.1098 47.9298
96 149.686 1.55923 50.568 50.1942 48.924
97 152.914 1.57643 51.6334 51.3226 49.9581
98 156.245 1.59434 52.7366 52.4848 51.0239
99 159.646 1.61259 53.8538 53.6704 52.1219
