rho rho_amorph rho_nem v_mon v_amorph v_nem 2.48102 1.50233 1.5334 0.40306 0.665633 0.652144
i  S count[S] pdf[S]
75  -0.51 60 0.0834794
74  -0.49 253 0.352005
73  -0.47 167 0.232351
72  -0.45 195 0.271308
71  -0.43 209 0.290787
70  -0.41 209 0.290787
69  -0.39 237 0.329744
68  -0.37 229 0.318613
67  -0.35 249 0.34644
66  -0.33 275 0.382614
65  -0.31 218 0.303309
64  -0.29 248 0.345048
63  -0.27 225 0.313048
62  -0.25 175 0.243482
61  -0.23 150 0.208699
60  -0.21 118 0.164176
59  -0.19 86 0.119654
58  -0.17 61 0.0848707
57  -0.15 36 0.0500877
56  -0.13 23 0.0320004
55  -0.11 15 0.0208699
54  -0.09 6 0.00834794
53  -0.07 3 0.00417397
52  -0.05 2 0.00278265
51  -0.03 0 0
50  -0.01 0 0
0  0.01 0 0
1  0.03 0 0
2  0.05 0 0
3  0.07 1 0.00139132
4  0.09 9 0.0125219
5  0.11 12 0.0166959
6  0.13 25 0.0347831
7  0.15 37 0.051479
8  0.17 53 0.0737402
9  0.19 89 0.123828
10  0.21 129 0.179481
11  0.23 160 0.222612
12  0.25 199 0.276873
13  0.27 243 0.338092
14  0.29 285 0.396527
15  0.31 384 0.534268
16  0.33 435 0.605226
17  0.35 473 0.658096
18  0.37 523 0.727662
19  0.39 545 0.758271
20  0.41 576 0.801402
21  0.43 590 0.820881
22  0.45 686 0.954448
23  0.47 657 0.9141
24  0.49 712 0.990622
25  0.51 760 1.05741
26  0.53 644 0.896012
27  0.55 726 1.0101
28  0.57 638 0.887665
29  0.59 647 0.900186
30  0.61 666 0.926622
31  0.63 606 0.843142
32  0.65 625 0.869577
33  0.67 635 0.883491
34  0.69 610 0.848707
35  0.71 587 0.816707
36  0.73 613 0.852881
37  0.75 597 0.83062
38  0.77 647 0.900186
39  0.79 555 0.772185
40  0.81 603 0.838968
41  0.83 561 0.780533
42  0.85 540 0.751315
43  0.87 583 0.811142
44  0.89 582 0.80975
45  0.91 582 0.80975
46  0.93 579 0.805576
47  0.95 712 0.990622
48  0.97 3096 4.30754
49  0.99 6114 8.50655
