 the MSID is calculated for 7200 chains of length 100
n  MSID(n)  MSID(n)/n  MSIDx(n)  MSIDy(n)  MSIDz(n)
1 0.247435 0.247435 0.0829311 0.0815631 0.0829411
2 0.94275 0.471375 0.315857 0.310794 0.316099
3 2.04475 0.681583 0.684627 0.674233 0.68589
4 3.51188 0.877971 1.175 1.15812 1.17877
5 5.29952 1.0599 1.77173 1.74761 1.78017
6 7.35722 1.2262 2.45793 2.42677 2.47252
7 9.6298 1.37569 3.2153 3.17716 3.23734
8 12.0593 1.50741 4.02404 3.97906 4.05616
9 14.5913 1.62125 4.86477 4.81403 4.91245
10 17.1733 1.71733 5.72135 5.66457 5.78737
11 19.7587 1.79625 6.57771 6.51612 6.6649
12 22.3025 1.85854 7.41797 7.35297 7.53157
13 24.7843 1.90649 8.23245 8.17077 8.38109
14 27.1924 1.94231 9.01873 8.96449 9.20915
15 29.5138 1.96759 9.77891 9.72666 10.0082
16 31.7397 1.98373 10.5064 10.4599 10.7734
17 33.8836 1.99315 11.2027 11.1709 11.51
18 35.9467 1.99704 11.8734 11.8544 12.2188
19 37.9425 1.99697 12.5275 12.5118 12.9032
20 39.8722 1.99361 13.1609 13.1476 13.5637
21 41.7565 1.98841 13.7787 13.7714 14.2064
22 43.5893 1.98133 14.3798 14.3771 14.8324
23 45.3705 1.97263 14.9618 14.9685 15.4401
24 47.0988 1.96245 15.5306 15.5413 16.0268
25 48.779 1.95116 16.0831 16.0957 16.6002
26 50.4154 1.93905 16.6217 16.632 17.1616
27 52.01 1.9263 17.1494 17.1479 17.7127
28 53.5388 1.9121 17.6506 17.6462 18.242
29 55.0263 1.89746 18.1411 18.1264 18.7589
30 56.4676 1.88225 18.619 18.5946 19.2541
31 57.8683 1.86672 19.09 19.0499 19.7284
32 59.2248 1.85077 19.5544 19.488 20.1824
33 60.5107 1.83366 19.9985 19.8985 20.6138
34 61.7657 1.81664 20.429 20.2974 21.0393
35 62.9732 1.79923 20.8289 20.6952 21.4491
36 64.1624 1.78229 21.2264 21.0803 21.8558
37 65.32 1.7654 21.614 21.4594 22.2466
38 66.4663 1.74911 22.0028 21.8324 22.6311
39 67.6051 1.73347 22.3942 22.2033 23.0076
40 68.7113 1.71778 22.7749 22.5606 23.3758
41 69.7975 1.70238 23.1516 22.9226 23.7232
42 70.8861 1.68777 23.5322 23.2936 24.0603
43 71.9601 1.67349 23.9133 23.6536 24.3933
44 73.0193 1.65953 24.2948 23.9926 24.7319
45 74.0791 1.6462 24.6665 24.333 25.0796
46 75.1565 1.63384 25.0572 24.6732 25.4261
47 76.2613 1.62258 25.4481 25.0229 25.7904
48 77.3695 1.61186 25.8528 25.3596 26.1571
49 78.5105 1.60225 26.2576 25.7131 26.5397
50 79.6513 1.59303 26.6452 26.0709 26.9352
51 80.8013 1.58434 27.0394 26.4335 27.3284
52 82.0239 1.57738 27.4525 26.8135 27.7579
53 83.2542 1.57083 27.8765 27.1912 28.1865
54 84.4945 1.56471 28.3178 27.5758 28.601
55 85.7675 1.55941 28.7809 27.9754 29.0111
56 87.0774 1.55495 29.2452 28.3821 29.45
57 88.3704 1.55036 29.7116 28.7977 29.8611
58 89.6872 1.54633 30.1949 29.2237 30.2686
59 90.9995 1.54236 30.6665 29.6617 30.6713
60 92.263 1.53772 31.1203 30.11 31.0327
61 93.516 1.53305 31.567 30.5554 31.3936
62 94.7595 1.52838 32.0039 31.0051 31.7505
63 95.9999 1.52381 32.4454 31.4483 32.1062
64 97.2786 1.51998 32.8828 31.9068 32.489
65 98.5698 1.51646 33.2984 32.3654 32.906
66 99.8916 1.51351 33.7307 32.8167 33.3442
67 101.222 1.51077 34.1817 33.2401 33.8
68 102.529 1.50778 34.6142 33.674 34.2406
69 103.829 1.50477 35.0798 34.0748 34.6744
70 105.121 1.50173 35.5257 34.4895 35.1058
71 106.361 1.49804 35.9787 34.8577 35.5245
72 107.505 1.49312 36.4142 35.1796 35.9112
73 108.592 1.48757 36.769 35.5436 36.2797
74 109.636 1.48157 37.1322 35.8599 36.6437
75 110.635 1.47513 37.4791 36.1676 36.9883
76 111.558 1.46786 37.7992 36.4406 37.3177
77 112.482 1.4608 38.0879 36.7659 37.6281
78 113.391 1.45373 38.4124 37.0291 37.9496
79 114.37 1.44773 38.788 37.2877 38.2947
80 115.376 1.44219 39.1891 37.5669 38.6196
81 116.429 1.43739 39.5771 37.8919 38.9598
82 117.576 1.43386 40.0039 38.257 39.3152
83 118.788 1.43118 40.4182 38.6625 39.7076
84 120.128 1.43009 40.8648 39.1568 40.1061
85 121.484 1.42922 41.3206 39.6058 40.5572
86 122.951 1.42966 41.7926 40.1531 41.0054
87 124.629 1.43252 42.3079 40.7641 41.5572
88 126.397 1.43633 42.8379 41.4585 42.1008
89 128.24 1.4409 43.3854 42.1331 42.7217
90 130.088 1.44543 43.9872 42.7746 43.3267
91 132.093 1.45157 44.6245 43.4944 43.9739
92 134.168 1.45835 45.2522 44.2491 44.6665
93 136.342 1.46605 45.8744 45.0669 45.401
94 138.609 1.47456 46.4236 45.9695 46.2156
95 140.882 1.48296 46.9773 46.6947 47.2095
96 143.047 1.49007 47.5028 47.3662 48.1782
97 145.701 1.50207 48.2338 48.2458 49.221
98 148.423 1.51452 48.8328 49.0526 50.5377
99 151.968 1.53503 48.5044 50.3294 53.1343
