m  tie_count pf_tie pdf_tie   loop_count pf_loop pdf_loop  tail_count pf_tail pdf_tail   
76 1 0.000124146 0.000644942 0 0 0 1 0.000154871 0.00121582
77 0 0 0 0 0 0 1 0.000154871 0.00123182
78 2 0.000248293 0.00132383 0 0 0 2 0.000309741 0.00249564
79 0 0 0 0 0 0 0 0 0
80 0 0 0 0 0 0 6 0.000929224 0.00767889
81 1 0.000124146 0.000687373 0 0 0 0 0 0
82 0 0 0 0 0 0 1 0.000154871 0.00131181
83 0 0 0 1 0.000167392 0.00129014 1 0.000154871 0.00132781
84 1 0.000124146 0.000712831 0 0 0 1 0.000154871 0.00134381
85 0 0 0 0 0 0 2 0.000309741 0.00271961
86 0 0 0 0 0 0 1 0.000154871 0.0013758
87 0 0 0 0 0 0 0 0 0
88 0 0 0 1 0.000167392 0.00136786 2 0.000309741 0.00281559
89 1 0.000124146 0.000755261 0 0 0 1 0.000154871 0.00142379
90 0 0 0 0 0 0 1 0.000154871 0.00143979
91 1 0.000124146 0.000772234 0 0 0 1 0.000154871 0.00145579
92 0 0 0 0 0 0 0 0 0
93 0 0 0 0 0 0 0 0 0
94 0 0 0 0 0 0 1 0.000154871 0.00150378
95 0 0 0 0 0 0 0 0 0
96 0 0 0 0 0 0 0 0 0
97 0 0 0 0 0 0 0 0 0
98 0 0 0 0 0 0 0 0 0
99 0 0 0 0 0 0 6 0.000929224 0.00950263
 f_tail= 0.087695 f_loop=0.0902553 f_tie= 0.16532 f_tie+f_loop+f_tail= 0.34327 f_amorph= 0.375304 Ave_tie=14.6358 Ave_loop=10.769 Ave_tail=9.71148
