m  tie_count pf_tie pdf_tie   loop_count pf_loop pdf_loop  tail_count pf_tail pdf_tail   
1 2 0.00026434 1.54555e-05 0 0 0 672 0.0958357 0.00651074
2 1 0.00013217 1.54555e-05 0 0 0 689 0.0982601 0.0133509
3 467 0.0617235 0.0108266 455 0.0955481 0.0249147 600 0.0855676 0.0174395
4 442 0.0584192 0.0136626 453 0.0951281 0.0330735 471 0.0671706 0.0182533
5 466 0.0615913 0.0180056 357 0.0749685 0.0325807 390 0.0556189 0.0188928
6 432 0.0570975 0.0200303 369 0.0774885 0.040411 334 0.0476326 0.019416
7 337 0.0445414 0.0182297 330 0.0692986 0.0421633 284 0.040502 0.019261
8 342 0.0452022 0.0211431 303 0.0636287 0.0442441 273 0.0389333 0.0211599
9 316 0.0417658 0.0219777 284 0.0596388 0.0466534 215 0.0306617 0.0187475
10 306 0.0404441 0.0236469 291 0.0611088 0.0531148 150 0.0213919 0.0145329
11 293 0.0387259 0.0249065 220 0.0461991 0.0441711 154 0.0219624 0.0164125
12 268 0.0354216 0.0248524 200 0.0419992 0.043806 167 0.0238163 0.019416
13 222 0.0293418 0.0223022 176 0.0369593 0.0417617 142 0.020251 0.0178852
14 247 0.032646 0.0267225 152 0.0319194 0.0388413 136 0.0193953 0.0184471
15 214 0.0282844 0.024806 131 0.0275094 0.0358662 132 0.0188249 0.0191834
16 216 0.0285488 0.0267071 121 0.0254095 0.0353368 129 0.018397 0.0199973
17 198 0.0261697 0.0260116 92 0.0193196 0.0285469 111 0.01583 0.0182824
18 193 0.0255089 0.0268462 97 0.0203696 0.0318689 116 0.0165431 0.0202298
19 202 0.0266984 0.0296591 83 0.0174297 0.0287842 96 0.0136908 0.017672
20 157 0.0207507 0.0242651 75 0.0157497 0.0273788 89 0.0126925 0.0172457
21 154 0.0203542 0.0249915 59 0.0123898 0.0226149 91 0.0129778 0.0185149
22 134 0.0177108 0.0227814 42 0.00881982 0.0168653 66 0.00941244 0.0140679
23 139 0.0183717 0.0247056 42 0.00881982 0.0176319 72 0.0102681 0.0160443
24 145 0.0191647 0.0268925 40 0.00839983 0.0175224 67 0.00955505 0.0155793
25 123 0.0162569 0.0237628 38 0.00797984 0.0173399 72 0.0102681 0.0174395
26 116 0.0153317 0.0233069 20 0.00419992 0.0094913 54 0.00770108 0.0136028
27 70 0.00925192 0.0146054 30 0.00629987 0.0147845 45 0.00641757 0.0117717
28 83 0.0109701 0.0179593 29 0.00608988 0.014821 61 0.00869937 0.0165481
29 80 0.0105736 0.0179283 31 0.00650987 0.016409 45 0.00641757 0.0126436
30 81 0.0107058 0.0187784 26 0.00545989 0.014237 47 0.0067028 0.0136609
31 80 0.0105736 0.0191648 17 0.00356993 0.00961907 49 0.00698802 0.014717
32 75 0.00991277 0.0185466 21 0.00440991 0.0122657 54 0.00770108 0.0167419
33 54 0.00713719 0.0137708 15 0.00314994 0.00903499 42 0.00598973 0.0134284
34 61 0.00806238 0.0160273 17 0.00356993 0.0105499 41 0.00584712 0.0135059
35 48 0.00634417 0.0129826 11 0.00230995 0.00702721 37 0.00527667 0.0125467
36 64 0.0084589 0.0178047 6 0.00125997 0.00394254 41 0.00584712 0.0143004
37 72 0.00951626 0.0205867 11 0.00230995 0.00742877 41 0.00584712 0.0146976
38 45 0.00594766 0.0132144 10 0.00209996 0.00693595 39 0.00556189 0.0143585
39 37 0.0048903 0.0111511 8 0.00167997 0.00569478 28 0.00399315 0.01058
40 34 0.00449379 0.0105097 8 0.00167997 0.0058408 43 0.00613234 0.0166644
41 32 0.00422945 0.0101388 10 0.00209996 0.00748353 25 0.00356532 0.00993082
42 29 0.00383294 0.00941238 4 0.000839983 0.00306642 26 0.00370793 0.01058
43 50 0.00660851 0.0166146 9 0.00188996 0.00706372 21 0.00299487 0.00874881
44 28 0.00370077 0.00952057 9 0.00188996 0.00722799 31 0.00442099 0.0132153
45 30 0.00396511 0.0104324 7 0.00146997 0.00574954 24 0.0034227 0.0104637
46 25 0.00330426 0.0088869 2 0.000419992 0.00167923 21 0.00299487 0.0093592
47 31 0.00409728 0.0112593 3 0.000629987 0.0025736 24 0.0034227 0.0109287
48 18 0.00237906 0.00667676 2 0.000419992 0.00175224 23 0.00328009 0.0106962
