rho rho_amorph rho_nem v_mon v_amorph v_nem 2.49393 1.48863 1.55819 0.400974 0.67176 0.641772
i  S count[S] pdf[S]
75  -0.51 57 0.0793055
74  -0.49 214 0.297743
73  -0.47 134 0.186437
72  -0.45 141 0.196177
71  -0.43 164 0.228177
70  -0.41 177 0.246264
69  -0.39 194 0.269917
68  -0.37 218 0.303309
67  -0.35 225 0.313048
66  -0.33 239 0.332526
65  -0.31 219 0.3047
64  -0.29 185 0.257395
63  -0.27 178 0.247656
62  -0.25 147 0.204525
61  -0.23 124 0.172524
60  -0.21 95 0.132176
59  -0.19 80 0.111306
58  -0.17 45 0.0626096
57  -0.15 33 0.0459137
56  -0.13 22 0.0306091
55  -0.11 8 0.0111306
54  -0.09 7 0.00973927
53  -0.07 1 0.00139132
52  -0.05 0 0
51  -0.03 0 0
50  -0.01 0 0
0  0.01 0 0
1  0.03 0 0
2  0.05 1 0.00139132
3  0.07 3 0.00417397
4  0.09 5 0.00695662
5  0.11 9 0.0125219
6  0.13 18 0.0250438
7  0.15 44 0.0612182
8  0.17 72 0.100175
9  0.19 101 0.140524
10  0.21 115 0.160002
11  0.23 152 0.211481
12  0.25 194 0.269917
13  0.27 198 0.275482
14  0.29 278 0.386788
15  0.31 315 0.438267
16  0.33 349 0.485572
17  0.35 394 0.548182
18  0.37 420 0.584356
19  0.39 475 0.660879
20  0.41 482 0.670618
21  0.43 555 0.772185
22  0.45 527 0.733228
23  0.47 582 0.80975
24  0.49 608 0.845925
25  0.51 630 0.876534
26  0.53 628 0.873751
27  0.55 594 0.826446
28  0.57 598 0.832012
29  0.59 565 0.786098
30  0.61 556 0.773576
31  0.63 579 0.805576
32  0.65 555 0.772185
33  0.67 566 0.787489
34  0.69 598 0.832012
35  0.71 540 0.751315
36  0.73 558 0.776359
37  0.75 550 0.765228
38  0.77 570 0.793055
39  0.79 552 0.768011
40  0.81 574 0.79862
41  0.83 515 0.716532
42  0.85 514 0.71514
43  0.87 554 0.770793
44  0.89 547 0.761054
45  0.91 620 0.862621
46  0.93 605 0.841751
47  0.95 697 0.969753
48  0.97 3847 5.35242
49  0.99 7757 10.7925
