r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
24.1485   40732   0.000427847   -0.167282   -0.0464765
24.234   121732   0.00103953   0.0185881   -0.0252997
24.3192   229436   -0.00375124   0.0172613   -0.0166673
24.4041   41184   0.0102416   0.053184   0.0563277
24.4887   162936   -0.0064133   -0.0442749   -0.0464899
24.573   101426   0.000602326   -0.0140804   -0.000228237
24.7407   61048   -0.0029815   0.0853426   0.0217583
24.8241   141918   -0.00597957   -0.0181365   -0.0549897
24.9073   80746   -0.0061729   -0.113392   -0.0495387
24.9902   81068   -0.00819316   0.0350325   -0.0705955
25.1551   81890   -0.00243928   -0.143736   -0.0135198
25.2372   80988   -0.00351918   0.0586875   -0.0212641
25.4006   40334   0.00173799   -0.200087   -0.0608219
25.4819   161428   -0.00328353   0.0160897   0.0386451
25.5629   101154   -0.0065829   0.00384678   -0.0579365
25.6436   20058   -0.0175286   0.0166967   -0.0454572
25.7242   100948   -0.0102768   -0.085935   0.0211284
25.8044   81020   -0.00757743   -0.0276722   -0.00810274
25.8844   100810   -0.00992691   -0.00603289   -0.0067497
26.0437   40188   -0.00694275   0.0580304   -0.0304027
26.123   100880   0.00621308   -0.00567232   -0.0283819
26.202   162374   0.00278595   0.0808306   -0.0686043
26.2809   101370   0.00195445   -0.0496798   -0.0388079
26.3594   20462   -0.00293133   0.0923206   0.0110438
26.4378   161682   0.00509715   -0.0317501   0.011606
26.5159   122456   0.00447248   0.0481373   -0.0239191
26.6714   20022   0.000345812   -0.12455   -0.312631
26.7488   40674   -0.00653658   -0.0143928   0.00287583
26.826   100848   0.00315889   -0.0487383   0.0412901
26.903   101468   -0.0008944   0.00633049   0.054364
26.9797   80774   -0.00181596   -0.0651378   0.0473481
27.0563   121474   -0.0135331   -0.0617694   -0.047935
27.1326   122096   -0.00216716   0.093299   0.010362
27.2846   40516   -0.0026106   0.185783   -0.11007
27.3603   201922   -0.00242316   -0.0232836   0.0353286
27.4358   121624   0.000214937   0.0828267   0.00948371
27.511   40218   -0.00702988   -0.104001   0.0483849
27.6609   161588   -0.00241338   -0.0229344   0.0275884
27.7356   39596   -0.00773615   -0.0641915   0.0212507
27.8843   6740   -0.0251532   -0.0836766   0.421732
27.9584   61306   0.00316657   -0.0256647   -0.0314062
28.0323   221560   -0.00348487   -0.00343747   -0.0163377
28.1059   140942   0.00533565   -0.0245548   -0.00998714
28.1794   121186   0.00369539   -0.0150574   -0.00262436
28.2527   100984   -0.00215337   0.0107139   0.0844073
28.3987   101888   -0.00271052   -0.0371583   0.0229266
28.4714   120994   0.00168916   0.0246921   0.0661221
28.544   81298   -0.0108844   -0.000496378   -0.157301
28.6163   80768   -0.0070771   0.0285525   0.0153721
28.6885   40124   0.00146993   0.159249   0.129876
28.7605   121520   0.00915964   -0.0117236   -0.0314918
28.8323   201230   0.000664518   -0.056245   0.0273652
28.9754   40980   -0.00592472   0.049486   -0.00559679
29.0467   202064   -0.000565259   0.00204446   0.0288167
29.1178   79994   -0.00122777   0.0288013   -0.000649755
29.1887   60306   -0.00949301   -0.00925027   0.0885296
29.2595   81292   0.00326947   0.0059782   -0.015104
29.3301   81154   -0.000508957   0.00907198   -0.0699101
29.4005   60302   0.00385862   0.00591449   -0.0386665
29.5408   80374   0.00571759   0.0188511   0.00603873
29.6107   80688   -0.00722688   -0.118338   -0.0486916
29.6805   120482   0.000114814   0.0154183   -0.0328295
29.7501   80430   -0.00179466   -0.059548   0.015417
29.8888   201414   -0.00370996   0.0216492   -0.0663035
29.9579   121134   -0.00599736   -0.0245897   0.0754871
30.0956   40130   -0.00208096   0.186237   0.0720478
