m  tie_count pf_tie pdf_tie   loop_count pf_loop pdf_loop  tail_count pf_tail pdf_tail   
1 0 0 0 0 0 0 670 0.0943529 0.00625432
2 1 0.000134282 1.56942e-05 0 0 0 673 0.0947754 0.0125646
3 481 0.0645898 0.0113233 470 0.0946817 0.0244588 626 0.0881566 0.0175308
4 420 0.0563985 0.0131831 386 0.0777599 0.0267832 482 0.0678778 0.0179975
5 434 0.0582785 0.0170282 387 0.0779613 0.0335658 373 0.0525278 0.0174094
6 406 0.0545186 0.0191155 398 0.0801773 0.0414238 343 0.0483031 0.019211
7 385 0.0516987 0.0211479 345 0.0695004 0.0418922 259 0.0364737 0.016924
8 309 0.0414932 0.019398 334 0.0672844 0.0463503 265 0.0373187 0.0197898
9 325 0.0436417 0.0229527 333 0.067083 0.0519879 193 0.0271793 0.0162146
10 288 0.0386733 0.0225996 253 0.050967 0.043887 199 0.0280242 0.0185763
11 297 0.0398818 0.0256364 245 0.0493554 0.0467492 177 0.0249261 0.0181749
12 277 0.0371962 0.0260837 216 0.0435133 0.0449625 147 0.0207013 0.0164666
13 263 0.0353162 0.0268292 191 0.038477 0.0430717 148 0.0208421 0.0179602
14 208 0.0279307 0.0228507 169 0.0340451 0.0410422 129 0.0181665 0.0168587
15 218 0.0292735 0.0256599 142 0.028606 0.0369484 132 0.0185889 0.0184829
16 211 0.0283336 0.0264917 125 0.0251813 0.0346933 115 0.0161949 0.017176
17 191 0.0256479 0.0254795 113 0.0227639 0.0333229 135 0.0190114 0.0214234
18 192 0.0257822 0.0271195 85 0.0171233 0.0265404 116 0.0163357 0.0194911
19 183 0.0245737 0.0272843 96 0.0193392 0.0316403 94 0.0132376 0.016672
20 173 0.0232308 0.0271509 85 0.0171233 0.0294893 80 0.011266 0.0149357
21 140 0.0187995 0.0230704 50 0.0100725 0.018214 72 0.0101394 0.0141142
22 150 0.0201423 0.0258954 51 0.010274 0.0194629 88 0.0123926 0.0180722
23 130 0.0174567 0.0234628 45 0.00906527 0.0179538 72 0.0101394 0.0154584
24 122 0.0163824 0.0229762 51 0.010274 0.0212323 52 0.00732291 0.0116498
25 106 0.0142339 0.0207948 32 0.00644641 0.0138773 70 0.00985777 0.0163359
26 108 0.0145025 0.0220346 32 0.00644641 0.0144324 56 0.00788621 0.0135915
27 110 0.014771 0.0233058 30 0.00604351 0.0140508 58 0.00816786 0.0146183
28 83 0.0111454 0.0182366 31 0.00624496 0.0150569 64 0.00901282 0.016728
29 70 0.00939976 0.0159296 25 0.00503626 0.0125763 50 0.00704126 0.0135355
30 77 0.0103397 0.0181267 22 0.00443191 0.0114488 58 0.00816786 0.0162426
31 71 0.00953404 0.0172714 17 0.00342466 0.00914169 44 0.00619631 0.0127327
32 69 0.00926548 0.0173263 15 0.00302176 0.00832639 38 0.00535136 0.0113511
33 58 0.00778837 0.0150193 18 0.00362611 0.0103039 50 0.00704126 0.0154024
34 56 0.00751981 0.0149408 16 0.00322321 0.00943658 51 0.00718209 0.0161865
35 58 0.00778837 0.0159296 10 0.0020145 0.00607133 40 0.00563301 0.0130687
36 61 0.00819122 0.0172322 12 0.00241741 0.00749376 47 0.00661879 0.0157945
37 49 0.00657983 0.0142267 6 0.0012087 0.00385096 36 0.00506971 0.012434
38 41 0.00550557 0.0122257 12 0.00241741 0.00791007 42 0.00591466 0.0148983
39 41 0.00550557 0.0125475 13 0.00261886 0.00879475 45 0.00633714 0.0163826
40 42 0.00563985 0.0131831 4 0.000805802 0.00277546 35 0.00492888 0.0130687
41 43 0.00577414 0.0138344 14 0.00282031 0.00995698 38 0.00535136 0.0145436
42 35 0.00469988 0.0115352 9 0.00181305 0.00655704 26 0.00366146 0.0101936
43 31 0.00416275 0.0104602 4 0.000805802 0.00298362 28 0.00394311 0.0112391
44 31 0.00416275 0.0107034 6 0.0012087 0.00457952 21 0.00295733 0.00862536
45 27 0.00362562 0.0095342 7 0.00141015 0.0054642 25 0.00352063 0.0105017
46 23 0.00308849 0.00830221 5 0.00100725 0.00398973 29 0.00408393 0.0124526
47 27 0.00362562 0.00995794 4 0.000805802 0.00326117 29 0.00408393 0.0127233
48 22 0.00295421 0.00828651 3 0.000604351 0.00249792 20 0.0028165 0.00896141
49 14 0.00187995 0.00538309 6 0.0012087 0.00509992 16 0.0022532 0.00731848
50 23 0.00308849 0.00902414 3 0.000604351 0.002602 24 0.00337981 0.0112018
51 12 0.00161139 0.00480241 2 0.000402901 0.00176936 17 0.00239403 0.00809327
52 13 0.00174567 0.00530462 1 0.00020145 0.000902026 15 0.00211238 0.00728115
53 14 0.00187995 0.00582253 1 0.00020145 0.000919373 15 0.00211238 0.00742117
54 15 0.00201423 0.00635613 3 0.000604351 0.00281016 14 0.00197155 0.00705711
55 18 0.00241708 0.00776861 1 0.00020145 0.000954066 17 0.00239403 0.00872804
56 14 0.00187995 0.00615211 2 0.000402901 0.00194283 20 0.0028165 0.010455
57 10 0.00134282 0.00447283 3 0.000604351 0.00296628 13 0.00183073 0.00691709
58 11 0.0014771 0.00500643 2 0.000402901 0.00201221 16 0.0022532 0.0086627
59 18 0.00241708 0.00833359 1 0.00020145 0.00102345 19 0.00267568 0.0104643
60 13 0.00174567 0.00612072 3 0.000604351 0.0031224 16 0.0022532 0.00896141
61 6 0.000805694 0.00287203 2 0.000402901 0.00211629 12 0.0016899 0.00683308
62 8 0.00107426 0.00389215 4 0.000805802 0.00430197 9 0.00126743 0.00520882
63 7 0.000939976 0.00346056 1 0.00020145 0.00109284 12 0.0016899 0.00705711
64 12 0.00161139 0.00602655 0 0 0 13 0.00183073 0.00776656
65 6 0.000805694 0.00306036 0 0 0 7 0.000985777 0.00424733
66 7 0.000939976 0.00362535 1 0.00020145 0.00114488 8 0.0011266 0.00492878
67 8 0.00107426 0.00420603 1 0.00020145 0.00116223 11 0.00154908 0.00687975
68 7 0.000939976 0.00373521 3 0.000604351 0.00353872 12 0.0016899 0.0076172
69 7 0.000939976 0.00379014 0 0 0 13 0.00183073 0.00837332
70 6 0.000805694 0.00329577 1 0.00020145 0.00121427 6 0.000844951 0.00392062
71 5 0.000671411 0.00278571 0 0 0 8 0.0011266 0.00530217
72 5 0.000671411 0.00282495 1 0.00020145 0.00124896 8 0.0011266 0.00537685
73 2 0.000268565 0.00114567 1 0.00020145 0.00126631 6 0.000844951 0.00408864
74 4 0.000537129 0.00232273 0 0 0 3 0.000422476 0.00207233
