m  tie_count pf_tie pdf_tie   loop_count pf_loop pdf_loop  tail_count pf_tail pdf_tail   
1 0 0 0 0 0 0 968 0.156761 0.0203961
2 0 0 0 0 0 0 913 0.147854 0.0384745
3 556 0.0701489 0.0153505 645 0.0995217 0.0286471 757 0.122591 0.0478508
4 582 0.0734292 0.0214244 627 0.0967443 0.0371303 624 0.101053 0.0525917
5 656 0.0827656 0.0301856 562 0.086715 0.0416013 465 0.0753036 0.0489886
6 553 0.0697704 0.0305353 504 0.0777658 0.0447695 356 0.0576518 0.0450063
7 428 0.0539995 0.027572 498 0.07684 0.0516093 276 0.0446964 0.040708
8 432 0.0545042 0.0318053 487 0.0751427 0.0576792 252 0.0408097 0.0424779
9 412 0.0519808 0.0341245 421 0.0649591 0.0560951 185 0.0299595 0.0350822
10 384 0.0484481 0.0353393 380 0.0586329 0.056258 161 0.0260729 0.0339233
11 352 0.0444108 0.0356338 311 0.0479864 0.050647 129 0.0208907 0.0298989
12 309 0.0389856 0.0341245 272 0.0419688 0.0483226 110 0.0178138 0.0278129
13 265 0.0334343 0.0317041 257 0.0396544 0.0494626 80 0.0129555 0.0219132
14 248 0.0312894 0.0319526 186 0.0286993 0.0385515 80 0.0129555 0.0235988
15 232 0.0292708 0.0320262 172 0.0265391 0.0381962 66 0.0106883 0.0208597
16 208 0.0262427 0.0306274 137 0.0211387 0.032452 55 0.00890688 0.0185419
17 209 0.0263689 0.032698 158 0.024379 0.0397655 52 0.00842105 0.0186262
18 170 0.0214484 0.028161 110 0.0169727 0.0293134 38 0.00615385 0.0144121
19 153 0.0193036 0.0267529 94 0.0145039 0.0264412 39 0.00631579 0.0156131
20 148 0.0186727 0.0272407 62 0.00956642 0.0183579 36 0.00582996 0.0151707
21 154 0.0194297 0.0297623 61 0.00941213 0.0189649 36 0.00582996 0.0159292
22 147 0.0185466 0.0297623 61 0.00941213 0.0198679 32 0.00518219 0.0148335
23 123 0.0155185 0.0260351 53 0.00817775 0.018047 52 0.00842105 0.0252002
24 103 0.0129952 0.0227497 52 0.00802345 0.0184763 28 0.00453441 0.0141593
25 103 0.0129952 0.0236976 43 0.00663478 0.0159151 27 0.00437247 0.0142225
26 86 0.0108504 0.0205778 46 0.00709767 0.0177065 28 0.00453441 0.0153392
27 81 0.0102195 0.0201268 33 0.00509181 0.013191 15 0.00242915 0.0085335
28 59 0.00744386 0.0152032 25 0.00385743 0.0103633 9 0.00145749 0.00530973
29 73 0.00921019 0.0194826 19 0.00293165 0.0081574 21 0.00340081 0.0128319
30 63 0.00794852 0.0173935 25 0.00385743 0.0111035 27 0.00437247 0.017067
31 49 0.00618219 0.0139793 22 0.00339454 0.0100968 20 0.00323887 0.0130636
32 67 0.00845319 0.0197311 16 0.00246875 0.00758002 17 0.00275304 0.0114623
33 43 0.00542518 0.013059 25 0.00385743 0.0122139 15 0.00242915 0.0104298
34 38 0.00479435 0.0118902 9 0.00138867 0.00453025 15 0.00242915 0.0107459
35 53 0.00668685 0.0170714 18 0.00277735 0.00932698 17 0.00275304 0.0125369
36 31 0.00391118 0.0102705 14 0.00216016 0.00746158 12 0.00194332 0.0091024
37 43 0.00542518 0.0146419 3 0.000462892 0.00164332 8 0.00129555 0.00623683
38 25 0.00315418 0.00874279 8 0.00123438 0.00450064 15 0.00242915 0.0120101
39 23 0.00290184 0.00825503 5 0.000771486 0.00288692 8 0.00129555 0.00657396
40 29 0.00365884 0.0106754 11 0.00169727 0.00651408 6 0.00097166 0.00505689
41 20 0.00252334 0.00754641 4 0.000617189 0.00242798 6 0.00097166 0.00518331
42 23 0.00290184 0.00889003 4 0.000617189 0.00248719 2 0.000323887 0.00176991
43 16 0.00201867 0.00633162 5 0.000771486 0.00318302 6 0.00097166 0.00543616
44 17 0.00214484 0.00688379 5 0.000771486 0.00325704 8 0.00129555 0.00741677
45 16 0.00201867 0.00662611 1 0.000154297 0.000666213 5 0.000809717 0.00474083
46 10 0.00126167 0.00423335 3 0.000462892 0.00204305 4 0.000647773 0.00387695
