rho rho_amorph rho_nem v_mon v_amorph v_nem 2.45723 1.51542 1.4516 0.406962 0.659881 0.688895
i  S count[S] pdf[S]
75  -0.51 89 0.123828
74  -0.49 264 0.367309
73  -0.47 169 0.235134
72  -0.45 167 0.232351
71  -0.43 217 0.301917
70  -0.41 268 0.372875
69  -0.39 299 0.416006
68  -0.37 300 0.417397
67  -0.35 312 0.434093
66  -0.33 309 0.429919
65  -0.31 281 0.390962
64  -0.29 289 0.402093
63  -0.27 251 0.349222
62  -0.25 241 0.335309
61  -0.23 168 0.233742
60  -0.21 153 0.212873
59  -0.19 94 0.130784
58  -0.17 79 0.109915
57  -0.15 53 0.0737402
56  -0.13 39 0.0542616
55  -0.11 17 0.0236525
54  -0.09 9 0.0125219
53  -0.07 1 0.00139132
52  -0.05 1 0.00139132
51  -0.03 0 0
50  -0.01 0 0
0  0.01 0 0
1  0.03 0 0
2  0.05 0 0
3  0.07 3 0.00417397
4  0.09 9 0.0125219
5  0.11 17 0.0236525
6  0.13 28 0.0389571
7  0.15 67 0.0932187
8  0.17 92 0.128002
9  0.19 125 0.173915
10  0.21 168 0.233742
11  0.23 205 0.285221
12  0.25 278 0.386788
13  0.27 333 0.463311
14  0.29 384 0.534268
15  0.31 472 0.656705
16  0.33 516 0.717923
17  0.35 593 0.825055
18  0.37 626 0.870969
19  0.39 684 0.951665
20  0.41 719 1.00036
21  0.43 738 1.0268
22  0.45 747 1.03932
23  0.47 761 1.0588
24  0.49 855 1.18958
25  0.51 860 1.19654
26  0.53 793 1.10332
27  0.55 785 1.09219
28  0.57 729 1.01427
29  0.59 703 0.978101
30  0.61 720 1.00175
31  0.63 663 0.922448
32  0.65 642 0.89323
33  0.67 672 0.93497
34  0.69 662 0.921056
35  0.71 647 0.900186
36  0.73 684 0.951665
37  0.75 623 0.866795
38  0.77 581 0.808359
39  0.79 576 0.801402
40  0.81 535 0.744358
41  0.83 569 0.791663
42  0.85 549 0.763837
43  0.87 491 0.68314
44  0.89 550 0.765228
45  0.91 516 0.717923
46  0.93 499 0.694271
47  0.95 632 0.879317
48  0.97 2482 3.45327
49  0.99 4189 5.82826
