rho rho_amorph rho_nem v_mon v_amorph v_nem 2.45757 1.51114 1.46359 0.406907 0.661752 0.683253
i  S count[S] pdf[S]
75  -0.51 73 0.101567
74  -0.49 262 0.364527
73  -0.47 174 0.24209
72  -0.45 188 0.261569
71  -0.43 192 0.267134
70  -0.41 271 0.377049
69  -0.39 303 0.421571
68  -0.37 297 0.413223
67  -0.35 315 0.438267
66  -0.33 290 0.403484
65  -0.31 304 0.422962
64  -0.29 295 0.41044
63  -0.27 273 0.379831
62  -0.25 230 0.320004
61  -0.23 190 0.264352
60  -0.21 146 0.203133
59  -0.19 116 0.161394
58  -0.17 75 0.104349
57  -0.15 62 0.0862621
56  -0.13 37 0.051479
55  -0.11 19 0.0264352
54  -0.09 5 0.00695662
53  -0.07 5 0.00695662
52  -0.05 0 0
51  -0.03 0 0
50  -0.01 1 0.00139132
0  0.01 0 0
1  0.03 1 0.00139132
2  0.05 0 0
3  0.07 7 0.00973927
4  0.09 11 0.0153046
5  0.11 21 0.0292178
6  0.13 39 0.0542616
7  0.15 59 0.0820881
8  0.17 85 0.118263
9  0.19 98 0.13635
10  0.21 148 0.205916
11  0.23 236 0.328352
12  0.25 274 0.381223
13  0.27 315 0.438267
14  0.29 394 0.548182
15  0.31 498 0.692879
16  0.33 488 0.678966
17  0.35 581 0.808359
18  0.37 604 0.84036
19  0.39 700 0.973927
20  0.41 717 0.997579
21  0.43 733 1.01984
22  0.45 799 1.11167
23  0.47 805 1.12002
24  0.49 793 1.10332
25  0.51 810 1.12697
26  0.53 788 1.09636
27  0.55 785 1.09219
28  0.57 777 1.08106
29  0.59 674 0.937752
30  0.61 720 1.00175
31  0.63 679 0.944709
32  0.65 712 0.990622
33  0.67 647 0.900186
34  0.69 681 0.947491
35  0.71 655 0.911317
36  0.73 647 0.900186
37  0.75 612 0.85149
38  0.77 630 0.876534
39  0.79 582 0.80975
40  0.81 528 0.734619
41  0.83 555 0.772185
42  0.85 528 0.734619
43  0.87 475 0.660879
44  0.89 484 0.673401
45  0.91 486 0.676183
46  0.93 533 0.741576
47  0.95 568 0.790272
48  0.97 2503 3.48248
49  0.99 4225 5.87834
