m  tie_count pf_tie pdf_tie   loop_count pf_loop pdf_loop  tail_count pf_tail pdf_tail   
1 0 0 0 0 0 0 1034 0.165044 0.0223042
2 0 0 0 0 0 0 944 0.150678 0.0407256
3 567 0.0699223 0.0155291 624 0.0982832 0.027822 774 0.123543 0.0500874
4 555 0.0684425 0.0202673 532 0.0837927 0.0316267 617 0.0984836 0.0532367
5 684 0.0843507 0.0312226 527 0.0830052 0.0391618 480 0.0766161 0.0517699
6 539 0.0664694 0.0295245 491 0.077335 0.0437839 384 0.0612929 0.0496991
7 512 0.0631397 0.0327198 484 0.0762325 0.050353 296 0.0472466 0.0446947
8 424 0.0522876 0.030967 445 0.0700898 0.0529093 210 0.0335196 0.0362389
9 411 0.0506844 0.0337697 427 0.0672547 0.0571153 175 0.027933 0.033974
10 393 0.0484647 0.0358786 355 0.0559143 0.0527606 141 0.022506 0.0304148
11 352 0.0434086 0.0353491 324 0.0510317 0.0529687 126 0.0201117 0.0298971
12 316 0.038969 0.0346188 293 0.046149 0.0522553 92 0.0146848 0.0238141
13 320 0.0394623 0.0379784 274 0.0431564 0.052939 94 0.015004 0.0263595
14 249 0.0307066 0.0318252 191 0.0300835 0.0397414 79 0.0126097 0.0238573
15 233 0.0287335 0.0319073 188 0.029611 0.0419113 54 0.00861931 0.0174723
16 201 0.0247873 0.0293602 156 0.0245708 0.0370959 53 0.0084597 0.018292
17 227 0.0279936 0.0352304 127 0.0200032 0.0320874 60 0.00957702 0.0220022
18 193 0.0238007 0.0317156 118 0.0185856 0.0315672 47 0.007502 0.0182489
19 190 0.0234308 0.0329572 125 0.0196881 0.0352976 54 0.00861931 0.0221316
20 163 0.0201011 0.0297619 77 0.0121279 0.0228877 46 0.00734238 0.0198451
21 129 0.0159083 0.0247316 84 0.0132304 0.0262168 49 0.00782123 0.0221963
22 141 0.0173881 0.0283195 60 0.00945031 0.019618 34 0.00542698 0.0161349
23 124 0.0152917 0.0260371 57 0.00897779 0.0194843 40 0.00638468 0.0198451
24 105 0.0129486 0.0230061 50 0.00787526 0.0178346 33 0.00526736 0.0170841
25 111 0.0136885 0.0253341 50 0.00787526 0.0185777 19 0.00303272 0.0102461
26 101 0.0124553 0.0239739 36 0.00567018 0.013911 21 0.00335196 0.0117776
27 75 0.00924898 0.0184871 33 0.00519767 0.0132422 18 0.0028731 0.0104834
28 72 0.00887902 0.0184049 30 0.00472515 0.0124842 22 0.00351157 0.0132876
