k tiecount  Rex2  Rey2  Rez2  Ree2 
3 467 0.666369 0.592314 0.676119 1.9348
4 442 1.14868 1.09978 0.984299 3.23276
5 466 1.65036 1.53668 1.43929 4.62633
6 432 2.09545 2.00268 1.93724 6.03537
7 337 2.57648 2.43924 2.33709 7.35281
8 342 2.88464 3.12238 2.85891 8.86593
9 316 4.24155 3.17765 3.6092 11.0284
10 306 4.26137 3.74862 4.36754 12.3775
11 293 5.41409 4.56005 5.24305 15.2172
12 268 5.35057 5.38291 5.83398 16.5675
13 222 5.90506 6.8404 5.96986 18.7153
14 247 6.53331 6.45822 6.70497 19.6965
15 214 7.81395 7.35062 7.43787 22.6024
16 216 8.11333 7.83909 9.47077 25.4232
17 198 9.99926 7.05705 9.07022 26.1265
18 193 10.0751 9.66929 10.0546 29.799
19 202 11.8085 9.3794 9.57656 30.7644
20 157 9.88381 13.4267 11.1285 34.439
21 154 12.6265 12.468 11.1174 36.2118
22 134 14.99 10.6226 13.588 39.2006
23 139 14.9218 12.543 11.5696 39.0343
24 145 12.8201 13.9941 15.4189 42.2331
25 123 14.2628 16.2456 12.5485 43.057
26 116 16.1777 15.2506 18.9673 50.3956
27 70 17.2329 17.2645 16.1094 50.6069
28 83 14.7715 17.2243 19.1792 51.175
29 80 19.5745 18.9796 13.777 52.3311
30 81 17.816 22.42 13.7479 53.984
31 80 20.2755 17.8428 24.6781 62.7964
32 75 16.9152 17.5083 19.6281 54.0516
33 54 16.4197 19.7009 17.8557 53.9763
34 61 19.3718 19.4383 24.9854 63.7956
35 48 16.237 21.6897 23.1541 61.0808
36 64 14.0167 24.1651 17.3315 55.5133
37 72 29.9154 23.5161 17.4304 70.8619
38 45 18.6961 12.7781 26.1149 57.5891
39 37 20.5778 28.3192 33.482 82.379
40 34 28.9736 21.2805 20.5418 70.7959
41 32 26.7336 19.2783 25.7963 71.8082
42 29 28.4649 25.3143 23.88 77.6592
43 50 26.5508 27.2433 25.6584 79.4525
44 28 20.8444 36.5842 19.7077 77.1363
45 30 20.5561 26.6129 27.2703 74.4392
46 25 17.7688 36.8522 40.1869 94.8079
47 31 23.874 30.4552 32.2108 86.54
48 18 33.4368 25.0199 26.937 85.3936
49 21 21.3678 29.1557 36.1407 86.6642
50 27 33.7999 19.7366 31.6958 85.2322
51 15 33.3504 27.0512 15.7261 76.1278
52 16 23.3712 35.2583 28.7485 87.3781
53 17 25.7251 14.8246 26.9596 67.5093
54 14 21.2957 29.6098 32.7491 83.6547
55 13 43.5948 22.5587 39.716 105.869
56 8 26.2016 9.57504 31.1525 66.9292
57 15 35.5017 25.5025 38.6808 99.685
58 16 54.9011 38.3121 42.8477 136.061
59 13 10.0137 31.7398 44.0493 85.8029
60 12 35.7396 8.97285 59.812 104.524
61 10 35.5922 32.4824 47.5133 115.588
62 9 42.8302 44.6614 29.2093 116.701
63 8 34.7305 48.9731 48.1977 131.901
64 6 6.36574 47.3937 38.6678 92.4273
65 4 11.6151 42.1069 19.3377 73.0596
66 6 21.6503 56.0358 27.0244 104.711
67 4 27.8111 38.4777 24.4078 90.6965
68 7 44.4035 22.2391 45.5518 112.194
69 3 31.1882 16.176 23.1109 70.4752
70 3 38.6986 12.595 33.2472 84.5408
71 4 31.4544 42.4358 26.4732 100.364
72 6 23.6255 23.9947 49.218 96.8382
73 5 44.6993 19.9278 37.4499 102.077
74 4 31.607 39.9696 9.54928 81.1259
75 8 26.6214 29.7162 15.9851 72.3227
76 3 15.7256 24.3818 11.0633 51.1707
77 1 0.518832 8.79063 58.1234 67.4329
78 6 80.0288 33.0416 36.9184 149.989
79 1 28.7639 4.16446 25.5931 58.5214
80 2 91.8469 7.56315 42.0794 141.489
81 2 103.164 2.90194 28.5501 134.616
82 2 4.65604 2.16002 6.0429 12.859
83 2 4.82297 3.02118 43.4147 51.2589
84 4 2.97787 17.8761 24.9678 45.8217
85 1 77.3728 135.249 1.47054 214.092
86 2 36.287 25.6924 58.2346 120.214
88 1 98.131 46.8089 20.197 165.137
89 2 69.1784 27.5855 45.9166 142.68
90 1 17.5442 83.0031 0.0266342 100.574
91 1 28.454 1.15498 3.0203 32.6293
94 1 25.8733 43.031 0.688568 69.5928
95 1 51.6202 117.494 18.8616 187.976
