rho rho_amorph rho_nem v_mon v_amorph v_nem 2.49534 1.50205 1.55533 0.400746 0.665758 0.642949
i  S count[S] pdf[S]
75  -0.51 64 0.0890447
74  -0.49 291 0.404875
73  -0.47 149 0.207307
72  -0.45 151 0.21009
71  -0.43 175 0.243482
70  -0.41 207 0.288004
69  -0.39 235 0.326961
68  -0.37 215 0.299135
67  -0.35 237 0.329744
66  -0.33 245 0.340874
65  -0.31 222 0.308874
64  -0.29 197 0.274091
63  -0.27 201 0.279656
62  -0.25 132 0.183655
61  -0.23 114 0.158611
60  -0.21 68 0.09461
59  -0.19 70 0.0973927
58  -0.17 46 0.0640009
57  -0.15 38 0.0528703
56  -0.13 26 0.0361744
55  -0.11 7 0.00973927
54  -0.09 9 0.0125219
53  -0.07 4 0.00556529
52  -0.05 2 0.00278265
51  -0.03 0 0
50  -0.01 0 0
0  0.01 0 0
1  0.03 0 0
2  0.05 2 0.00278265
3  0.07 3 0.00417397
4  0.09 8 0.0111306
5  0.11 17 0.0236525
6  0.13 20 0.0278265
7  0.15 48 0.0667835
8  0.17 68 0.09461
9  0.19 78 0.108523
10  0.21 107 0.148872
11  0.23 143 0.198959
12  0.25 176 0.244873
13  0.27 234 0.32557
14  0.29 275 0.382614
15  0.31 312 0.434093
16  0.33 331 0.460528
17  0.35 414 0.576008
18  0.37 476 0.66227
19  0.39 506 0.70401
20  0.41 505 0.702618
21  0.43 580 0.806968
22  0.45 559 0.77775
23  0.47 569 0.791663
24  0.49 598 0.832012
25  0.51 638 0.887665
26  0.53 634 0.882099
27  0.55 662 0.921056
28  0.57 559 0.77775
29  0.59 611 0.850099
30  0.61 600 0.834794
31  0.63 609 0.847316
32  0.65 588 0.818098
33  0.67 582 0.80975
34  0.69 605 0.841751
35  0.71 585 0.813924
36  0.73 596 0.829229
37  0.75 597 0.83062
38  0.77 576 0.801402
39  0.79 534 0.742967
40  0.81 578 0.804185
41  0.83 562 0.781924
42  0.85 534 0.742967
43  0.87 572 0.795837
44  0.89 549 0.763837
45  0.91 612 0.85149
46  0.93 620 0.862621
47  0.95 755 1.05045
48  0.97 3497 4.86546
49  0.99 7424 10.3292
