k tiecount  Rex2  Rey2  Rez2  Ree2 
3 481 0.688415 0.610025 0.620802 1.91924
4 420 1.12094 0.970104 1.09224 3.18328
5 434 1.76992 1.51206 1.41636 4.69834
6 406 1.897 1.92596 2.06674 5.8897
7 385 2.32432 2.49918 2.64764 7.47114
8 309 3.12589 2.7503 3.41784 9.29403
9 325 3.75593 3.66061 3.59899 11.0155
10 288 4.72681 4.29268 4.36512 13.3846
11 297 5.60458 4.62793 4.6815 14.914
12 277 5.07391 5.09345 5.48223 15.6496
13 263 7.02193 5.73196 5.68434 18.4382
14 208 7.48075 6.72595 6.32837 20.5351
15 218 8.76057 7.24042 7.38726 23.3882
16 211 7.84954 8.33404 7.74802 23.9316
17 191 9.72731 8.40945 9.45531 27.5921
18 192 9.11321 10.9255 10.684 30.7227
19 183 10.8266 10.6862 9.78769 31.3004
20 173 12.5935 10.8644 11.2105 34.6685
21 140 10.9613 12.8935 11.2686 35.1234
22 150 10.9197 12.2113 13.1135 36.2445
23 130 12.0507 11.6151 14.7929 38.4588
24 122 12.2139 13.906 13.9499 40.0699
25 106 19.835 15.7242 12.596 48.1552
26 108 15.7292 15.7413 17.5747 49.0453
27 110 18.0879 13.7306 15.4685 47.287
28 83 17.8307 15.0914 14.8493 47.7714
29 70 16.9187 13.908 17.5054 48.3321
30 77 20.5645 18.1691 17.6317 56.3653
31 71 19.8704 14.141 18.6644 52.6759
32 69 20.6091 16.3262 22.4425 59.3778
33 58 21.409 22.588 18.231 62.228
34 56 25.0718 19.0356 19.5332 63.6406
35 58 21.6759 20.9901 21.9942 64.6602
36 61 24.0985 20.2685 20.0428 64.4098
37 49 28.4382 21.9785 18.3234 68.7401
38 41 28.8946 24.0892 28.4264 81.4101
39 41 28.898 20.682 22.9877 72.5678
40 42 28.8174 20.0814 23.9835 72.8823
41 43 28.3285 18.4459 18.0476 64.8221
42 35 21.0046 23.3862 19.1555 63.5463
43 31 23.4141 38.0767 23.1754 84.6662
44 31 29.9089 19.438 22.6338 71.9807
45 27 23.949 25.6674 39.5217 89.1381
46 23 26.9163 21.7948 24.6277 73.3388
47 27 24.4811 20.5132 28.8012 73.7955
48 22 38.3251 25.9809 33.4618 97.7678
49 14 22.3938 16.4303 37.5738 76.3979
50 23 32.6436 24.8838 13.9543 71.4817
51 12 31.7372 63.8473 20.9334 116.518
52 13 36.0886 23.2805 33.7721 93.1412
53 14 40.1343 21.0868 16.455 77.676
54 15 28.5511 26.4775 42.8738 97.9025
55 18 45.3228 24.2005 18.5972 88.1205
56 14 19.7897 15.1961 17.3245 52.3102
57 10 45.1107 19.3293 31.9038 96.3438
58 11 32.9413 32.6785 43.8867 109.507
59 18 18.2442 42.2615 36.557 97.0627
60 13 47.6542 23.0173 43.9483 114.62
61 6 46.6789 48.1564 40.4558 135.291
62 8 38.587 27.8171 24.8514 91.2555
63 7 51.4887 21.8256 22.2187 95.533
64 12 28.7092 25.2735 29.2704 83.2531
65 6 57.3917 12.1135 18.5242 88.0294
66 7 19.5871 23.3656 40.6391 83.5919
67 8 58.0988 73.2295 20.5426 151.871
68 7 22.3436 34.8899 39.8352 97.0687
69 7 37.0812 22.9039 49.5661 109.551
70 6 101.97 58.8031 7.2062 167.979
71 5 32.0168 11.8723 6.77661 50.6657
72 5 15.3818 22.6492 29.1737 67.2047
73 2 98.0632 7.63033 65.628 171.322
74 4 14.9416 32.6943 23.8658 71.5017
75 1 4.95387 11.6967 2.75892 19.4095
76 3 13.0264 13.9263 10.0215 36.9742
77 5 32.5678 85.3263 6.01693 123.911
78 2 0.116025 46.8103 6.80482 53.7312
79 3 59.4252 45.0866 6.91518 111.427
80 2 25.3057 52.8324 15.8893 94.0275
81 2 45.7196 132.793 119.511 298.023
82 4 30.7421 108.342 35.2529 174.337
83 2 40.4822 12.602 89.7278 142.812
85 3 31.6541 43.7095 23.0944 98.458
86 1 61.2197 19.4111 0.671252 81.302
87 1 6.65588 18.4094 82.0916 107.157
88 4 55.4463 13.8245 61.8713 131.142
89 1 7.38954 231.505 30.3121 269.207
91 3 24.1392 123.61 92.7199 240.469
92 1 6.58384 85.5336 36.9397 129.057
95 1 44.9959 6.89798 36.8413 88.7352
