r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
0   78862   0.966288   0.932981   0.941196
2.02715   44030   0.902686   0.904505   0.882133
2.86683   13202   0.852006   0.877127   0.890099
3.51113   37598   0.796841   0.781327   0.76855
4.0543   71378   0.736003   0.727825   0.698569
4.53285   34034   0.67491   0.668867   0.694037
5.36334   32684   0.567114   0.474803   0.56665
5.73365   63808   0.515624   0.531967   0.467878
6.08146   62820   0.467732   0.500847   0.503166
6.41042   31114   0.41704   0.417131   0.379876
6.7233   10234   0.377848   0.386062   0.3873
7.02226   62250   0.348377   0.378624   0.307763
7.309   61826   0.304735   0.333543   0.424804
7.85113   30698   0.255434   0.319804   0.291166
8.10861   92618   0.225911   0.253627   0.319208
8.35816   62252   0.20377   0.27513   0.264407
8.60048   31310   0.181599   0.151506   0.222032
8.83615   62612   0.16568   0.153627   0.186331
9.0657   62586   0.143095   0.198822   0.186205
9.28958   31424   0.13132   0.160715   0.204156
9.72188   31866   0.104716   0.218726   0.179332
9.93098   95534   0.0962534   0.0296845   0.117014
10.1358   126792   0.0822496   0.1262   0.10944
10.3365   42138   0.0719007   0.106442   0.186311
10.7267   128440   0.0607623   0.110779   0.0837893
10.9165   64364   0.0488691   0.0908313   0.0741619
11.2867   32608   0.0476656   0.063733   0.0600574
11.4673   65334   0.0379486   0.154512   0.193029
11.6451   97386   0.0349466   0.0486247   -0.0388068
11.8202   65290   0.0304715   0.012839   0.0583951
11.9928   65008   0.021784   0.0834453   0.0325264
12.1629   64340   0.0125448   0.00618526   0.0748977
12.3307   98206   0.019659   0.112339   0.0233363
12.6596   64826   0.00642852   -0.0735224   -0.00123246
12.8208   163244   0.0109388   -0.0122949   0.0445858
12.9801   65668   0.00999444   0.0258483   -0.00375704
13.1374   32814   0.0156427   -0.073674   -0.00957363
13.2929   33086   0.00463451   0.208762   0.00178513
13.4466   131536   0.00374233   -0.00445715   -0.00158422
13.5986   65402   0.00216718   -0.0933452   0.0240875
13.8975   109446   -0.00173289   -0.00459917   0.00865222
14.0445   163614   -0.00298784   -0.023185   0.00421866
14.1901   65282   -0.0080926   -0.0713297   -0.0120066
14.3341   65444   -0.00445351   -0.0912144   -0.0140751
14.4768   130912   -0.00960445   0.0350523   -0.112694
14.618   131628   -0.00698102   0.0163695   0.010648
