k tiecount  Rex2  Rey2  Rez2  Ree2 
3 588 0.684698 0.662544 0.606288 1.95353
4 565 1.07516 1.06139 1.111 3.24755
5 549 1.55894 1.60795 1.53723 4.70411
6 528 2.01025 1.93271 2.11814 6.0611
7 459 2.69674 2.35231 2.62225 7.67131
8 394 3.30707 2.96061 3.02924 9.29693
9 367 3.68231 3.64367 3.95958 11.2856
10 350 4.40114 4.59009 4.11151 13.1027
11 300 5.84348 4.86543 4.88748 15.5964
12 327 5.61109 5.15536 5.37897 16.1454
13 287 6.0813 5.98589 6.87487 18.9421
14 279 8.47789 6.47203 6.74038 21.6903
15 222 7.59547 7.61458 7.34241 22.5525
16 206 9.98989 7.83132 8.59328 26.4145
17 213 9.54002 8.96314 9.84737 28.3505
18 194 10.8025 10.2475 9.74658 30.7966
19 187 12.5441 9.94651 11.7233 34.2138
20 157 12.5163 11.8749 10.8045 35.1957
21 160 12.5249 12.4028 11.5507 36.4783
22 142 12.8889 12.7125 15.1343 40.7358
23 135 13.1336 16.2435 13.8441 43.2212
24 120 14.3084 11.3984 14.8847 40.5915
25 124 15.8664 15.2527 13.6549 44.774
26 100 16.8868 12.8445 16.345 46.0763
27 121 18.1293 15.3152 16.067 49.5115
28 65 16.1736 12.4175 18.0865 46.6777
29 82 18.1828 13.895 17.7436 49.8213
30 78 18.1119 16.688 16.5866 51.3865
31 60 17.8392 17.899 19.9808 55.7189
32 50 17.0339 22.2725 20.1661 59.4725
33 55 17.4577 20.9885 21.9846 60.4308
34 51 24.3595 13.9969 14.9175 53.2739
35 49 33.4554 12.5403 21.3592 67.3548
36 43 30.3384 19.0978 22.4214 71.8576
37 34 18.2056 17.5508 18.3081 54.0644
38 30 23.478 24.8715 23.5759 71.9254
39 38 16.1038 23.1266 24.6817 63.9121
40 24 25.8094 15.3898 10.4157 51.6149
41 24 19.4179 22.802 20.1626 62.3825
42 22 28.2298 17.5784 29.2711 75.0794
43 34 32.1637 28.6167 27.7184 88.4988
44 17 25.6703 35.9105 35.4973 97.0781
45 20 37.5435 34.8536 31.8214 104.218
46 13 23.7118 29.6754 28.2068 81.594
47 27 34.8336 15.9462 31.6406 82.4205
48 11 28.104 22.9453 42.372 93.4213
49 13 36.7461 31.3454 19.4323 87.5238
50 13 35.9171 30.966 26.1925 93.0755
51 14 13.0732 20.6088 34.2833 67.9653
52 8 30.3523 22.5868 35.7514 88.6906
53 6 17.1712 30.2306 33.7614 81.1632
54 9 26.5187 43.6127 23.0358 93.1672
55 10 19.0151 19.9229 21.0838 60.0218
56 9 19.5864 27.5335 50.8869 98.0068
57 8 28.1164 37.0424 72.7378 137.897
58 5 17.2873 75.0704 34.3506 126.708
59 7 53.438 63.483 30.8187 147.74
60 3 36.616 8.22862 22.3334 67.178
61 3 23.9777 14.419 26.2178 64.6144
62 4 32.7827 91.0164 5.24944 129.048
63 7 45.2023 35.0275 6.8307 87.0605
64 2 7.94568 87.5233 8.91999 104.389
65 4 8.18661 20.2414 11.5386 39.9667
66 3 19.3263 43.6857 40.2627 103.275
67 2 1.56621 52.9999 31.237 85.8031
68 2 92.1824 17.496 1.28155 110.96
69 2 6.59115 37.8654 10.3891 54.8456
70 4 68.6759 47.4266 37.0333 153.136
71 2 20.4712 32.9868 15.7384 69.1964
72 2 38.4041 19.0101 9.51931 66.9335
73 1 15.8046 79.0699 2.55041 97.4249
74 2 66.4455 46.8618 13.3348 126.642
75 2 17.5884 18.6545 69.3101 105.553
76 1 23.1484 34.6262 109.728 167.502
78 2 23.4934 44.0687 26.0287 93.5908
81 1 48.916 36.7406 8.91739 94.574
84 1 86.2447 13.3773 18.9638 118.586
89 1 151.636 76.8261 178.989 407.451
91 1 8.0446 33.914 83.9355 125.894
