index Run NumInRun Step StepSequence Temp E_pair E_mol TotEng Press Volume
0 1 0 0 0 0.99933233 -0.95410713 2.7370092 3.2818985 7.9581708 307550.74
1 1 1 10000 10000 0.95205978 -0.97624822 2.6267096 3.0785491 7.9997245 306051.06
2 1 2 20000 20000 0.90121191 -0.99638446 2.5028381 2.8582696 7.9630258 304481.25
3 1 3 30000 30000 0.85100396 -1.0186602 2.3695199 2.6273639 7.9738839 302847.89
4 1 4 40000 40000 0.80075202 -1.0404132 2.2387691 2.3994823 7.9771499 301266.47
5 1 5 50000 50000 0.75095704 -1.0615098 2.1113691 2.1762933 7.9866146 299711.71
6 1 6 60000 60000 0.70083866 -1.0816077 1.9893051 1.9589538 8.0063585 298158.95
7 1 7 70000 70000 0.64956095 -1.100386 1.8803117 1.7542657 7.985134 296805.89
8 1 8 80000 80000 0.60003464 -1.1171292 1.7807344 1.5636559 7.960574 295488.3
9 1 9 90000 90000 0.55047689 -1.1330934 1.692757 1.3853778 7.9949548 294313.38
10 1 10 100000 100000 0.50108253 -1.1478908 1.6155439 1.2192759 7.9701092 293197.95
