clustersize volume vol_Vtot Ncluster pdf1 volume_pdf volume_pdf_x_cryst
3.0 24.06323096424674 8.347942232239754e-05 441 0.6641566265060241 0.040587802184317096 0.01779845770717236
5.0 40.10538494041123 0.00013913237053732924 57 0.0858433734939759 0.008743404098662413 0.0038341348802298733
7.0 56.147538916575726 0.00019478531875226094 11 0.016566265060240965 0.002362253037182476 0.0010358890729042112
9.0 72.18969289274021 0.0002504382669671926 7 0.010542168674698794 0.0019327524849674807 0.0008475456051034457
12.0 96.25292385698695 0.0003339176892895902 10 0.007530120481927711 0.0018407166523499816 0.0008071862905747101
17.0 136.3583087973982 0.00047305005982691944 9 0.004518072289156626 0.0015646091544974843 0.0006861083469885036
30.0 240.6323096424674 0.0008347942232239755 19 0.00286144578313253 0.0017486808197324825 0.0007668269760459746
50.0 401.0538494041123 0.0013913237053732924 15 0.002259036144578313 0.002300895815437477 0.0010089828632183877
70.0 561.4753891657572 0.0019478531875226092 8 0.0012048192771084338 0.0017180022088599829 0.0007533738712030628
90.0 721.8969289274022 0.0025043826696719263 8 0.0012048192771084338 0.002208859982819978 0.0009686235486896521
110.0 882.3184686890471 0.0030609121518212433 4 0.0006024096385542169 0.0013498588783899864 0.0005919366130881207
130.0 1042.740008450692 0.00361744163397056 8 0.0012048192771084338 0.003190575530739968 0.001399122903662831
170.0 1363.583087973982 0.004730500598269195 15 0.0007530120481927711 0.002607681924162474 0.001143513911647506
300.0 2406.3230964246736 0.008347942232239754 32 0.0004819277108433735 0.0029451466437599707 0.0012914980649195364
500.0 4010.538494041123 0.013913237053732925 8 0.00012048192771084338 0.0012271444348999877 0.0005381241937164734
700.0 5614.753891657572 0.019478531875226093 3 4.5180722891566266e-05 0.0006442508283224936 0.00028251520170114857
900.0 7218.969289274021 0.025043826696719264 2 3.0120481927710845e-05 0.0005522149957049945 0.00024215588717241304
1100.0 8823.18468689047 0.03060912151821243 2 3.0120481927710845e-05 0.0006749294391949932 0.00029596830654406034
1300.0 10427.40008450692 0.036174416339705605 3 4.5180722891566266e-05 0.001196465824027488 0.0005246710888735616
1700.0 13635.830879739819 0.04730500598269194 1 5.020080321285141e-06 0.00017384546161083162 7.623426077650041e-05
