clustersize volume vol_Vtot Ncluster pdf1 volume_pdf volume_pdf_x_cryst
3.0 26.26011978742212 9.1552734375e-05 342 0.6653696498054474 0.0007125 0.0003559890747070313
5.0 43.766866312370205 0.000152587890625 34 0.06614785992217899 0.00011805555555555556 5.89845445421007e-05
7.0 61.27361283731828 0.000213623046875 11 0.021400778210116732 5.3472222222222224e-05 2.6716528998480904e-05
9.0 78.78035936226637 0.000274658203125 4 0.007782101167315175 2.5e-05 1.24908447265625e-05
12.0 105.04047914968848 0.0003662109375 4 0.0038910505836575876 1.6666666666666667e-05 8.327229817708334e-06
17.0 148.8073454620587 0.000518798828125 13 0.008430609597924773 5.11574074074074e-05 2.5559969301576965e-05
30.0 262.6011978742212 0.00091552734375 17 0.0033073929961089494 3.541666666666667e-05 1.769536336263021e-05
50.0 437.668663123702 0.00152587890625 7 0.0013618677042801556 2.4305555555555554e-05 1.2143876817491318e-05
70.0 612.7361283731829 0.00213623046875 5 0.0009727626459143969 2.4305555555555554e-05 1.2143876817491318e-05
90.0 787.8035936226637 0.00274658203125 6 0.0011673151750972762 3.75e-05 1.873626708984375e-05
110.0 962.8710588721444 0.00335693359375 5 0.0009727626459143969 3.8194444444444444e-05 1.908323499891493e-05
130.0 1137.9385241216253 0.00396728515625 4 0.0007782101167315176 3.611111111111111e-05 1.804233127170139e-05
170.0 1488.073454620587 0.00518798828125 12 0.0007782101167315176 4.722222222222222e-05 2.3593817816840276e-05
300.0 2626.0119787422122 0.0091552734375 29 0.0005642023346303502 6.041666666666667e-05 3.018620808919271e-05
500.0 4376.68663123702 0.0152587890625 6 0.00011673151750972762 2.0833333333333333e-05 1.0409037272135417e-05
700.0 6127.361283731829 0.0213623046875 5 9.72762645914397e-05 2.4305555555555554e-05 1.2143876817491318e-05
900.0 7878.035936226636 0.0274658203125 1 1.945525291828794e-05 6.25e-06 3.122711181640625e-06
1100.0 9628.710588721444 0.0335693359375 3 5.836575875486381e-05 2.2916666666666667e-05 1.1449940999348958e-05
1300.0 11379.385241216252 0.0396728515625 2 3.891050583657588e-05 1.8055555555555555e-05 9.021165635850695e-06
1700.0 14880.73454620587 0.0518798828125 2 1.2970168612191959e-05 7.87037037037037e-06 3.932302969473379e-06
3000.0 26260.11978742212 0.091552734375 1 1.945525291828794e-06 2.0833333333333334e-06 1.0409037272135418e-06
