clustersize volume vol_Vtot Ncluster pdf1 volume_pdf volume_pdf_x_cryst
3.0 24.389451204610296 7.632810909831062e-05 384 0.6725043782837128 0.00072 0.0003185629961327092
5.0 40.649085341017155 0.00012721351516385102 34 0.0595446584938704 0.00010625 4.701016435986159e-05
7.0 56.90871947742402 0.00017809892122939145 9 0.01576182136602452 3.9375e-05 1.7421413851007532e-05
9.0 73.16835361383089 0.00022898432729493188 5 0.008756567425569177 2.8125e-05 1.2443867036433951e-05
12.0 97.55780481844118 0.00030531243639324247 7 0.006129597197898424 2.625e-05 1.1614275900671688e-05
17.0 138.20689015945834 0.0004325259515570935 6 0.0035026269702276708 2.125e-05 9.40203287197232e-06
30.0 243.89451204610293 0.0007632810909831061 18 0.003152364273204904 3.375e-05 1.4932640443720741e-05
50.0 406.49085341017155 0.0012721351516385103 8 0.0014010507880910684 2.5e-05 1.1061215143496845e-05
70.0 569.0871947742402 0.0017809892122939144 11 0.001926444833625219 4.8125e-05 2.1292839151231428e-05
90.0 731.6835361383088 0.0022898432729493183 11 0.001926444833625219 6.187500000000001e-05 2.7376507480154697e-05
110.0 894.2798775023774 0.0027986973336047226 9 0.001576182136602452 6.1875e-05 2.7376507480154694e-05
130.0 1056.8762188664462 0.003307551394260127 6 0.001050788091068301 4.875e-05 2.156936952981885e-05
170.0 1382.0689015945834 0.0043252595155709355 9 0.0005253940455341506 3.1875e-05 1.4103049307958478e-05
300.0 2438.9451204610295 0.007632810909831062 29 0.0005078809106830122 5.4375e-05 2.405814293710564e-05
500.0 4064.9085341017158 0.012721351516385104 7 0.00012259194395796848 2.1875e-05 9.67856325055974e-06
700.0 5690.871947742402 0.017809892122939142 4 7.005253940455341e-05 1.75e-05 7.742850600447792e-06
900.0 7316.835361383089 0.022898432729493188 8 0.00014010507880910682 4.5e-05 1.9910187258294324e-05
1100.0 8942.798775023775 0.02798697333604723 3 5.253940455341506e-05 2.0625e-05 9.125502493384897e-06
1300.0 10568.762188664461 0.03307551394260127 2 3.5026269702276706e-05 1.625e-05 7.189789843272949e-06
