        4000
   94.7092088216862        94.7092088216862        94.7092088216862     
          23
       39.201909       -42.107300         7.640374     1.00 0
       39.565565       -43.426709         7.842052     5.50 1
       45.285814       -46.853613         9.306810    29.67 1
       46.388483       -46.936688         9.363068    34.68 1
       46.528183       -46.189638         7.368525    49.84 1
       44.725640       -44.386066         7.146659    66.00 1
       36.842669       -44.998296        13.748299   121.25 1
       36.250828       -43.633902        13.712398   143.75 1
       37.289101       -43.650013        10.629133   168.51 1
       35.170396       -44.394966        11.387840   192.01 1
       33.828498       -44.771716        12.972724   217.00 1
       32.664865       -45.017782        14.574634   229.10 1
       39.556972       -41.567388        13.280940   316.75 1
       40.203028       -41.046788        18.146336   363.57 1
       39.866120       -40.793887        19.672491   378.57 1
       40.476809       -39.343762        22.117030   394.50 1
       43.465801       -38.365982        23.910178   405.73 1
       44.919566       -38.539845        23.507592   423.12 1
       45.640498       -39.316065        23.122736   437.06 1
       43.431512       -39.400368        24.832050   459.00 1
       42.915095       -40.207082        28.660364   490.33 1
       42.924477       -40.288099        28.834251   493.17 1
       44.545509       -42.759700        30.449374   500.00 0
          24
        3.661720         0.952206       -14.711626     1.00 0
        1.842414        -0.653562       -16.839570    20.33 1
        1.834649        -0.342748       -17.521468    29.67 1
        1.643170         0.553861       -18.762488    43.15 1
       -3.158175         5.042779       -23.819163    94.50 1
       -3.884676         2.995173       -23.921716   114.67 1
       -7.451892        -1.474019       -18.830860   144.00 1
       -5.698256        -2.563969       -21.646229   159.50 1
       -5.364671        -3.058226       -24.531786   169.33 1
       -8.056190        -4.527582       -24.770181   182.50 1
       -9.790366        -5.887850       -24.734211   191.00 1
      -11.302046        -6.158014       -27.019393   201.50 1
      -13.126856        -4.168897       -29.153147   215.50 1
      -14.590722        -3.085369       -29.156104   242.00 1
       -9.451680        -5.470215       -27.047580   329.60 1
       -8.878513        -5.374260       -28.081716   334.20 1
       -9.492997        -5.732068       -28.891517   338.80 1
      -10.903025       -11.285027       -26.691134   388.50 1
       -6.446083       -14.127378       -24.658989   411.68 1
       -4.994466       -17.276727       -25.433563   429.33 1
       -3.898469       -18.603610       -27.632106   445.61 1
       -3.580940       -17.990164       -28.784420   456.21 1
       -2.928665       -15.364459       -27.834372   485.31 1
       -4.114490       -12.947400       -25.365626   500.00 0
          29
       -8.299110        46.617909        31.845374     1.00 0
       -5.455205        47.821993        33.075632    13.11 1
       -4.816977        53.024035        31.742709    29.61 1
       -5.372183        54.613770        35.806737    55.94 1
       -5.807056        55.337927        36.500530    62.47 1
       -5.871380        56.931965        36.631607    71.50 1
       -6.447710        63.160152        38.882553   100.50 1
       -9.882900        64.394993        37.930204   122.05 1
      -12.112460        63.413092        39.324020   138.00 1
      -13.926350        62.618142        41.223143   163.00 1
      -13.945652        63.095205        41.355842   165.00 1
      -12.529651        65.505277        41.725024   179.50 1
       -9.287245        61.046948        40.457343   205.83 1
       -5.873798        62.916516        41.894042   226.06 1
      -10.311702        58.253341        43.577289   275.66 1
      -11.601847        61.927491        42.944281   297.50 1
      -13.926179        68.171850        41.653548   332.28 1
      -13.433148        69.513372        38.146701   357.03 1
      -13.684627        70.850402        36.183260   372.60 1
      -11.549320        70.818044        34.365191   398.00 1
      -11.143890        70.685571        34.942715   400.00 1
