index Run NumInRun Step StepSequence Temp E_pair E_mol TotEng Press Volume
0 1 0 0 0 0.88129239 -1.0185425 2.4888631 2.7922584 8.0253972 839454.74
1 1 1 1200000 1200000 0.87967163 -1.0365423 2.3512164 2.6341808 7.9796984 835659.13
2 1 2 2400000 2400000 0.87988768 -1.0518584 2.2799831 2.5479555 8.0203853 832607.02
3 1 3 3600000 3600000 0.88014692 -1.0750354 2.1864592 2.4316436 7.9791888 828030.4
4 1 4 4800000 4800000 0.88013219 -1.0981771 2.0987557 2.3207761 8.0018036 823398.07
5 1 5 6000000 6000000 0.88023632 -1.1165714 2.0316778 2.2354602 7.983318 819600.12
6 1 6 7200000 7200000 0.88145524 -1.1314527 1.983432 2.1741615 8.0300864 816947.85
7 1 7 8400000 8400000 0.87983082 -1.1408723 1.9434294 2.1223026 8.0084434 814693.8
8 1 8 9600000 9600000 0.88026855 -1.1494511 1.9170719 2.088023 8.0084392 813128.02
9 1 9 10800000 10800000 0.87985512 -1.1555527 1.894574 2.0588033 8.006081 811889.21
10 1 10 12000000 12000000 0.88015834 -1.1601929 1.8796439 2.0396878 8.0057241 810947.17
11 1 11 13200000 13200000 0.87960645 -1.1650732 1.8663623 2.0206981 8.0006668 810167.14
12 1 12 14400000 14400000 0.88074914 -1.1684288 1.8526324 2.0053267 8.0042659 809361.68
13 1 13 15600000 15600000 0.87965123 -1.1707783 1.8453879 1.9940858 8.0227313 808808.5
14 1 14 16800000 16800000 0.88050949 -1.1733477 1.8374625 1.9848784 8.0242539 808479.75
15 1 15 18000000 18000000 0.88120213 -1.1767619 1.8275902 1.9726308 8.0016623 807858.09
16 1 16 19200000 19200000 0.88012021 -1.1778568 1.822592 1.9649149 8.0071719 807545.93
17 1 17 20400000 20400000 0.88088209 -1.1793538 1.8168482 1.9588168 8.0030998 807122.55
18 1 18 21600000 21600000 0.88060575 -1.1815352 1.8106572 1.95003 7.9862639 806852.53
19 1 19 22800000 22800000 0.87937993 -1.1822906 1.8069706 1.9437492 7.9961198 806549.13
20 2 1 24000000 1200000 0.88057984 -1.1849014 1.801014 1.9369817 7.9891373 806378.82
21 2 2 25200000 2400000 0.88014124 -1.1861887 1.7993459 1.9333684 7.9957053 806192.45
22 2 3 26400000 3600000 0.88022822 -1.1862769 1.7952712 1.9293359 8.0092199 805771.85
23 2 4 27600000 4800000 0.87991172 -1.1877658 1.7922851 1.9243862 8.0073124 805588.26
24 2 5 28800000 6000000 0.8805811 -1.1889529 1.786995 1.918913 7.9908973 805429.53
25 2 6 30000000 7200000 0.8799104 -1.1902711 1.7868123 1.9164061 8.0190717 805259.42
26 2 7 31200000 8400000 0.88015849 -1.190416 1.7816121 1.9114331 7.9918794 805041.14
27 2 8 32400000 9600000 0.8793736 -1.1910338 1.7816574 1.9096833 7.9825173 804905.15
28 2 9 33600000 10800000 0.88035758 -1.1916095 1.7770126 1.9059389 7.9835832 804735.75
29 3 1 34800000 1200000 0.87860615 -1.1927159 1.7746511 1.8998438 8.0093113 804589.03
30 3 2 36000000 2400000 0.88031645 -1.1937911 1.7731026 1.8997856 8.009788 804547.18
31 3 3 37200000 3600000 0.87967632 -1.1946875 1.7722743 1.8971006 7.9889456 804488.47
32 3 4 38400000 4800000 0.88034249 -1.1954541 1.7679246 1.8929836 7.9973022 804258.55
33 3 5 39600000 6000000 0.88024727 -1.1954568 1.7674632 1.8923766 8.0104225 804112.17
34 3 6 40800000 7200000 0.87960139 -1.195777 1.7665275 1.8901519 7.9997336 804089.46
35 3 7 42000000 8400000 0.88043106 -1.1965828 1.7664437 1.8905069 7.9862958 803993.51
36 3 8 43200000 9600000 0.87999454 -1.1969976 1.7620867 1.8850802 7.993127 803803.14
37 3 9 44400000 10800000 0.87992905 -1.1974056 1.7593769 1.8818642 7.9983043 803692.17
38 3 10 45600000 12000000 0.88076877 -1.1981427 1.7595536 1.8825634 8.0109355 803605.17
39 3 11 46800000 13200000 0.88002843 -1.1982402 1.7579082 1.87971 8.0044753 803546.08
40 3 12 48000000 14400000 0.88002835 -1.2000226 1.7561756 1.8761948 8.0206548 803442.33
41 3 13 49200000 15600000 0.88067902 -1.1997499 1.7548642 1.8761322 7.982163 803404.47
42 3 14 50400000 16800000 0.87987485 -1.1995573 1.755264 1.8755183 7.9915155 803381.82
43 3 15 51600000 18000000 0.87970334 -1.2002831 1.7529544 1.8722257 7.9916561 803262.12
44 3 16 52800000 19200000 0.87988441 -1.2004758 1.7528215 1.8721716 7.9806412 803287.27
45 3 17 54000000 20400000 0.88022005 -1.201312 1.7504942 1.8695116 8.0053108 803056.29
46 3 18 55200000 21600000 0.88074457 -1.2015139 1.750787 1.8703893 8.0004437 802986.29
47 3 19 56400000 22800000 0.87968132 -1.2015999 1.7488162 1.8667377 8.0078826 802964.88
48 3 20 57600000 24000000 0.88013975 -1.2015627 1.7468927 1.865539 8.0119799 802889.64
49 3 21 58800000 25200000 0.87997849 -1.2026773 1.7454156 1.8627053 7.9973514 802894.19
50 3 22 60000000 26400000 0.88111946 -1.2027811 1.745038 1.8639355 7.9844865 802818.67
51 3 23 61200000 27600000 0.88032166 -1.2028683 1.7459055 1.863519 8.0266925 802715.99
52 3 24 62400000 28800000 0.8791227 -1.2037216 1.7453386 1.8603005 7.9978164 802626.97
53 3 25 63600000 30000000 0.88034502 -1.2024969 1.7422962 1.8603161 7.9928369 802545.23
54 3 26 64800000 31200000 0.88028012 -1.2040444 1.741595 1.8579701 8.0130376 802671.77
55 3 27 66000000 32400000 0.87988017 -1.2041591 1.7419952 1.8576557 8.0035139 802550.73
56 3 28 67200000 33600000 0.88005254 -1.2046758 1.7409222 1.8563245 8.002986 802526.84
57 3 29 68400000 34800000 0.88041738 -1.2042764 1.740773 1.857122 7.9898035 802446.18
58 3 30 69600000 36000000 0.88074877 -1.2047129 1.7396326 1.8560422 8.0145794 802355.7
59 3 31 70800000 37200000 0.88021257 -1.2054032 1.7382361 1.8531512 8.0088274 802319.38
60 4 1 72000000 1200000 0.88027273 -1.2042524 1.7385071 1.8546631 7.9941275 802213.79
61 4 2 73200000 2400000 0.87871263 -1.2055219 1.7384411 1.8509874 7.9950893 802235.48
62 4 3 74400000 3600000 0.88038433 -1.2056202 1.7359008 1.8508564 8.0183743 802289.3
63 4 4 75600000 4800000 0.87969065 -1.2053425 1.735842 1.8500348 8.0181325 802089.94
64 4 5 76800000 6000000 0.88006347 -1.2064295 1.735709 1.849374 8.0054176 802083.78
65 4 6 78000000 7200000 0.87984974 -1.2066803 1.7343159 1.8474095 7.9874639 802093.29
66 4 7 79200000 8400000 0.880072 -1.2070918 1.7338299 1.8468455 7.9966316 801958.78
67 4 8 80400000 9600000 0.88056447 -1.207425 1.730418 1.8438391 8.0054261 801971.4
68 4 9 81600000 10800000 0.88012105 -1.2067326 1.7309448 1.8443931 7.9929343 801907.05
69 4 10 82800000 12000000 0.88014841 -1.2074843 1.7327169 1.8454545 7.9978142 801840.2
70 4 11 84000000 13200000 0.88093788 -1.2070017 1.7326482 1.8470526 7.9979343 801907.49
71 4 12 85200000 14400000 0.88073141 -1.2076221 1.7313026 1.844777 8.0063721 801881.14
72 4 13 86400000 15600000 0.87933319 -1.2080263 1.7292789 1.8402517 7.9938358 801699.2
73 4 14 87600000 16800000 0.8800229 -1.2080055 1.728475 1.8405031 7.995073 801780.78
74 4 15 88800000 18000000 0.88025392 -1.2081243 1.7308779 1.8431339 7.9987703 801732.61
75 4 16 90000000 19200000 0.8805436 -1.2083189 1.7273054 1.8398012 7.994521 801736.5
76 4 17 91200000 20400000 0.87940363 -1.2085496 1.727218 1.8377732 7.9904647 801621.13
77 4 18 92400000 21600000 0.88061668 -1.2093383 1.7274401 1.8390261 7.9884181 801624.99
78 4 19 93600000 22800000 0.88029502 -1.2084952 1.7268576 1.8388042 8.0100695 801586.16
79 4 20 94800000 24000000 0.88017375 -1.2091226 1.726015 1.8371524 7.9850219 801680.75
80 4 21 96000000 25200000 0.88034473 -1.2093364 1.7266906 1.8378707 7.9867311 801554.63
81 4 22 97200000 26400000 0.88011615 -1.2085622 1.7256196 1.837231 8.0103306 801545.46
82 4 23 98400000 27600000 0.88012064 -1.2088996 1.7247596 1.8360403 7.9854382 801454.68
83 4 24 99600000 28800000 0.88020005 -1.2097674 1.7231532 1.8336852 8.0029102 801332.97
84 4 25 100800000 30000000 0.88048636 -1.209302 1.7225572 1.833984 8.0070212 801421.3
85 4 26 102000000 31200000 0.87885563 -1.2092302 1.724018 1.8330706 7.9999126 801383.53
86 4 27 103200000 32400000 0.88067211 -1.2101993 1.7224111 1.8332192 7.9712739 801364.03
87 4 28 104400000 33600000 0.88013791 -1.2106032 1.7232383 1.8328413 8.012946 801336.13
88 4 29 105600000 34800000 0.88064883 -1.210167 1.7211452 1.8319507 8.0178091 801230.49
89 4 30 106800000 36000000 0.88015612 -1.2105394 1.7219018 1.831596 8.0186873 801295.09
90 4 31 108000000 37200000 0.88021123 -1.2105908 1.7216306 1.831356 8.0112326 801260.82
91 5 1 109200000 1200000 0.88029409 -1.2104307 1.7203931 1.8304028 8.019471 801228.0
92 5 2 110400000 2400000 0.88069657 -1.2112259 1.7202061 1.8300244 7.9802737 801278.2
93 5 3 111600000 3600000 0.87961022 -1.211346 1.7216249 1.8296936 8.018712 801245.17
94 5 4 112800000 4800000 0.88069044 -1.210987 1.7212654 1.8313135 7.9920356 801174.02
95 5 5 114000000 6000000 0.88025867 -1.2119251 1.7192945 1.8277568 7.9846997 801191.45
