index time total_bonds tie_bonds f_tie n_tie_chains mean_tie_length
0 0 1980000 66 3.3333333333333335e-05 2 33.0
1 1200000 1980000 23628 0.011933333333333334 953 24.793284365162645
2 2400000 1980000 110821 0.05597020202020202 4655 23.80687432867884
3 3600000 1980000 223697 0.11297828282828283 9260 24.157343412527
4 4800000 1980000 329298 0.16631212121212122 13679 24.073250968638057
5 6000000 1980000 389999 0.19696919191919193 16928 23.038693289224952
6 7200000 1980000 422562 0.2134151515151515 18748 22.5390441647109
7 8400000 1980000 436533 0.22047121212121212 20013 21.812471893269375
8 9600000 1980000 453101 0.2288388888888889 20945 21.632895679159702
9 10800000 1980000 457341 0.23098030303030304 21363 21.408088751579836
10 12000000 1980000 451902 0.22823333333333334 21511 21.00794942122635
11 13200000 1980000 451954 0.22825959595959597 21569 20.953868978626733
12 14400000 1980000 460173 0.23241060606060607 22268 20.66521465780492
13 15600000 1980000 456914 0.23076464646464648 22070 20.70294517444495
14 16800000 1980000 452823 0.22869848484848485 22120 20.47120253164557
15 18000000 1980000 454629 0.22961060606060607 22505 20.201244167962674
16 19200000 1980000 455957 0.23028131313131314 22535 20.233281562014643
17 20400000 1980000 452291 0.22842979797979798 22452 20.144797790842688
18 21600000 1980000 453660 0.22912121212121211 22409 20.244544602615022
19 22800000 1980000 450757 0.2276550505050505 22483 20.048792420940266
20 24000000 1980000 453529 0.2290550505050505 22780 19.90908691834943
21 25200000 1980000 453478 0.22902929292929292 22698 19.97876464886774
22 26400000 1980000 453342 0.22896060606060606 23029 19.68570063832559
23 27600000 1980000 449062 0.2267989898989899 23019 19.508319214561883
24 28800000 1980000 444616 0.22455353535353537 22675 19.608202866593164
25 30000000 1980000 449195 0.2268661616161616 22962 19.562538106436723
26 31200000 1980000 445207 0.2248520202020202 22827 19.503526525605643
27 32400000 1980000 445875 0.22518939393939394 22861 19.503739993876035
28 33600000 1980000 448016 0.22627070707070707 23014 19.467106978361
29 34800000 1980000 442863 0.22366818181818182 22938 19.30695788647659
30 36000000 1980000 446699 0.22560555555555556 23187 19.265062319403114
31 37200000 1980000 443574 0.2240272727272727 22999 19.28666463759294
32 38400000 1980000 444536 0.2245131313131313 23032 19.300798888502953
33 39600000 1980000 445168 0.22483232323232324 23224 19.1684464347227
34 40800000 1980000 442524 0.2234969696969697 22998 19.241847117140622
35 42000000 1980000 441910 0.22318686868686868 23002 19.211807668898356
36 43200000 1980000 437863 0.22114292929292928 22834 19.175921870894282
37 44400000 1980000 449488 0.22701414141414142 23526 19.106010371503867
38 45600000 1980000 443055 0.22376515151515153 23078 19.198154086142647
39 46800000 1980000 442509 0.22348939393939393 23226 19.052312064066133
40 48000000 1980000 436760 0.22058585858585858 22814 19.144385026737968
41 49200000 1980000 434801 0.21959646464646465 22827 19.047662855390545
42 50400000 1980000 437826 0.22112424242424242 23170 18.896245144583514
43 51600000 1980000 437867 0.2211449494949495 23071 18.979107971045902
44 52800000 1980000 440388 0.22241818181818182 23244 18.946308724832214
45 54000000 1980000 444101 0.22429343434343435 23422 18.960848774656306
46 55200000 1980000 439739 0.22209040404040403 23508 18.705929896205546
47 56400000 1980000 441480 0.22296969696969696 23291 18.954961143789447
48 57600000 1980000 440673 0.2225621212121212 23256 18.94878740970072
49 58800000 1980000 441176 0.2228161616161616 23360 18.88595890410959
50 60000000 1980000 439438 0.22193838383838385 23301 18.859190592678427
51 61200000 1980000 441683 0.22307222222222223 23326 18.935222498499527
52 62400000 1980000 435344 0.21987070707070708 23067 18.873022066155112
