clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.28449 1.02737e-05 1094 0.757618 0.0197096 0.00656979
2 16.569 2.05474e-05 107 0.0740997 0.00578316 0.0019277
3 24.8535 3.08211e-05 28 0.0193906 0.00252225 0.000840741
4 33.1379 4.10948e-05 16 0.0110803 0.0020178 0.000672593
5 41.4224 5.13685e-05 12 0.00831025 0.00194574 0.000648572
7 57.9914 7.19158e-05 7 0.00242382 0.000756675 0.000252222
10 82.8449 0.000102737 13 0.00300092 0.00132718 0.00044239
20 165.69 0.000205474 20 0.00138504 0.00108096 0.000360318
30 248.535 0.000308211 13 0.000900277 0.00117104 0.000390344
40 331.379 0.000410948 18 0.00124654 0.00227002 0.000756667
50 414.224 0.000513685 13 0.000900277 0.00210788 0.00070262
60 497.069 0.000616421 9 0.000623269 0.00178359 0.000594524
70 579.914 0.000719158 6 0.000415512 0.00140525 0.000468413
100 828.449 0.00102737 14 0.000323176 0.00142927 0.00047642
200 1656.9 0.00205474 35 0.000242382 0.00189169 0.000630556
300 2485.35 0.00308211 17 0.000117729 0.00153137 0.00051045
400 3313.79 0.00410948 7 4.84765e-05 0.000882787 0.000294259
500 4142.24 0.00513685 6 4.15512e-05 0.000972868 0.000324286
600 4970.69 0.00616421 3 2.07756e-05 0.00059453 0.000198175
700 5799.14 0.00719158 1 6.92521e-06 0.000234209 7.80688e-05
1000 8284.49 0.0102737 1 2.3084e-06 0.000102091 3.403e-05
2000 16569 0.0205474 4 2.77008e-06 0.000216193 7.20635e-05
the total number of clusters with at least 2 elements is 350 nematic grid elements
 The total number of independent crystalline domains is:  1444
 The average cluster size of crystalline domains is :  19.2195
 The average volume fraction of crystalline domains is :  0.00441151
 The total number of crystalline grid elements is:  27753
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 0.0140565 806379 97336 0.33333 19.2195 0.000197456 3557.35 0.00441151
