clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.06566 2.78265e-05 455 0.736246 0.0197774 0.00707513
2 16.1313 5.56529e-05 50 0.0809061 0.00652004 0.00233246
3 24.197 8.34794e-05 8 0.012945 0.00173868 0.000621989
4 32.2626 0.000111306 6 0.00970874 0.00182561 0.000653089
5 40.3283 0.000139132 3 0.00485437 0.00117361 0.000419843
7 56.4596 0.000194785 5 0.00404531 0.00130401 0.000466492
10 80.6566 0.000278265 7 0.00377562 0.00172419 0.000616806
20 161.313 0.000556529 12 0.00194175 0.00156481 0.00055979
30 241.97 0.000834794 8 0.0012945 0.00173868 0.000621989
40 322.626 0.00111306 6 0.000970874 0.00182561 0.000653089
50 403.283 0.00139132 6 0.000970874 0.00234721 0.000839686
60 483.939 0.00166959 7 0.00113269 0.00334695 0.00119733
70 564.596 0.00194785 5 0.000809061 0.00282535 0.00101073
100 806.566 0.00278265 8 0.000431499 0.0019705 0.000704921
200 1613.13 0.00556529 16 0.0002589 0.00208641 0.000746387
300 2419.7 0.00834794 4 6.47249e-05 0.000869338 0.000310995
400 3226.26 0.0111306 5 8.09061e-05 0.00152134 0.000544241
500 4032.83 0.0139132 4 6.47249e-05 0.00156481 0.00055979
600 4839.39 0.0166959 1 1.61812e-05 0.000478136 0.000171047
700 5645.96 0.0194785 2 3.23625e-05 0.00113014 0.000404293
the total number of clusters with at least 2 elements is 163 nematic grid elements
 The total number of independent crystalline domains is:  618
 The average cluster size of crystalline domains is :  18.6133
 The average volume fraction of crystalline domains is :  0.00767482
 The total number of crystalline grid elements is:  11503
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 0.0348094 289855 35937 0.357737 18.6133 0.000517942 2224.59 0.00767482
