clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.24531 1.02505e-05 923 0.77368 0.0166902 0.00582846
2 16.4906 2.0501e-05 75 0.0628667 0.00406857 0.0014208
3 24.7359 3.07516e-05 15 0.0125733 0.00135619 0.000473602
4 32.9812 4.10021e-05 8 0.00670578 0.00101262 0.000353622
5 41.2266 5.12526e-05 5 0.00419111 0.000813714 0.000284161
7 57.7172 7.17537e-05 7 0.00293378 0.000759466 0.000265217
10 82.4531 0.000102505 12 0.00335289 0.00122961 0.000429399
20 164.906 0.00020501 29 0.00243085 0.00157318 0.000549378
30 247.359 0.000307516 16 0.00134116 0.0014466 0.000505175
40 329.812 0.000410021 11 0.000922045 0.00139235 0.000486231
50 412.266 0.000512526 5 0.000419111 0.000813714 0.000284161
60 494.719 0.000615031 7 0.000586756 0.00139235 0.000486231
70 577.172 0.000717537 8 0.000670578 0.00188058 0.000656727
100 824.531 0.00102505 6 0.000167645 0.000614806 0.000214699
200 1649.06 0.0020501 26 0.000217938 0.00141044 0.000492546
300 2473.59 0.00307516 14 0.000117351 0.00126578 0.000442028
400 3298.12 0.00410021 7 5.86756e-05 0.000886044 0.00030942
500 4122.66 0.00512526 7 5.86756e-05 0.0011392 0.000397825
600 4947.19 0.00615031 1 8.38223e-06 0.000198908 6.94616e-05
700 5771.72 0.00717537 4 3.35289e-05 0.000940291 0.000328364
1000 8245.31 0.0102505 5 1.39704e-05 0.000512338 0.000178916
2000 16490.6 0.020501 1 8.38223e-07 5.42476e-05 1.89441e-05
3000 24735.9 0.0307516 1 8.38223e-07 9.04126e-05 3.15734e-05
the total number of clusters with at least 2 elements is 270 nematic grid elements
 The total number of independent crystalline domains is:  1193
 The average cluster size of crystalline domains is :  23.1777
 The average volume fraction of crystalline domains is :  0.00602432
 The total number of crystalline grid elements is:  27651
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 -0.0123198 804380 97556 0.349215 23.1777 0.000237584 4845.84 0.00602432
