clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.18108 2.54427e-05 471 0.746434 0.0201471 0.00773818
2 16.3622 5.08854e-05 49 0.0776545 0.00628796 0.0024151
3 24.5432 7.63281e-05 11 0.0174326 0.00235264 0.000903609
4 32.7243 0.000101771 6 0.00950872 0.00179656 0.000690029
5 40.9054 0.000127214 2 0.00316957 0.000769955 0.000295727
7 57.2676 0.000178099 6 0.00475436 0.00153991 0.000591453
10 81.8108 0.000254427 3 0.00158479 0.000727179 0.000279297
20 163.622 0.000508854 11 0.00174326 0.00141158 0.000542165
30 245.432 0.000763281 5 0.000792393 0.00106938 0.000410731
40 327.243 0.00101771 8 0.00126783 0.00239541 0.000920038
50 409.054 0.00127214 8 0.00126783 0.00307982 0.00118291
60 490.865 0.00152656 5 0.000792393 0.00235264 0.000903609
70 572.676 0.00178099 2 0.000316957 0.00111216 0.000427161
100 818.108 0.00254427 9 0.000475436 0.00218154 0.000837892
200 1636.22 0.00508854 21 0.000332805 0.00269484 0.00103504
300 2454.32 0.00763281 4 6.33914e-05 0.000855505 0.000328585
400 3272.43 0.0101771 4 6.33914e-05 0.00119771 0.000460019
500 4090.54 0.0127214 1 1.58479e-05 0.000384977 0.000147863
600 4908.65 0.0152656 3 4.75436e-05 0.00141158 0.000542165
700 5726.76 0.0178099 1 1.58479e-05 0.000556078 0.00021358
1000 8181.08 0.0254427 1 5.28262e-06 0.000242393 9.30991e-05
the total number of clusters with at least 2 elements is 160 nematic grid elements
 The total number of independent crystalline domains is:  631
 The average cluster size of crystalline domains is :  18.5246
 The average volume fraction of crystalline domains is :  0.00762579
 The total number of crystalline grid elements is:  11689
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 0.0385709 321549 39304 0.384083 18.5246 0.000471315 2452.07 0.00762579
