clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.13231 2.54427e-05 391 0.799591 0.0152247 0.00671328
2 16.2646 5.08854e-05 29 0.0593047 0.00338759 0.00149375
3 24.3969 7.63281e-05 8 0.0163599 0.00155751 0.000686781
4 32.5293 0.000101771 3 0.00613497 0.000817693 0.00036056
5 40.6616 0.000127214 1 0.00204499 0.00035044 0.000154526
7 56.9262 0.000178099 6 0.00613497 0.00140176 0.000618103
10 81.3231 0.000254427 5 0.00340832 0.00110324 0.00048647
20 162.646 0.000508854 5 0.00102249 0.000584067 0.000257543
30 243.969 0.000763281 2 0.000408998 0.000389378 0.000171695
40 325.293 0.00101771 3 0.000613497 0.000817693 0.00036056
50 406.616 0.00127214 4 0.000817996 0.00140176 0.000618103
60 487.939 0.00152656 4 0.000817996 0.00171326 0.000755459
70 569.262 0.00178099 4 0.000817996 0.00202476 0.000892815
100 813.231 0.00254427 2 0.000136333 0.000441295 0.000194588
200 1626.46 0.00508854 10 0.000204499 0.00116813 0.000515085
300 2439.69 0.00763281 3 6.13497e-05 0.000584067 0.000257543
500 4066.16 0.0127214 1 1.02249e-05 0.000155751 6.86781e-05
600 4879.39 0.0152656 1 2.04499e-05 0.000428316 0.000188865
700 5692.62 0.0178099 2 4.08998e-05 0.00101238 0.000446407
1000 8132.31 0.0254427 2 1.36333e-05 0.000441295 0.000194588
2000 16264.6 0.0508854 2 4.08998e-06 0.000233627 0.000103017
3000 24396.9 0.0763281 1 2.04499e-06 0.000194689 8.58476e-05
the total number of clusters with at least 2 elements is 98 nematic grid elements
 The total number of independent crystalline domains is:  489
 The average cluster size of crystalline domains is :  26.2597
 The average volume fraction of crystalline domains is :  0.0252618
 The total number of crystalline grid elements is:  12841
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 0.0406351 319632 39304 0.440947 26.2597 0.000668118 8074.48 0.0252618
