clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.01956 2.78265e-05 340 0.735931 0.0132968 0.00541871
2 16.0391 5.56529e-05 35 0.0757576 0.00410637 0.00167342
3 24.0587 8.34794e-05 9 0.0194805 0.00175987 0.000717182
4 32.0782 0.000111306 6 0.012987 0.00164255 0.00066937
5 40.0978 0.000139132 3 0.00649351 0.00105592 0.000430309
7 56.1369 0.000194785 3 0.00324675 0.00070395 0.000286873
10 80.1956 0.000278265 3 0.0021645 0.000664842 0.000270935
20 160.391 0.000556529 10 0.0021645 0.00117325 0.000478121
30 240.587 0.000834794 4 0.000865801 0.000782167 0.000318748
40 320.782 0.00111306 5 0.00108225 0.00136879 0.000557808
50 400.978 0.00139132 3 0.000649351 0.00105592 0.000430309
60 481.173 0.00166959 4 0.000865801 0.00172077 0.000701245
70 561.369 0.00194785 3 0.000649351 0.00152522 0.000621558
100 801.956 0.00278265 5 0.00036075 0.00110807 0.000451559
200 1603.91 0.00556529 11 0.000238095 0.00129057 0.000525933
300 2405.87 0.00834794 5 0.000108225 0.000977708 0.000398434
400 3207.82 0.0111306 4 8.65801e-05 0.00109503 0.000446247
500 4009.78 0.0139132 3 6.49351e-05 0.00105592 0.000430309
600 4811.73 0.0166959 2 4.329e-05 0.000860383 0.000350622
1000 8019.56 0.0278265 3 1.62338e-05 0.0004693 0.000191249
2000 16039.1 0.0556529 1 2.1645e-06 0.000117325 4.78121e-05
the total number of clusters with at least 2 elements is 122 nematic grid elements
 The total number of independent crystalline domains is:  462
 The average cluster size of crystalline domains is :  27.6732
 The average volume fraction of crystalline domains is :  0.0141854
 The total number of crystalline grid elements is:  12785
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 -0.0356486 288199 35937 0.407519 27.6732 0.000770046 4088.21 0.0141854
