clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.03354 2.78265e-05 468 0.785235 0.0179641 0.00794104
2 16.0671 5.56529e-05 39 0.0654362 0.00449102 0.00198526
3 24.1006 8.34794e-05 11 0.0184564 0.00211116 0.000933242
4 32.1342 0.000111306 5 0.00838926 0.00134347 0.000593881
5 40.1677 0.000139132 1 0.00167785 0.000345463 0.000152712
7 56.2348 0.000194785 3 0.00251678 0.000690926 0.000305425
10 80.3354 0.000278265 1 0.000559284 0.000217514 9.61522e-05
20 160.671 0.000556529 15 0.00251678 0.00172731 0.000763562
30 241.006 0.000834794 2 0.00033557 0.000383848 0.00016968
40 321.342 0.00111306 8 0.00134228 0.00214955 0.00095021
50 401.677 0.00139132 4 0.000671141 0.00138185 0.000610849
60 482.012 0.00166959 2 0.00033557 0.000844465 0.000373297
70 562.348 0.00194785 4 0.000671141 0.00199601 0.000882338
100 803.354 0.00278265 10 0.000559284 0.00217514 0.000961522
200 1606.71 0.00556529 9 0.000151007 0.00103639 0.000458137
300 2410.06 0.00834794 8 0.000134228 0.00153539 0.000678722
400 3213.42 0.0111306 2 3.3557e-05 0.000537387 0.000237553
1000 8033.54 0.0278265 1 2.79642e-06 8.95645e-05 3.95921e-05
2000 16067.1 0.0556529 2 3.3557e-06 0.000230309 0.000101808
3000 24100.6 0.0834794 1 1.67785e-06 0.000191924 8.48402e-05
the total number of clusters with at least 2 elements is 128 nematic grid elements
 The total number of independent crystalline domains is:  596
 The average cluster size of crystalline domains is :  21.8557
 The average volume fraction of crystalline domains is :  0.0271696
 The total number of crystalline grid elements is:  13026
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 0.033488 288701 35937 0.442051 21.8557 0.000608167 7843.89 0.0271696

final gridtest = 15886
