        4000
   69.8330623144655        69.8330623144655        69.8330623144655     
           9
      -12.897138       -27.309600        19.434800     1.00 0
       -8.117700       -27.630750        17.340496    14.50 1
       -4.214443       -31.177032        16.569212    44.00 1
       -8.674373       -29.652789        15.688724    61.29 1
       -8.696591       -29.990972        15.354797    66.14 1
        1.488938       -30.914611        14.790383   153.00 1
        0.788865       -31.017543        19.696353   174.33 1
        0.585702       -30.624494        20.355551   177.67 1
       -1.391938       -24.199200        24.794800   200.00 0
          11
       -7.848540        -3.487470        28.545362     1.00 0
       -9.631743        -1.349762        31.082722    18.00 1
      -13.031507        -3.477654        30.130216    36.00 1
      -14.610111         0.073495        32.840409    85.61 1
      -16.003532         1.688554        32.854817    96.37 1
      -16.979833         3.282569        33.379368   107.46 1
      -17.350169         4.469331        34.445085   116.50 1
      -16.027445         4.390267        32.527270   145.92 1
      -18.387611         4.969339        31.646488   182.17 1
      -18.529159         7.917784        32.595522   197.00 1
      -18.536400         8.306980        32.769062   200.00 0
          10
       23.452700       -10.358200        18.282562     1.00 0
       18.539195        -4.570478        23.264658    38.50 1
       16.869559        -3.174987        22.188410    48.50 1
       15.293532        -3.708925        20.945838    55.60 1
       14.037031        -6.669212        23.469428    85.00 1
       13.011686        -4.905040        22.836433   108.00 1
        8.345039        -5.867002        21.635428   128.00 1
       10.866965        -3.174153        23.800723   159.89 1
       13.391554         1.708564        26.763254   180.24 1
       10.980700         4.485360        25.400462   200.00 0
          10
        3.435262         9.867740        -8.137738     1.00 0
        2.384888         5.347072        -9.185555    15.33 1
        3.018690         5.336650        -4.174823    49.86 1
        1.216903         3.492500        -4.708167    69.00 1
       -1.367316         0.574404        -5.397673    89.67 1
       -1.091723         3.874999        -4.231167   139.00 1
        0.998988         2.867747        -6.904839   167.50 1
        1.344180         1.829861       -10.368725   178.00 1
        1.722251         1.855549       -11.114886   182.00 1
        6.814362         0.576903       -12.778038   200.00 0
          13
       31.295462        23.998400         9.245262     1.00 0
       28.460180        23.374810         7.220982    25.42 1
       26.873178        23.401611         7.236899    30.39 1
       25.551225        23.277507         6.856211    33.92 1
       22.493607        22.833813         5.217956    51.83 1
       22.903664        24.002686         3.179301    66.50 1
       23.899976        24.649239         1.877887    76.50 1
       26.753049        25.385478        -0.707583    93.09 1
       26.751248        25.381754        -0.699094   112.07 1
       33.252538        22.885920        -0.236994   154.33 1
       31.633008        20.174445         1.525611   170.00 1
       31.176742        19.642681         1.823049   180.00 1
       31.775762        19.548200         1.025762   200.00 0
          14
       -4.406638         3.127540         5.046480     1.00 0
       -4.995172         2.336702         7.880138    11.50 1
       -6.079444         1.308876        10.776990    22.96 1
       -6.641993         0.654055         9.710908    27.98 1
       -8.527641        -1.939228         7.017975    46.00 1
      -10.476597        -5.122088         5.180450    62.00 1
      -10.359152        -6.951253         3.338987    76.75 1
       -8.751746        -7.156362         2.773659    88.25 1
       -5.171168        -7.869343         5.331420   109.39 1
       -3.245109        -9.209391         7.840022   124.60 1
       -0.760247        -7.883055         7.250930   147.00 1
        3.347464        -6.067878         6.843352   169.27 1
        4.391475        -5.405177         6.133069   173.69 1
        7.741662        -1.220230         2.036410   200.00 0
          12
       -8.250920        34.900600        31.447762     1.00 0
       -5.237332        31.803417        32.356506    24.67 1
       -4.505728        32.408471        31.110384    29.50 1
       -5.019416        33.776405        28.167453    42.67 1
       -9.760574        34.799858        26.016877    62.33 1
      -12.940600        31.670812        23.973745    86.50 1
      -10.410365        29.678664        23.348228   108.67 1
      -10.394434        32.526234        25.237101   140.50 1
      -13.991780        32.944539        25.646390   167.71 1
      -15.721222        31.911607        22.544468   186.67 1
      -15.776988        31.968250        22.492649   189.33 1
      -15.948000        32.744500        25.587062   200.00 0
           9
       21.475562        22.484100         4.185862     1.00 0
       22.731132        16.005494         5.283249    55.15 1
       23.541837        16.949279         2.502528    94.25 1
       24.875679        17.212501         2.631259    97.50 1
       26.225644        18.027431         7.285028   114.56 1
       26.404448        18.224915         8.067601   122.78 1
       27.368754        18.124462         5.731797   154.00 1
       27.199788        16.139403         2.756514   195.50 1
       26.104762        14.634500         1.620162   200.00 0
          10
       32.105562        33.548962        -5.110110     1.00 0
       33.669072        36.912376        -6.065535    18.50 1
       34.211664        40.407119        -6.354787    28.00 1
       35.282049        48.518916        -6.748154    54.33 1
       33.732534        49.073082        -7.928466    81.44 1
       33.041209        49.278697        -8.230302    83.96 1
       30.738394        50.109207        -7.241528   107.67 1
       35.533013        51.453122       -10.692774   148.00 1
       36.599152        51.799567       -11.718397   178.62 1
       36.039162        49.355862       -13.387300   200.00 0
           8
      -33.141200        14.403000        18.466462     1.00 0
      -35.224316        13.274059        20.032414    19.00 1
      -43.755968        14.186947        16.258138    93.00 1
      -41.004351        15.410920        20.175033   132.78 1
      -42.858346        13.834924        17.790439   183.25 1
      -42.955948        13.204003        15.759133   189.75 1
      -41.668021        12.974281        14.084670   196.00 1
      -40.163100        12.737600        12.882162   200.00 0
          11
      -14.929638       -30.854262        19.337500     1.00 0
      -15.356065       -36.583121        18.395901    22.58 1
      -14.770606       -37.076589        20.064199    34.08 1
      -12.229701       -36.740292        18.401920    55.00 1
       -7.824895       -38.578532        15.155903    72.50 1
       -5.505090       -39.984091        14.184269    84.92 1
       -3.916051       -38.515087        12.948216   115.33 1
       -0.941013       -40.548127        12.821759   141.50 1
        1.673147       -41.471357        11.758117   149.50 1
        4.416455       -43.565700         9.199437   170.50 1
        5.842262       -44.792162         8.159380   200.00 0
          14
       -8.732620       -33.306300        29.703300     1.00 0
       -5.846057       -30.464743        35.034461    25.39 1
       -5.825625       -30.473957        35.141108    33.99 1
       -5.373757       -31.466279        35.957089    42.59 1
       -5.713703       -32.605665        34.297956    68.40 1
       -5.368728       -30.384330        34.792143    84.00 1
       -3.908397       -26.948251        36.137960   117.42 1
       -0.447848       -26.295307        40.940917   144.17 1
        2.233414       -29.420140        43.502452   164.40 1
        3.126859       -29.391364        42.809281   168.60 1
        2.382323       -33.043581        42.683667   181.48 1
        2.132593       -33.912265        42.710983   184.07 1
        1.544308       -35.920190        42.113574   194.00 1
        1.874160       -36.775800        40.296600   200.00 0
          10
       21.481562       -33.305500        31.216500     1.00 0
       23.252640       -30.046534        34.388429    16.00 1
       25.323496       -28.403557        34.575107    25.50 1
       23.267928       -26.969117        31.630888    62.83 1
       21.040169       -29.460002        26.453988    94.50 1
       19.922240       -30.277322        24.946803   100.50 1
       18.910110       -31.910367        24.282937   109.50 1
       18.634413       -32.376986        24.123142   116.00 1
       21.151656       -37.446494        24.760863   190.97 1
