index Run NumInRun Step StepSequence Temp E_pair E_mol TotEng Press Volume
63 2 11 75600000 13200000 0.69890906 -1.2172811 1.416114 1.247195 8.0004726 287876.94
64 2 12 76800000 14400000 0.69986972 -1.2179856 1.4162229 1.2480404 7.9583808 287894.49
65 2 13 78000000 15600000 0.70065477 -1.2190695 1.4148202 1.2467314 8.0260724 287841.45
66 2 14 79200000 16800000 0.70080268 -1.2192321 1.4157289 1.2476993 8.0112512 287821.83
67 2 15 80400000 18000000 0.69986041 -1.2211018 1.414036 1.2427233 7.9959374 287811.15
68 2 16 81600000 19200000 0.69882504 -1.22004 1.4137346 1.2419306 8.0029234 287803.93
69 2 17 82800000 20400000 0.70052823 -1.2199174 1.4133044 1.2441779 7.9731721 287715.36
70 2 18 84000000 21600000 0.70078034 -1.2213467 1.4116962 1.2415186 8.0094332 287724.68
71 2 19 85200000 22800000 0.6995108 -1.2210413 1.4086876 1.2369111 8.0066758 287647.15
72 2 20 86400000 24000000 0.70055799 -1.2223314 1.4091036 1.2376076 8.0058963 287679.19
73 2 21 87600000 25200000 0.70065252 -1.2227776 1.4065543 1.2347541 7.9891018 287599.28
74 2 22 88800000 26400000 0.70086429 -1.222625 1.4099941 1.238664 7.9925129 287620.54
75 2 23 90000000 27600000 0.70022209 -1.2230836 1.4071934 1.2344415 7.9972291 287559.19
76 2 24 91200000 28800000 0.69999979 -1.2234785 1.4034858 1.2300054 7.9801115 287496.64
77 2 25 92400000 30000000 0.70046472 -1.2242958 1.4073323 1.2337322 8.0035534 287510.71
78 2 26 93600000 31200000 0.69939583 -1.2241746 1.4050835 1.2300011 8.0004337 287483.43
79 2 27 94800000 32400000 0.69992608 -1.2246616 1.4039841 1.2292102 7.9938804 287463.8
80 2 28 96000000 33600000 0.70100093 -1.2251221 1.4004377 1.2268155 7.9951054 287447.93
81 2 29 97200000 34800000 0.69975498 -1.225664 1.4028584 1.2268254 7.9628439 287429.54
82 2 30 98400000 36000000 0.69972782 -1.2254061 1.4026682 1.2268523 8.0074134 287396.29
83 2 31 99600000 37200000 0.70008621 -1.224894 1.3989554 1.2241893 8.0204049 287377.93
