 nx ny nz cryst_bool x_ev y_ev z_ev
0 0 0 0 0.9801353154048905 -0.5720523146701304 -0.8127355386300362 0.11053096185363974
1 0 0 1 0.9820063352532039 -0.5939771489237199 -0.7954262350180435 0.12036715167133175
2 0 0 2 0.9865763041246142 -0.5468980108173792 -0.8221946008584005 0.15779291518724362
3 0 0 3 0.9788440448936507 -0.5589779506129343 -0.8087125149048434 0.18310575896144593
4 0 0 4 0.9865002514675153 -0.4849246407336199 -0.850612280181965 0.20324084632034006
5 0 0 5 0.9025220161139496 -0.4779270731600014 -0.8613467321261068 0.17224261898958423
6 0 0 6 0.3947593394875668 -0.7328637874348781 -0.3859798288348968 0.5602947802712334
7 0 0 7 0.22416826215728192 -0.06463029703899574 0.4603404962651646 0.8853866681868396
8 0 0 8 0.3125385626364776 -0.9178179077605432 -0.3631529480448331 0.16040643540832641
9 0 0 9 0.18057607230593353 0.49818749274304563 0.09310872387051028 0.8620556754720681
10 0 0 10 0.9846113581299019 -0.6030730604356577 -0.7902520553561071 0.10864885080946482
11 0 0 11 0.9067129818408378 -0.4777329282549234 -0.8748318356833258 0.08025277899187591
12 0 0 12 0.5731726716261437 0.5191511478616802 0.8490093970473893 0.09831138997658677
13 0 0 13 0.40145588097493873 0.5249048733957885 0.8347265671233529 0.16645249179214466
14 0 0 14 0.2956219662687962 0.9384666309539886 0.004075677758421381 0.3453458721871156
15 0 0 15 0.28146483412534373 0.9894660869385259 0.13563024298653772 0.05060928754659467
16 0 0 16 0.2783538166979458 0.336855239276598 0.5365457207475419 0.773722971947587
17 0 0 17 0.25688754775715816 0.4178682239046572 0.5456344948250349 0.7264083875533078
18 0 0 18 0.9840488473924092 0.5354587178592262 0.7487680860349484 0.39067929917531213
19 0 0 19 0.976266235165817 0.5260924834238264 0.7624294916296371 0.37673328652818006
20 0 0 20 0.9657510848829021 0.49441785672285454 0.7576674449387786 0.42601763558979816
21 0 0 21 0.9833000637871474 0.4109056345382424 0.8161868858860832 0.40619641408104795
22 0 0 22 0.9879851578488691 0.38708506871028153 0.8035616053625403 0.4521657837217827
23 0 0 23 0.987178172291579 0.4380455251824073 0.8057589450133296 0.3985832916702302
24 0 0 24 0.856363043584022 0.3380544830164963 0.8448941747140526 0.4145756867529857
25 0 0 25 0.9828582331894646 0.7140994801443353 -0.6946846984197151 0.08645867359091003
26 0 0 26 0.3332165993871931 -0.7140406944185248 -0.6701748811872873 0.20251300042198842
27 0 0 27 0.558104861784389 0.7698092913550457 0.5698306063388047 0.28755301254376137
28 0 0 28 0.9825718426483955 0.8960903993952228 0.38203601303863177 0.22598778916847787
29 0 0 29 0.9792127305175276 0.9140553201644146 0.3183304503463155 0.2513336349584784
30 0 0 30 0.6749112861669088 0.9448460431527815 0.2644590743725691 0.19320287969007122
31 0 0 31 0.26730983937171765 -0.2681751116825435 -0.6505736312252742 0.7105181629124029
32 0 0 32 0.27903798701737853 -0.6595173744995197 0.7005846073564187 0.27242988211375235
33 0 0 33 0.6518192434788843 -0.6194250996551716 -0.7833800512963196 0.051266374439357776
34 0 1 0 0.9857117500361986 -0.6235048090403321 -0.7718910049981644 0.12420156805170793
35 0 1 1 0.987065655599711 -0.5967812899666237 -0.7904663908833147 0.1378948034904859
36 0 1 2 0.9881566971683756 -0.5795204925639618 -0.7987742669790743 0.16160343161723212
37 0 1 3 0.9828515907715458 -0.5625150798441594 -0.8097702914032919 0.1668797774104075
38 0 1 4 0.9789405132759166 -0.5253079334415703 -0.8307342251526538 0.1842070091591686
39 0 1 5 0.9808874834025423 -0.5355488528856313 -0.8075616047480885 0.2470459081012613
40 0 1 6 0.5058638826127501 -0.5581638243518782 -0.7936298857357483 0.24208417885510036
41 0 1 7 0.389398408630781 -0.22613366656114892 0.8518574371855245 0.4724430881696993
42 0 1 8 0.46461200673471575 0.395994768690263 -0.8065332727887456 0.438967223212189
43 0 1 9 0.37193077062835544 -0.13876072368298953 -0.6658002565588729 0.7331135518656792
44 0 1 10 0.803923443297934 -0.5587124851934077 -0.8161853754231312 0.14724738311565377
45 0 1 11 0.49451572072636674 -0.30892541116199956 -0.9063257714581736 0.288337798994749
46 0 1 12 0.5597685258464996 -0.3989839677559371 -0.6393417470690077 0.6573080890484143
47 0 1 13 0.475318334153326 0.04093429029038941 -0.03334699534650787 0.9986052081677633
48 0 1 14 0.6450030317794976 -0.019591202765426648 -0.6509451957706226 0.7588718843634603
49 0 1 15 0.5087048094749507 -0.09883214371625572 -0.845638666656776 0.5245259315071084
50 0 1 16 0.25439606964070094 -0.16746792642864675 -0.9510727339818361 0.25964427260004275
51 0 1 17 0.41371986336959743 0.4743233777633885 0.7212636990533522 0.5047732260480996
52 0 1 18 0.987796010964135 0.5663067560381445 0.7211177003881549 0.3991064021692115
53 0 1 19 0.9783811134203378 0.5160665116301465 0.749221389184248 0.41514174153259664
54 0 1 20 0.9502913243315518 0.4819286745431341 0.7796110809509472 0.39993913925945507
55 0 1 21 0.9871761705330634 0.42662424677189564 0.7778187849954956 0.4615080603569601
56 0 1 22 0.9849210491681469 0.3993533360256666 0.8163965718742671 0.4171493143193638
57 0 1 23 0.9863921376179616 0.39541573150572523 0.7904559817614383 0.4677881359925164
58 0 1 24 0.9781573298939333 0.3616695839167705 0.7969285277201582 0.48383885103952884
59 0 1 25 0.3954189724572231 0.13014737698982262 0.91585766246651 0.37982417295908033
60 0 1 26 0.8224415678852137 0.8362511675643378 0.5067668468611521 0.20945488218155
61 0 1 27 0.9808248382720487 0.8364303849836555 0.44508695118825214 0.31981528568540984
62 0 1 28 0.986142008580252 0.893783832480286 0.35914279451180364 0.2686390030265604
63 0 1 29 0.9818230838769739 0.9020345114499915 0.3191523973474194 0.2906466710983798
64 0 1 30 0.9879842906986978 0.928768173100362 0.23825376181371555 0.28394511021926244
65 0 1 31 0.6272974129771426 0.8558362649669421 0.4749444348372923 0.2048708651431898
66 0 1 32 0.9505433856319299 -0.629249309534633 -0.7538482550173004 0.18909816196240364
67 0 1 33 0.9891898516201949 -0.5961525320445603 -0.7866133421112427 0.16075325362007561
68 0 2 0 0.9812767332862282 -0.5892143854293245 -0.7835449556513686 0.1971895293275948
69 0 2 1 0.9508729522976597 -0.5517257772325453 -0.8195459901551873 0.1547353765552565
70 0 2 2 0.9867049762686548 -0.5802598547633288 -0.7836842651523792 0.22166973970891046
71 0 2 3 0.9817058981917126 -0.5676561046636361 -0.8098097775453938 0.14823856121126638
72 0 2 4 0.9896440763732312 -0.5394088219624955 -0.8211602298200629 0.18637059787126994
73 0 2 5 0.988635486984726 -0.5407709888696147 -0.8222455465466147 0.17742321939711825
74 0 2 6 0.4126248730049237 -0.12322206605375875 0.3418460189890724 0.9316424323412743
75 0 2 7 0.3626610327496038 -0.4747703022933986 -0.24568153775954038 0.8451235069883822
76 0 2 8 0.30848052416607036 0.508081036681849 -0.5698201313256968 0.6458782223455631
77 0 2 9 0.3848598269821826 0.1901421989288972 0.7944425851745086 0.5768075268646611
78 0 2 10 0.35937433853219236 0.15511823238394976 0.38152890286837104 0.9112486105658194
