 xid yid zid cryst_bool x_ev y_ev z_ev
0 0.0 0.0 0.0 0.9329716103565583 -0.9647350032131116 -0.0066868196362616095 0.2631381006592356
1 0.0 1.0 0.0 0.9900749952695442 -0.939912867811151 -0.019964303417842333 0.34083020334480035
2 0.0 2.0 0.0 0.986696883337193 -0.9296372698677752 -0.07219067087030451 0.3613350986440215
3 0.0 3.0 0.0 0.9881694961675945 -0.9138379559347976 -0.074508552899887 0.3991850020199602
4 0.0 4.0 0.0 0.9718064467465636 -0.9314361863727397 -0.058917816032985404 0.35910349715550016
5 0.0 5.0 0.0 0.9866516137264104 -0.9317888259029856 -0.04618947150907404 0.36005015851135
6 0.0 6.0 0.0 0.470394359138447 -0.8957137497469 -0.3147324199918957 0.31407066453330634
7 0.0 7.0 0.0 0.2186593970426022 0.6873836217202491 -0.4498349823745553 0.5702212248091411
8 0.0 8.0 0.0 0.735733885166769 0.4004987515666157 -0.7665716291581529 0.5019648268189701
9 0.0 9.0 0.0 0.9824188531059114 0.5699164629519694 -0.671032310242124 0.4742476819842501
10 0.0 10.0 0.0 0.9884010425128751 0.5570865955944635 -0.660677333440437 0.5031500631889103
11 0.0 11.0 0.0 0.8543197601613122 0.5746211013726237 -0.5889456239784356 0.5682901036037526
12 0.0 12.0 0.0 0.37541608906262003 -0.6786339953723747 0.2198480976500189 0.7008014799389313
13 0.0 13.0 0.0 0.7837368901782819 -0.7967217945758093 0.3491361572347864 0.4932933465588488
14 0.0 14.0 0.0 0.43854302476725043 -0.5285470950344683 0.3176548040091707 0.7872314741043573
15 0.0 15.0 0.0 0.5046735054431224 -0.5903991342977298 0.23252929657979904 0.7728900235173143
16 0.0 16.0 0.0 0.7079227498962466 -0.8551827014035561 0.17394329315169899 0.4882686534968822
17 0.0 17.0 0.0 0.5947942672772297 -0.8686572155312532 0.1366062983038473 0.47620726702688015
18 0.0 18.0 0.0 0.8846681659201414 -0.8970935986712857 0.14933260259654352 0.4158399319747263
19 0.0 19.0 0.0 0.2563132921701782 -0.9724497749463775 0.21225065587547168 0.09639032258049476
20 0.0 20.0 0.0 0.7989211889751932 0.4547200651720475 0.10632900824376545 0.8842645556256485
21 0.0 21.0 0.0 0.9832987378031885 0.3622990896264321 -0.03970007851813728 0.9312160186667282
22 0.0 22.0 0.0 0.9880415918565937 0.38009880775368676 -0.04777849291914715 0.9237110543663537
23 0.0 23.0 0.0 0.9766148293926105 0.4012021723171093 -0.006343414340340026 0.915967563848491
24 0.0 24.0 0.0 0.977391702528179 0.3704273675421199 -0.017662236353581662 0.9286934966838118
25 0.0 25.0 0.0 0.5233030899960766 -0.025625326391894743 -0.06947036393764616 0.9972548376326286
26 0.0 26.0 0.0 0.8197398673605797 -0.5210905532215544 -0.3035665751775032 0.7976916508139317
27 0.0 27.0 0.0 0.798911984004096 -0.56056465312647 -0.21743189215984826 0.7990560943619592
28 0.0 28.0 0.0 0.35452653138517587 -0.34777510452220517 -0.40058189902587427 0.8476948854672852
29 0.0 29.0 0.0 0.272357839054562 0.10759083614830611 -0.7954674329674576 0.5963688246924648
30 0.0 30.0 0.0 0.37590919515083165 -0.011313129867630407 0.9486909522363522 0.3160023579619007
31 0.0 31.0 0.0 0.22338397908398724 -0.4671282070586249 0.4413029940761712 0.7661872523016819
32 0.0 32.0 0.0 0.6582635351235138 -0.9508846525629506 0.017416617235608167 0.3090550743222081
33 1.0 0.0 0.0 0.19142149778892112 -0.6092851657658463 -0.01947871719444727 0.7927119062775227
34 1.0 1.0 0.0 0.8029650126970891 -0.9453292436371693 0.10624736212272123 0.30832469762628634
35 1.0 2.0 0.0 0.9302824746675494 -0.9420431021277303 0.023691292498725536 0.33465432373316556
36 1.0 3.0 0.0 0.9778292168886632 -0.9529379270862918 -0.049239908572080604 0.29913999820200265
37 1.0 4.0 0.0 0.8936154932019084 -0.9242251777354612 -0.055500062914577375 0.3777930172148942
38 1.0 5.0 0.0 0.5668463203636901 -0.8742508609690945 -0.012898661460779115 0.4853030564784415
39 1.0 6.0 0.0 0.367361051655582 -0.2503648128658992 -0.23740338269760086 0.9385931463431639
40 1.0 7.0 0.0 0.4048247426818768 0.4339169372434799 -0.6985395406629703 0.5689978925300202
41 1.0 8.0 0.0 0.8773506149689484 0.36424426709273616 -0.7979388501817873 0.4802288051133987
42 1.0 9.0 0.0 0.9813161387667526 0.5332038944762141 -0.6789969907634862 0.5046352082936029
43 1.0 10.0 0.0 0.9788685225941727 0.5651259162002064 -0.6791142511956343 0.46844053268464164
44 1.0 11.0 0.0 0.9790362034981169 0.5285964174633309 -0.6747270867489285 0.5151011413812202
45 1.0 12.0 0.0 0.8807436298287892 0.5806489287468592 -0.6378363069614339 0.5059759550284232
46 1.0 13.0 0.0 0.7379893570636309 0.6585962891059501 -0.6045586889293452 0.4480621827558122
47 1.0 14.0 0.0 0.7969424814794736 0.5543502489445794 -0.5989090954833274 0.5779305294258347
48 1.0 15.0 0.0 0.6525832065487678 0.4957657395610037 -0.6729473471883853 0.5489610180965909
49 1.0 16.0 0.0 0.4674978123880422 0.14773275029276914 -0.624186739063949 0.7671805193483784
50 1.0 17.0 0.0 0.4024014160116998 -0.8898076211187971 -0.029389090997164857 0.45538849209138715
51 1.0 18.0 0.0 0.39644746567215833 -0.8347909451674738 -0.22242283032764354 0.5036389206717808
52 1.0 19.0 0.0 0.7512629038361255 0.43315498509078104 0.057243631297791864 0.8994998196591522
53 1.0 20.0 0.0 0.9827913267252143 0.4089678355373704 -0.0675925474327711 0.9100420633286282
54 1.0 21.0 0.0 0.9846570311293696 0.39618050668386673 -0.015084825465168539 0.9180487210188791
55 1.0 22.0 0.0 0.9866830982642998 0.3617398907924534 -0.016851047780223838 0.9321267583318124
56 1.0 23.0 0.0 0.983684976220805 0.3889615711173928 0.03990045727028435 0.9203895097748082
57 1.0 24.0 0.0 0.9744764540966239 0.3682916420590789 0.022070158677843676 0.9294483172750179
58 1.0 25.0 0.0 0.6722561480581505 0.20757403852668607 0.027536887910267205 0.9778316513254921
59 1.0 26.0 0.0 0.4209275006005383 -0.6233400826332439 -0.28224743378284145 0.7292348918598048
60 1.0 27.0 0.0 0.45000802226241665 -0.5867020724937929 -0.7045970836383707 0.39915363941694326
61 1.0 28.0 0.0 0.6144599019827883 -0.4833265918464682 -0.653731153061561 0.582263673202167
62 1.0 29.0 0.0 0.6699408867487275 -0.32717719754722563 -0.9394685244221637 0.101754474226867
63 1.0 30.0 0.0 0.9408505181913784 0.36984656175362457 0.9278446677065844 0.04814346650875402
64 1.0 31.0 0.0 0.9291101360875054 -0.34479467380360473 -0.9386219850773044 0.010266549868681477
65 1.0 32.0 0.0 0.5420903998451221 -0.07286703729842149 -0.9551895541389106 0.2868855356048121
66 2.0 0.0 0.0 0.1739526783589126 0.013684635253334786 0.991797546247597 0.12708405885566032
67 2.0 1.0 0.0 0.20612987018408543 0.8348127171369308 0.43511272393332123 0.3372901492450978
68 2.0 2.0 0.0 0.6274050087217339 -0.9171040745346699 -0.3276382681665267 0.22709751584891008
69 2.0 3.0 0.0 0.6341847784701761 -0.9730958849341815 -0.004315940506769672 0.23036009068782765
70 2.0 4.0 0.0 0.1651250252781676 -0.8273410535676478 -0.4484497850026926 0.33823005693257596
71 2.0 5.0 0.0 0.13954685766632674 0.7439980136315875 0.08165406386508134 0.6631738607383205
72 2.0 6.0 0.0 0.6014897517023775 0.27773350158095006 -0.7694890470182028 0.5751093014537346
73 2.0 7.0 0.0 0.9783890764819794 0.41895952426522803 -0.73910110304741 0.5274490273965404
74 2.0 8.0 0.0 0.9834765641329447 0.47382907865001705 -0.6958643825853694 0.5396839494322201
75 2.0 9.0 0.0 0.9876780089432041 0.5372066841943578 -0.6613488048518766 0.5234756315034139
76 2.0 10.0 0.0 0.9833012882924056 0.5394574070000253 -0.6596797414303824 0.5232669918685424
77 2.0 11.0 0.0 0.9799827883389977 0.4948369399120441 -0.6623329082930842 0.562540239885565
78 2.0 12.0 0.0 0.9862583656390218 0.5134390778931642 -0.6379497292776897 0.5739341915296042
79 2.0 13.0 0.0 0.9876919201229584 0.5080683504418931 -0.590232678263937 0.627289356508329
80 2.0 14.0 0.0 0.9781606091458287 0.5611960963776432 -0.5721078990603866 0.5981233093963196
81 2.0 15.0 0.0 0.9767716647081514 0.5227296360992382 -0.5574972753520021 0.6449422575073305
82 2.0 16.0 0.0 0.6784339163090649 0.4336820302655634 -0.6114597474891623 0.6618435418021617
83 2.0 17.0 0.0 0.21323803483380444 -0.2649186856083231 0.882728815492892 0.3880823731040538
84 2.0 18.0 0.0 0.7749711609598477 0.3593476581397853 0.2408368493110823 0.9015913002039021
85 2.0 19.0 0.0 0.9869454333248537 0.47692621284841885 0.041265415067604394 0.8779741186489286
86 2.0 20.0 0.0 0.9837171578192344 0.4193972489026578 -0.018380455250516015 0.9076167178262341
87 2.0 21.0 0.0 0.979989078218248 0.38357575554256473 -0.01944715592692492 0.9233046343901367
88 2.0 22.0 0.0 0.9815721513871823 0.38737299550613596 0.011451062638424547 0.9218519596535305
89 2.0 23.0 0.0 0.9846516008300447 0.36825208520070624 0.02011758522170415 0.9295083025504286
90 2.0 24.0 0.0 0.9762213385251652 0.34856933854421424 0.04534675848472913 0.9361853917476903
91 2.0 25.0 0.0 0.5506339791647359 -0.057619896973456805 0.02323417659595417 0.9980681943187433
92 2.0 26.0 0.0 0.3258617678472252 -0.9103433409893043 0.36179071008969993 0.2009539340476365
93 2.0 27.0 0.0 0.5139483549106673 -0.10905354013932474 -0.9036299866121028 0.4141982287244729
94 2.0 28.0 0.0 0.8849387750133618 -0.4242647959011993 -0.8868425259704376 0.18305659531764362
95 2.0 29.0 0.0 0.9733427368729407 -0.416000060512787 -0.9093636435227068 0.001309004379639267
96 2.0 30.0 0.0 0.9844931522972815 0.33924539302320994 0.9405334024058772 0.01759210821226192
97 2.0 31.0 0.0 0.9857369961491325 0.3551665603511944 0.9344691147133581 0.024983755825217814
98 2.0 32.0 0.0 0.977657185811392 0.27383950772442983 0.9607744005769218 0.04386884093862905
99 3.0 0.0 0.0 0.9823350287942597 0.2682263932837592 0.9561040587945171 0.11798148457548985
100 3.0 1.0 0.0 0.773145686349636 0.27492925140006935 0.9037241535603029 0.32817154202689686
101 3.0 2.0 0.0 0.7090602988273937 0.6272203368752437 0.7470529226600404 0.22024209351347568
102 3.0 3.0 0.0 0.5424563151261268 -0.31176511151966785 -0.949792774739645 0.026385607658256843
103 3.0 4.0 0.0 0.27949170708638227 0.5814330274298146 0.7966898870383758 0.16498744953656147
