 time crystallinity "clusters w/ >= 2 members" "   independent clusters" "mean size cryst domains" "crystalline grid elements"
0 0.0 0.0 1.0 0.0  0.0
1 1200000.0 0.001586109024125553 5.0 52.0 1.0961538461538463 57.0
2 2400000.0 0.018115034643960262 113.0 401.0 1.6234413965087282 651.0
3 3600000.0 0.05325987144168962 281.0 775.0 2.4696774193548388 1914.0
4 4800000.0 0.09477697081002866 396.0 942.0 3.6157112526539277 3406.0
5 6000000.0 0.13250966969975234 464.0 1013.0 4.700888450148075 4762.0
6 7200000.0 0.16058658207418539 501.0 1020.0 5.657843137254902 5771.0
7 8400000.0 0.18290341430837298 506.0 981.0 6.700305810397554 6573.0
8 9600000.0 0.19957147229874503 488.0 918.0 7.812636165577342 7172.0
9 10800000.0 0.2139299329381974 489.0 925.0 8.311351351351352 7688.0
10 12000000.0 0.22464312546957174 460.0 846.0 9.542553191489361 8073.0
11 13200000.0 0.2315162645741158 456.0 820.0 10.146341463414634 8320.0
12 14400000.0 0.24128335698583633 439.0 804.0 10.784825870646767 8671.0
13 15600000.0 0.2463756017475026 423.0 770.0 11.498701298701299 8854.0
14 16800000.0 0.2553913793583215 439.0 815.0 11.261349693251534 9178.0
15 18000000.0 0.25925925925925924 422.0 764.0 12.19502617801047 9317.0
16 19200000.0 0.26340540390127165 422.0 747.0 12.67202141900937 9466.0
17 20400000.0 0.26732893675042435 411.0 734.0 13.088555858310627 9607.0
18 21600000.0 0.27091855191028746 401.0 712.0 13.674157303370787 9736.0
19 22800000.0 0.2747586053371177 388.0 707.0 13.966053748231966 9874.0
