clustersize volume vol_Vtot Ncluster pdf1 volume_pdf volume_pdf_x_cryst
3.0 24.121574678796577 8.347942232239753e-05 463 0.697289156626506 0.04982423416313939 0.017560557361780995
5.0 40.20262446466096 0.0001391323705373292 43 0.06475903614457831 0.0077121744744960185 0.0027181568270575334
7.0 56.283674250525344 0.00019478531875226089 8 0.012048192771084338 0.002008752421264079 0.0007079850340242877
9.0 72.36472403638973 0.00025043826696719256 3 0.004518072289156626 0.0009685056316808953 0.000341349927118853
12.0 96.48629871518631 0.0003339176892895901 12 0.009036144578313253 0.0025826816844823877 0.0009102664723169414
17.0 136.68892317984725 0.0004730500598269193 6 0.0030120481927710845 0.0012195996843389052 0.00042984805637188896
30.0 241.21574678796574 0.0008347942232239753 22 0.003313253012048193 0.002367458210775522 0.0008344109329571963
50.0 402.0262446466096 0.0013913237053732922 4 0.0006024096385542169 0.0007174115790228855 0.00025285179786581704
70.0 562.8367425052534 0.0019478531875226088 20 0.0030120481927710845 0.005021881053160198 0.0017699625850607194
90.0 723.6472403638973 0.002504382669671926 7 0.0010542168674698795 0.002259846473922089 0.0007964831632773236
110.0 884.4577382225411 0.003060912151821243 7 0.0010542168674698795 0.002762034579238109 0.0009734794217833956
130.0 1045.268236081185 0.0036174416339705595 10 0.0015060240963855422 0.004663175263648755 0.0016435366861278107
170.0 1366.8892317984726 0.004730500598269193 15 0.0007530120481927711 0.003048999210847263 0.0010746201409297224
300.0 2412.1574678796574 0.008347942232239752 28 0.00042168674698795186 0.003013128631896119 0.0010619775510364317
500.0 4020.2624464660958 0.013913237053732921 6 9.036144578313253e-05 0.0010761173685343282 0.00037927769679872557
700.0 5628.367425052535 0.01947853187522609 5 7.530120481927712e-05 0.0012554702632900496 0.00044249064626517985
900.0 7236.4724036389725 0.025043826696719257 1 1.5060240963855423e-05 0.00032283521056029847 0.00011378330903961767
1100.0 8844.57738222541 0.030609121518212424 2 3.0120481927710845e-05 0.000789152736925174 0.00027813697765239877
1700.0 13668.892317984726 0.04730500598269193 1 5.020080321285141e-06 0.00020326661405648422 7.164134272864817e-05
