m  tie_count pf_tie pdf_tie   loop_count pf_loop pdf_loop  tail_count pf_tail pdf_tail   
84 0 0 0 0 0 0 1 0.000175654 0.00258104
85 0 0 0 0 0 0 0 0 0
86 1 0.000135814 0.00094572 0 0 0 1 0.000175654 0.0026425
87 0 0 0 0 0 0 0 0 0
88 0 0 0 0 0 0 0 0 0
89 0 0 0 0 0 0 0 0 0
90 0 0 0 0 0 0 1 0.000175654 0.0027654
91 0 0 0 0 0 0 0 0 0
92 0 0 0 0 0 0 1 0.000175654 0.00282686
93 0 0 0 0 0 0 0 0 0
94 0 0 0 0 0 0 0 0 0
95 0 0 0 0 0 0 0 0 0
96 0 0 0 0 0 0 0 0 0
97 0 0 0 0 0 0 0 0 0
98 0 0 0 0 0 0 0 0 0
99 0 0 0 0 0 0 0 0 0
 f_tail= 0.045658 f_loop=0.0960466 f_tie= 0.127576 f_tie+f_loop+f_tail= 0.26928 f_amorph= 0.297781 Ave_tie=12.3504 Ave_loop=10.144 Ave_tail=5.71667
