r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
25.1339   60112   -0.00736183   -0.142084   0.0444671
25.221   56196   -0.0195798   -0.0652152   -0.0284293
25.3943   31244   -0.00697592   0.135426   0.0212967
25.4806   111536   -0.015112   0.0365115   0.0236074
25.5665   69742   -0.0109943   -0.0359207   -0.0415946
25.6521   14178   -0.0185809   0.0914982   0.0124863
25.7375   71896   -0.0128172   0.0224275   0.0174474
25.8226   54678   -0.0197232   -0.0397275   0.104469
25.9074   67066   -0.0193322   -0.0833041   0.035707
26.0762   103718   -0.0103011   -0.0331476   -0.0102451
26.1602   117562   -0.0129288   -0.0236385   0.00885854
26.2439   70732   -0.0144439   -0.0132265   -0.0637278
26.3273   12542   -0.0221389   -0.0904298   -0.147849
26.4105   114292   -0.0132168   -0.0623535   -0.0187257
26.4934   84196   -0.0130255   -0.0152487   -0.108279
26.6585   13812   -0.00997789   0.0680464   -0.0355831
26.7406   28190   -0.0149388   -0.0220737   -0.116876
26.8225   72616   -0.0128291   -0.0397115   0.038608
26.9042   70188   -0.018393   -0.0579781   -0.0773484
26.9856   55106   -0.0261383   -0.159503   -0.0437955
27.0668   166346   -0.02085   0.00608974   -0.0239595
27.2283   27808   -0.0204966   0.000336924   0.0442406
27.3088   137954   -0.0204923   -0.0058639   -0.0461989
27.389   83404   -0.0166325   -0.0200211   -0.0242946
27.469   27404   -0.0243725   0.101706   -0.0566673
27.6282   108622   -0.0245402   0.0551064   -0.00423337
27.7075   26272   -0.0306985   0.0780167   -0.0628517
27.8654   4240   -0.0368944   0.0948935   0.0680026
27.944   40576   -0.0209674   -0.00852031   -0.152951
28.0223   203694   -0.0244501   -0.00343201   -0.0411559
28.1005   42636   -0.00242608   0.00766949   0.0805585
28.1785   85044   -0.0134185   -0.0516283   0.0191801
28.2562   69370   -0.0214766   -0.0720732   0.0362976
28.411   70698   -0.0172084   0.0170773   0.130961
28.4881   83896   -0.0141294   -0.0550175   0.00881835
28.565   54388   -0.022659   0.0572106   -0.0118638
28.6417   54960   -0.0196962   0.0851763   -0.0979095
28.7182   28826   -0.00976923   0.121947   0.013461
28.7945   85060   -0.0168901   -0.0675127   0.00769655
28.8705   134434   -0.0284212   -0.0152899   0.0511037
28.9464   28074   -0.0174778   -0.0274297   0.0729629
