r   g0(r)    P2(r)    P2_par(r)     P2_per(r)   
24.1422   189302   -0.0153276   -0.0443126   0.000526891
24.2264   142592   -0.0245324   0.00956547   -0.0872047
24.3104   95378   -0.02586   -0.169625   -0.0982735
24.3941   191934   -0.0121533   -0.00093992   -0.0241293
24.4775   94726   -0.032237   0.0292019   -0.0550356
24.6434   5124   -0.000962678   0.00920926   0.414054
24.726   89272   -0.00909977   0.00960468   0.0272741
24.8083   284792   -0.0169757   -0.0460147   -0.0452717
24.8903   427578   -0.01842   -0.0409773   -0.0506428
24.972   110908   -0.0102606   -0.0607484   -0.103384
25.0535   95560   0.0241876   -0.0182489   -0.00320848
25.1347   378942   -0.0217391   -0.0509524   -0.0825516
25.2157   237762   -0.024889   -0.0648106   -0.0568382
25.3768   143352   -0.0131147   -0.0456743   -0.0385707
25.457   333048   -0.0161306   -0.069702   -0.0693731
25.5369   190308   -0.0111145   -0.0890097   -0.00166253
25.6166   189952   -0.0252633   -0.0434667   -0.010519
25.7752   191354   -0.00293226   0.00569668   0.0477797
25.8541   189820   -0.0287726   -0.0305946   0.00134274
26.0113   96338   0.0098496   -0.0445913   -0.0337627
26.0895   380892   -0.019883   -0.0804174   -0.0603759
26.1675   237546   -0.023393   -0.0450417   -0.0552565
26.2453   46782   -0.0504423   -0.0275458   -0.126297
26.3228   237662   -0.0213321   -0.0596959   -0.0515954
26.4001   189176   -0.0386886   -0.0633541   -0.0866731
26.4772   237132   -0.0307304   -0.0681061   -0.0516614
26.6307   63380   -0.0514155   -0.107673   -0.0222939
26.7071   31266   -0.0228057   -0.113706   -0.204191
26.7833   239114   0.00252457   -0.0479755   -0.0190367
26.8593   380268   -0.00839794   -0.00595175   -0.0234564
26.9351   238062   -0.0215831   -0.0329014   -0.0827259
27.0106   47662   -0.0240482   0.00691454   -0.135136
27.086   381410   -0.0121775   -0.0219813   -0.0183828
27.1611   286006   -0.0102242   -0.0702162   -0.0468168
27.3108   47630   -0.0155226   0.0104375   -0.132905
27.3853   95588   0.00457898   -0.0753813   0.0271839
27.4596   238412   -0.00328699   -0.030462   -0.0997501
27.5337   238418   -0.00756276   -0.0760828   -0.0663102
27.6076   190744   -0.0229944   -0.0475187   0.0129942
27.6813   284698   -0.0280614   -0.0295238   -0.0517408
27.7549   284914   -0.0186849   -0.0498386   -0.0307554
27.9013   95210   -0.0197952   -0.0137202   -0.109991
27.9743   476122   -0.0210561   -0.0317387   -0.0388179
28.047   285632   -0.0182618   -0.0551862   -0.00377532
28.1196   95072   -0.00720139   0.00121199   -0.0567534
28.2642   381046   -0.0184497   -0.0168308   -0.0679488
28.3362   95374   -0.0394355   -0.139684   -0.138758
28.5511   15950   -0.00764944   -0.0119951   -0.00631925
28.6224   143382   -0.0238647   -0.0620558   -0.0211212
28.6935   524532   -0.014628   -0.0507318   -0.0665187
28.7645   190540   -0.0105559   -0.0338154   -0.00976083
28.8352   143100   -0.00462462   -0.0698047   0.0212381
28.9058   286904   -0.00796751   -0.0468523   0.0152487
28.9762   237524   -0.000153513   0.0299425   -0.017679
29.1165   238462   -0.0012622   0.00906599   -0.0419026
29.1865   286016   -0.00972054   -0.0488967   -0.0424649
29.2562   191398   -0.0352225   -0.0965704   -0.0437362
29.3258   190206   -0.0259907   -0.0537584   -0.033853
29.3952   95182   -0.00789408   -0.0559306   -0.00732532
29.4644   286026   -0.000712928   -0.0385156   0.00760803
29.5335   475634   -0.010923   -0.0224445   -0.0256117
