clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.33142 1.02737e-05 1294 0.723309 0.0273642 0.00765971
2 16.6628 2.05474e-05 142 0.079374 0.00900863 0.00252167
3 24.9943 3.08211e-05 39 0.0217999 0.00412367 0.00115428
4 33.3257 4.10948e-05 28 0.0156512 0.00414481 0.0011602
5 41.6571 5.13685e-05 9 0.00503074 0.00171291 0.000479472
7 58.3199 7.19158e-05 25 0.00698714 0.00317205 0.000887911
10 83.3142 0.000102737 24 0.00447177 0.00287599 0.00080504
20 166.628 0.000205474 34 0.0019005 0.002157 0.00060378
30 249.943 0.000308211 22 0.00122974 0.00232617 0.000651135
40 333.257 0.000410948 25 0.00139743 0.00370073 0.0010359
50 416.571 0.000513685 15 0.000838457 0.00285485 0.00079912
60 499.885 0.000616421 15 0.000838457 0.00348926 0.000976702
70 583.199 0.000719158 11 0.000614869 0.00302402 0.000846475
100 833.142 0.00102737 36 0.000670766 0.00431399 0.00120756
200 1666.28 0.00205474 43 0.000240358 0.00272796 0.000763604
300 2499.43 0.00308211 16 8.94354e-05 0.00169176 0.000473553
400 3332.57 0.00410948 6 3.35383e-05 0.000888175 0.000248615
500 4165.71 0.00513685 2 1.11794e-05 0.000380646 0.000106549
600 4998.85 0.00616421 3 1.67691e-05 0.000697851 0.00019534
the total number of clusters with at least 2 elements is 495 nematic grid elements
 The total number of independent crystalline domains is:  1789
 The average cluster size of crystalline domains is :  13.2163
 The average volume fraction of crystalline domains is :  0.0017654
 The total number of crystalline grid elements is:  23644
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 0.011519 810947 97336 0.279917 13.2163 0.00013578 1431.64 0.0017654
