clustersize volume vol_Vtot Ncluster pdf1 volume_pdf volume_pdf_x_cryst
3.0 24.746073869837282 3.0751568329984823e-05 989 0.6920923722883136 0.04408749145591251 0.015206650539177496
5.0 41.243456449728804 5.125261388330804e-05 96 0.06717984604618614 0.007132455645041457 0.002460125466398786
7.0 57.740839029620325 7.175365943663125e-05 27 0.018894331700489854 0.002808404410235074 0.0009686744023945221
9.0 74.23822160951184 9.225470498995446e-05 13 0.009097270818754374 0.0017385360634788551 0.0005996555824347041
12.0 98.98429547934913 0.0001230062733199393 14 0.00489853044086774 0.001248179737882255 0.00043052195661978757
17.0 140.22775192907793 0.00017425888720324734 20 0.004665267086540705 0.0016840520273014553 0.0005808629573441579
30.0 247.46073869837284 0.00030751568329984825 43 0.003009097270818754 0.0019168474546048917 0.0006611587190946738
50.0 412.434564497288 0.0005125261388330804 24 0.0016794961511546536 0.0017831139112603643 0.0006150313665996965
70.0 577.4083902962033 0.0007175365943663125 23 0.001609517144856543 0.0023923444976076554 0.0008251670835212595
90.0 742.3822160951185 0.0009225470498995447 10 0.0006997900629811056 0.0013373354334452732 0.0004612735249497724
110.0 907.3560418940336 0.0011275575054327767 16 0.001119664100769769 0.002615233736515201 0.0009020460043462216
130.0 1072.329867692949 0.001332567960966009 16 0.001119664100769769 0.003090730779517965 0.0010660543687728073
170.0 1402.2775192907793 0.0017425888720324734 28 0.0006531373921156987 0.0023576728382220372 0.0008132081402818209
300.0 2474.6073869837282 0.0030751568329984826 54 0.0003778866340097971 0.002407203780201492 0.0008302923449095904
500.0 4124.34564497288 0.005125261388330804 32 0.00022393282015395382 0.002377485215013819 0.0008200418221329288
700.0 5774.083902962033 0.007175365943663126 13 9.097270818754375e-05 0.0013521947160391097 0.0004663987863381032
900.0 7423.822160951185 0.009225470498995447 3 2.0993701889433168e-05 0.000401200630033582 0.00013838205748493174
1100.0 9073.560418940337 0.01127557505432777 5 3.4989503149055284e-05 0.0008172605426610003 0.00028188937635819424
1300.0 10723.29867692949 0.013325679609660092 1 6.997900629811057e-06 0.0001931706737198728 6.662839804830046e-05
1700.0 14022.775192907793 0.017425888720324734 1 2.3326335432703523e-06 8.420260136507276e-05 2.904314786720789e-05
