clustersize volume vol_Vtot Ncluster pdf1 volume_pdf volume_pdf_x_cryst
3.0 24.700211043902378 3.0751568329984823e-05 963 0.7159851301115242 0.04089982445212073 0.014806880150887696
5.0 41.16701840650396 5.125261388330804e-05 74 0.0550185873605948 0.00523812220397531 0.0018963467136823978
7.0 57.63382576910555 7.175365943663127e-05 21 0.015613382899628252 0.002081091794552353 0.0007534134240846284
9.0 74.10063313170713 9.225470498995448e-05 17 0.012639405204460967 0.0021660343167789796 0.0007841649924146132
12.0 98.80084417560951 0.0001230062733199393 13 0.0048327137546468404 0.0011042527889461465 0.0003997703882898028
17.0 139.96786258211347 0.00017425888720324734 13 0.00322180916976456 0.0010429054117824714 0.00037756092227370254
30.0 247.0021104390238 0.0003075156832998483 32 0.002379182156133829 0.0013590803556260264 0.0004920250932797573
50.0 411.6701840650396 0.0005125261388330805 22 0.0016356877323420076 0.0015572795741548222 0.0005637787527163887
70.0 576.3382576910554 0.0007175365943663125 15 0.0011152416356877324 0.0014864941389659664 0.0005381524457747346
90.0 741.0063313170714 0.0009225470498995449 13 0.0009665427509293681 0.0016563791834192196 0.0005996555824347041
110.0 905.6744049430872 0.001127557505432777 8 0.0005947955390334573 0.0012458236593238575 0.00045102300217311086
130.0 1070.3424785691032 0.0013325679609660092 15 0.0011152416356877324 0.002760631972365366 0.000999425970724507
170.0 1399.6786258211348 0.0017425888720324736 26 0.000644361833952912 0.0020858108235649432 0.0007551218445474053
300.0 2470.0211043902377 0.0030751568329984826 51 0.000379182156133829 0.0021660343167789796 0.0007841649924146132
500.0 4116.701840650397 0.005125261388330805 33 0.0002453531598513011 0.002335919361232233 0.0008456681290745829
700.0 5763.382576910555 0.007175365943663126 13 9.66542750929368e-05 0.0012882949204371709 0.0004663987863381033
900.0 7410.063313170714 0.009225470498995449 5 3.717472118959108e-05 0.0006370689166996998 0.00023063676247488623
1100.0 9056.744049430872 0.01127557505432777 4 2.9739776951672864e-05 0.0006229118296619288 0.00022551150108655543
1300.0 10703.42478569103 0.01332567960966009 3 2.2304832713754645e-05 0.0005521263944730732 0.0001998851941449014
1700.0 13996.786258211348 0.017425888720324738 2 4.956629491945477e-06 0.00016044698642807257 5.8086295734415796e-05
3000.0 24700.211043902378 0.030751568329984828 1 7.434944237918216e-07 4.2471261113313324e-05 1.5375784164992415e-05
