clustersize volume vol_Vtot Ncluster pdf1 volume_pdf volume_pdf_x_cryst
3.0 24.80819783391899 3.075156832998483e-05 1122 0.6891891891891891 0.053840493937745926 0.01725162983312149
5.0 41.34699638986498 5.125261388330805e-05 125 0.07678132678132678 0.00999712082920119 0.0032032883677067534
7.0 57.88579494581097 7.175365943663128e-05 33 0.02027027027027027 0.0036949358584727598 0.001183935380704416
9.0 74.42459350175696 9.225470498995449e-05 8 0.004914004914004914 0.0011516683195239772 0.000369018819959818
12.0 99.23279133567596 0.00012300627331993932 20 0.006142506142506142 0.0019194471992066285 0.0006150313665996966
17.0 140.57978772554094 0.0001742588872032474 25 0.0051187551187551195 0.0022660140546189368 0.0007260786966801975
30.0 248.08197833918987 0.0003075156832998483 52 0.0031941031941031942 0.0024952813589686172 0.0007995407765796057
50.0 413.4699638986498 0.0005125261388330805 36 0.0022113022113022115 0.0028791707988099426 0.0009225470498995449
70.0 578.8579494581097 0.0007175365943663127 22 0.0013513513513513514 0.002463290572315173 0.0007892902538029439
90.0 744.2459350175696 0.000922547049899545 15 0.0009213759213759214 0.002159378099107457 0.0006919102874246587
110.0 909.6339205770295 0.001127557505432777 17 0.0010442260442260441 0.002991138552096996 0.0009584238796178606
130.0 1075.0219061364894 0.0013325679609660092 14 0.0008599508599508599 0.0029111615854633868 0.0009327975726762066
170.0 1405.7978772554093 0.0017425888720324738 33 0.0006756756756756757 0.0029911385520969965 0.0009584238796178607
300.0 2480.819783391899 0.0030751568329984835 65 0.0003992628992628993 0.003119101698710771 0.000999425970724507
500.0 4134.699638986498 0.005125261388330806 20 0.00012285012285012285 0.0015995393326721904 0.0005125261388330806
700.0 5788.579494581097 0.007175365943663127 13 7.985257985257986e-05 0.0014555807927316934 0.0004663987863381033
900.0 7442.459350175696 0.009225470498995449 5 3.071253071253071e-05 0.0007197926997024856 0.00023063676247488623
1100.0 9096.339205770295 0.011275575054327771 1 6.1425061425061425e-06 0.00017594932659394094 5.637787527163886e-05
1700.0 14057.978772554092 0.017425888720324738 1 2.0475020475020476e-06 9.064056218475746e-05 2.9043147867207898e-05
