6.000000000000000000e+07,4.667891031527395262e-01
6.120000000000000000e+07,4.673178061607813905e-01
6.240000000000000000e+07,4.679021621170381673e-01
6.360000000000000000e+07,4.699891476750980845e-01
6.480000000000000000e+07,4.716309096474385898e-01
6.600000000000000000e+07,4.719370008626206925e-01
6.720000000000000000e+07,4.708795948465370196e-01
6.840000000000000000e+07,4.718256949661908117e-01
6.960000000000000000e+07,4.719648273367281766e-01
7.080000000000000000e+07,4.712691654840415190e-01
7.200000000000000000e+07,4.721874391295878826e-01
7.320000000000000000e+07,4.747474747474747514e-01
7.440000000000000000e+07,4.754987895483763216e-01
7.560000000000000000e+07,4.765561955644600500e-01
7.680000000000000000e+07,4.749700865403344574e-01
7.800000000000000000e+07,4.767509808832122720e-01
7.920000000000000000e+07,4.782814369591228965e-01
8.040000000000000000e+07,4.756935748671285991e-01
8.160000000000000000e+07,4.780588251662631905e-01
8.280000000000000000e+07,4.768066338314272401e-01
8.400000000000000000e+07,4.779475192698333097e-01
8.520000000000000000e+07,4.815093079555889388e-01
8.640000000000000000e+07,4.812310432145142647e-01
8.760000000000000000e+07,4.814536550073740262e-01
8.880000000000000000e+07,4.823162757047054772e-01
9.000000000000000000e+07,4.836241199877563401e-01
9.120000000000000000e+07,4.808692990511172494e-01
9.240000000000000000e+07,4.808414725770097653e-01
9.360000000000000000e+07,4.824832345493502705e-01
9.480000000000000000e+07,4.845702201074101878e-01
9.600000000000000000e+07,4.848206583743773779e-01
9.720000000000000000e+07,4.856832790717088288e-01
9.840000000000000000e+07,4.854050143306341547e-01
9.960000000000000000e+07,4.854606672788491228e-01
1.008000000000000000e+08,4.871024292511895726e-01
1.020000000000000000e+08,4.874641734145866434e-01
1.032000000000000000e+08,4.878259175779837142e-01
1.044000000000000000e+08,4.863789409243954864e-01
1.056000000000000000e+08,4.905807385146228050e-01
1.068000000000000000e+08,4.869076439324372951e-01
1.080000000000000000e+08,4.898015972396137507e-01
1.092000000000000000e+08,4.884937529565628878e-01
1.104000000000000000e+08,4.905529120405153209e-01
1.116000000000000000e+08,4.898572501878287189e-01
1.128000000000000000e+08,4.911929209449870659e-01
1.140000000000000000e+08,4.886607118012076811e-01
1.152000000000000000e+08,4.909424826780198758e-01
1.164000000000000000e+08,4.896346383949689574e-01
1.176000000000000000e+08,4.930851211842947612e-01
1.188000000000000000e+08,4.934746918217992606e-01
