 x y z label
319 9 22 0 0
320 9 23 0 0
321 9 24 0 0
322 9 25 0 0
323 9 26 0 0
324 9 27 0 0
325 9 28 0 432
326 9 29 0 432
327 9 30 0 0
328 9 31 0 0
329 9 32 0 0
330 10 0 0 0
331 10 1 0 485
332 10 2 0 0
333 10 3 0 0
334 10 4 0 0
335 10 5 0 0
336 10 6 0 491
337 10 7 0 0
338 10 8 0 0
339 10 9 0 0
340 10 10 0 0
341 10 11 0 499
342 10 12 0 499
343 10 13 0 0
344 10 14 0 0
345 10 15 0 0
346 10 16 0 0
347 10 17 0 0
348 10 18 0 0
349 10 19 0 0
350 10 20 0 0
351 10 21 0 0
352 10 22 0 0
353 10 23 0 0
354 10 24 0 0
355 10 25 0 0
356 10 26 0 0
357 10 27 0 0
358 10 28 0 0
359 10 29 0 0
360 10 30 0 432
361 10 31 0 0
362 10 32 0 0
363 11 0 0 0
364 11 1 0 0
365 11 2 0 0
366 11 3 0 0
367 11 4 0 0
368 11 5 0 0
369 11 6 0 0
370 11 7 0 0
371 11 8 0 549
372 11 9 0 0
373 11 10 0 0
374 11 11 0 0
375 11 12 0 499
376 11 13 0 499
377 11 14 0 0
378 11 15 0 0
379 11 16 0 558
380 11 17 0 0
381 11 18 0 0
382 11 19 0 0
383 11 20 0 0
384 11 21 0 0
385 11 22 0 468
386 11 23 0 468
387 11 24 0 468
388 11 25 0 0
389 11 26 0 0
390 11 27 0 0
391 11 28 0 0
392 11 29 0 575
393 11 30 0 0
394 11 31 0 0
395 11 32 0 0
396 12 0 0 0
397 12 1 0 0
398 12 2 0 0
399 12 3 0 0
400 12 4 0 0
401 12 5 0 0
402 12 6 0 0
403 12 7 0 0
404 12 8 0 0
405 12 9 0 0
406 12 10 0 0
407 12 11 0 0
408 12 12 0 499
409 12 13 0 0
410 12 14 0 0
411 12 15 0 558
412 12 16 0 558
413 12 17 0 558
414 12 18 0 0
415 12 19 0 0
416 12 20 0 0
417 12 21 0 0
418 12 22 0 468
419 12 23 0 0
420 12 24 0 0
421 12 25 0 0
422 12 26 0 0
423 12 27 0 0
424 12 28 0 0
425 12 29 0 620
426 12 30 0 0
427 12 31 0 0
428 12 32 0 0
429 13 0 0 0
430 13 1 0 0
431 13 2 0 0
432 13 3 0 0
433 13 4 0 0
434 13 5 0 0
435 13 6 0 0
436 13 7 0 0
437 13 8 0 0
438 13 9 0 640
439 13 10 0 640
440 13 11 0 0
441 13 12 0 0
442 13 13 0 0
443 13 14 0 0
444 13 15 0 0
445 13 16 0 558
446 13 17 0 558
447 13 18 0 0
448 13 19 0 0
449 13 20 0 0
450 13 21 0 0
451 13 22 0 468
452 13 23 0 468
453 13 24 0 0
