 labda_1 labda_2 labda_3
0 -0.49515271174335745 -0.4897717615081641 0.9849244732515215
1 -0.4950481303857738 -0.4894496430265608 0.9844977734123345
2 -0.4894036557880136 -0.48600627989011563 0.9754099356781293
3 -0.4406917418958157 -0.383759836015068 0.8244515779108836
4 -0.2751749394360983 -0.08362655996741324 0.35880149940351136
5 -0.22933401555385588 -0.081956421573193 0.3112904371270489
6 -0.3033123968951281 -0.06585697585833394 0.36916937275346207
7 -0.49573358734026723 -0.49245417701789107 0.9881877643581582
8 -0.49228552940348347 -0.48981113111775165 0.9820966605212347
9 -0.44153505875124216 -0.41773401516811903 0.8592690739193611
10 -0.420986658763844 -0.1842660778980887 0.6052527366619325
11 -0.33309799125392253 -0.24027006093446593 0.5733680521883882
12 -0.39722545820364935 -0.2109743333596811 0.6081997915633306
13 -0.4501728637332042 -0.31159176633484625 0.7617646300680501
14 -0.24703041081281044 0.029490682056534705 0.2175397287562757
15 -0.3992966390260465 -0.19432258608227998 0.5936192251083264
16 -0.3691424616233532 -0.15888352628477959 0.5280259879081326
17 -0.42289979967653285 -0.28829459169926863 0.7111943913758013
18 -0.48401106233360064 -0.36180790365660614 0.8458189659902068
19 -0.4741825139781099 -0.36229139407896455 0.8364739080570742
20 -0.4951575106974075 -0.48393602992479623 0.9790935406222039
21 -0.49347267627380836 -0.4842197233574544 0.9776923996312623
22 -0.41185078026567584 -0.27735945847406934 0.6892102387397451
23 -0.3406676881506763 -0.1275750951732366 0.4682427833239127
24 -0.4159831940543343 -0.2730352825738271 0.6890184766281615
25 -0.4371379856601833 -0.3416049658054978 0.7787429514656813
26 -0.36152087726391063 -0.280370294674604 0.6418911719385147
27 -0.40115413912077497 -0.004575289511609875 0.4057294286323848
28 -0.330468902369937 -0.15654476366491413 0.4870136660348512
29 -0.15462882024866997 0.008698140760546454 0.14593067948812355
30 -0.09438276941334309 -0.028875492366762217 0.1232582617801053
31 -0.4544281149258046 0.05261662834154467 0.40181148658425986
32 -0.4312966388063478 -0.40341668997871155 0.8347133287850592
33 -0.4943384561132029 -0.47341781535654903 0.967756271469752
34 -0.4933301112264737 -0.48872257855344736 0.9820526897799211
35 -0.4976161810441946 -0.41927907879938436 0.9168952598435788
36 -0.26572299271676375 -0.03886590622763309 0.30458889894439656
37 -0.3856930587568199 0.06407509079236788 0.3216179679644521
38 -0.3412736295164017 -0.18638293248538898 0.5276565620017907
39 -0.486990684506988 -0.4446540901940009 0.931644774700989
40 -0.4965973636523322 -0.49146813657218213 0.9880655002245144
41 -0.49370250299194446 -0.4926931298352264 0.9863956328271707
42 -0.4928577544586975 -0.4860180152431895 0.9788757697018868
43 -0.23136125107121192 -0.11909338152519611 0.3504546325964079
44 -0.25345354860807745 -0.04649295702625626 0.2999465056343338
45 -0.381225735554101 -0.29378716369953617 0.6750128992536374
46 -0.3948460419092674 -0.2081345860033303 0.6029806279125975
47 -0.3342746971651186 -0.12682026465719576 0.46109496182231446
48 -0.37005623103296315 -0.26182693305389204 0.6318831640868554
49 -0.4013445320615374 -0.08124885152989349 0.48259338359143084
50 -0.36574900845519837 -0.21256355113079825 0.5783125595859966
51 -0.43968762796075217 -0.4260805614932684 0.8657681894540207
52 -0.49356534232989313 -0.487785661851899 0.9813510041817912
53 -0.35444253027061756 -0.2209473335067328 0.57538986377735
54 -0.4594135039298581 -0.32367653662949436 0.7830900405593524
55 -0.4869676493129554 -0.30074549184486316 0.7877131411578185
56 -0.36767439124278384 -0.33037678074336924 0.6980511719861526
57 -0.37718705439394024 -0.2276713683103505 0.6048584227042907
58 -0.4896590813630057 -0.4194433597202659 0.9091024410832718
59 -0.4838254837173032 -0.4412085963479407 0.9250340800652435
60 -0.4913815490091914 -0.4177943232895262 0.9091758722987173
61 -0.27833467959790376 -0.21885341817464157 0.49718809777254525
62 -0.43226111385037663 -0.34934247512582756 0.781603588976204
63 -0.2376166044174989 -0.17072484240556013 0.4083414468230589
64 -0.3352612957709596 0.13986847958813803 0.1953928161828216
65 -0.4791481563123656 -0.3381547744748112 0.8173029307871768
66 -0.4917895752092145 -0.4847301282877125 0.9765197034969271
67 -0.4928943915079294 -0.4897857135672167 0.982680105075146
68 -0.3127413480328321 -0.08760435434071258 0.40034570237354455
