 nx ny nz cryst_bool lambda_sign x_ev y_ev z_ev
0 0 0 0 0.9793682092769951 1.0 -0.8728057569755763 0.4262723191449856 0.23770153664006166
1 0 0 1 0.9272706503282768 1.0 -0.8497801757977275 0.4371286686243049 0.2946051253592278
2 0 0 2 0.3088660001578532 1.0 -0.843801710127985 0.5179994178734284 0.1402685890278986
3 0 0 3 0.37740844232299436 1.0 -0.2691283013031299 -0.45692023180547725 0.847817114243703
4 0 0 4 0.9890175488666693 1.0 -0.407306188460768 -0.3363500014067071 0.8490997264133754
5 0 0 5 0.976896329226455 1.0 -0.38425672633386304 -0.3046234296238388 0.8715224233439968
6 0 0 6 0.9804124530325024 1.0 -0.4305251008512004 -0.1973525401211752 0.880738390468352
7 0 0 7 0.9816276697433983 1.0 -0.3920166246652132 -0.23242338392530182 0.8901136649837509
8 0 0 8 0.983758230668618 1.0 -0.35871131958303887 -0.21683600444374096 0.9079142781011154
9 0 0 9 0.9685561984667715 1.0 -0.3342192486821261 -0.31669479658338795 0.8876947108253839
10 0 0 10 0.4676262214086357 1.0 -0.3552293521739356 -0.16868273379612864 0.9194336532198233
11 0 0 11 0.44285457377885185 1.0 -0.26789160550437685 -0.14452802783477758 0.9525469735768819
12 0 0 12 0.1781034693481845 1.0 0.8535060812014658 0.2944437921294063 0.4299188558653504
13 0 0 13 0.40654903517720686 1.0 -0.8608602610397055 -0.1732149400124514 0.47845187377533943
14 0 0 14 0.8951959571314712 1.0 -0.8167708879258574 0.1980281155860364 0.5419134451868213
15 0 0 15 0.7997677397119392 1.0 -0.6930203607773309 0.28761532544909685 0.6610599096261008
16 0 0 16 0.5904014546811416 1.0 -0.859762002806036 0.34158715801828476 0.3796412938655974
17 0 0 17 0.35550871943319595 -1.0 0.6858511267994336 0.6746723482671374 0.2728102900398991
18 0 0 18 0.47982562978449117 1.0 0.2956120389657916 -0.42168751217977396 0.8572007725673843
19 0 0 19 0.32123651286056487 -1.0 -0.7819426713827884 -0.46449277308432746 0.4157067745697447
20 0 0 20 0.7572497706948714 1.0 -0.7333662474022985 0.6797999398675085 0.0067815136365766
21 0 0 21 0.9065042562919159 1.0 0.8494548046619944 -0.5219190319315605 0.07763413517439226
22 0 0 22 0.41288927314067986 1.0 0.8838463053702174 -0.36688808894870295 0.2901875922071533
23 0 0 23 0.3664005226812606 1.0 -0.5075303748418345 -0.7170578529106921 0.47774570033859476
24 0 0 24 0.9669907110630508 1.0 -0.87100713232397 0.36523912074575937 0.32855282698165755
25 0 0 25 0.8592470491544326 1.0 -0.9532941006964617 0.2479165340541868 0.17253332930156906
26 0 0 26 0.9729454483927811 1.0 -0.974403538873857 0.1111821837380349 0.19538747515986102
27 0 0 27 0.865428598861343 1.0 -0.9810347113070408 0.07288366032487092 0.17960753678050423
28 0 0 28 0.8364517822714552 1.0 -0.9863025610409746 0.12060450862612951 0.11252471098858728
29 0 0 29 0.42363856688853624 1.0 -0.9326278669628639 0.3414923638831766 0.11656855139264156
30 0 0 30 0.9818342583962766 1.0 -0.9371599215164943 0.21195669891792712 0.2771383035363641
31 0 0 31 0.9785669813425315 1.0 -0.9060650772458683 0.2781430969165335 0.3188769252127207
32 0 0 32 0.9867903400079358 1.0 -0.909838499121466 0.312582024156753 0.27292193699016853
33 0 1 0 0.9776939437156439 1.0 -0.8844634572276076 0.43292165024407175 0.1740782513093973
34 0 1 1 0.6424551842271159 1.0 -0.9269776931111255 0.33651518644279227 0.1657404168202453
35 0 1 2 0.7776263974734556 1.0 -0.8041017037209812 0.5080409940585033 0.3087309482851743
36 0 1 3 0.27938929564898674 1.0 0.41966689627559833 -0.903020112782882 0.09183883753618077
37 0 1 4 0.8665228390364716 1.0 -0.42118975296328004 -0.31662875037642546 0.8499090695090822
38 0 1 5 0.9847829734864585 1.0 -0.4000930115061303 -0.2930790688306346 0.868349147265847
39 0 1 6 0.9818443886594093 1.0 -0.37762668085400863 -0.1833248885540908 0.9076288201372931
40 0 1 7 0.9851825206915684 1.0 -0.36489432882250394 -0.19621201773706876 0.910138985478989
41 0 1 8 0.9898125213401301 1.0 -0.3954448254857291 -0.21669781263506283 0.8925611732513018
42 0 1 9 0.86179175873654 1.0 -0.3177282062870718 -0.2702052784254837 0.9088662687329787
43 0 1 10 0.9216774692785266 1.0 -0.27826809727506496 -0.17866963370545252 0.9437393856518199
44 0 1 11 0.9356105973937479 1.0 -0.30567892267159263 -0.20361443359757336 0.9301083585610195
45 0 1 12 0.6555198270660885 1.0 -0.33008165169758436 -0.30035874325221157 0.8948914618905172
46 0 1 13 0.22490739996039877 -1.0 0.576690174669301 0.7674622281884494 0.28005387114609115
47 0 1 14 0.5325602814756979 1.0 0.9428921424391664 -0.30002734304072026 0.1446996930003794
48 0 1 15 0.5606966034748601 1.0 0.5790494275380432 -0.7743791452266467 0.25502686114586515
