 nx ny nz cryst_bool lambda_sign x_ev y_ev z_ev
0 0 0 0 0.600878072531083 1.0 0.9471913162188199 -0.21459924195621138 0.2382766791599183
1 0 0 1 0.170709191131015 1.0 -0.7462397937708172 -0.6162488491685273 0.2517211276221252
2 0 0 2 0.2694611119007929 -1.0 -0.686451811242111 0.7069018028449451 0.17051026941797848
3 0 0 3 0.76675827873168 1.0 0.17713055541692146 -0.9732661894559262 0.1462111172231231
4 0 0 4 0.4357404092730084 1.0 -0.3780886382290109 -0.9249986835748387 0.03776793649311344
5 0 0 5 0.2692310819773337 -1.0 -0.2343405478689329 -0.7914195845940537 0.5645702336693492
6 0 0 6 0.7764858366246279 1.0 -0.9673787349411991 -0.2519344987427551 0.026596833022023248
7 0 0 7 0.9659949597679611 1.0 -0.8334957769031622 -0.5522548553664063 0.017302156189996434
8 0 0 8 0.4767883086751873 1.0 -0.9242666071311297 -0.09392729504862096 0.3700120297870854
9 0 0 9 0.9559162583579467 1.0 -0.8069358478006139 -0.26635580570790784 0.5271708663232406
10 0 0 10 0.5957084678230926 1.0 -0.7462257763998417 -0.35076007939065634 0.56578658285816
11 0 0 11 0.21314690673242717 -1.0 -0.531634770175557 -0.544984962022238 0.6483485654414622
12 0 0 12 0.19729061786010763 -1.0 -0.9009417416552572 0.0744157439472628 0.42751172521460473
13 0 0 13 0.705443317069349 1.0 0.590375876114447 -0.281544452817285 0.7564317854175051
14 0 0 14 0.5410632057621094 1.0 0.5249274985413394 0.013708757426450946 0.8510365393124756
15 0 0 15 0.4627102616279123 -1.0 0.5294178597693775 0.8468687551769889 0.05029951552638878
16 0 0 16 0.2998999825200857 -1.0 0.39506422650312506 0.8628192949789362 0.31538408512405725
17 0 0 17 0.5927853160600985 1.0 0.43287387277337785 0.8232752278601477 0.367203090213032
18 0 0 18 0.9831884885835953 1.0 0.5541187323390543 0.7668649641792621 0.3238372387254113
19 0 0 19 0.6776305271508791 1.0 0.46116373578985553 0.8089374706141887 0.3646205938076769
20 0 0 20 0.3998640433594004 1.0 -0.2592979912575882 -0.9592527563184021 0.1122439362519338
21 0 0 21 0.9780534274061281 1.0 -0.3143118726430881 -0.931981931552836 0.18060378172851121
22 0 0 22 0.9647274600927185 1.0 -0.036936334353680905 -0.9964281908461741 0.07593791998425144
23 0 0 23 0.5492005875809972 1.0 -0.1623446538229682 -0.9857108390114615 0.04492610856085513
24 0 0 24 0.33087727814171697 -1.0 0.05541513782926946 0.8509264665706346 0.5223536263767847
25 0 0 25 0.4907642315228893 1.0 -0.13261684067504806 -0.34896599862820055 0.9277044278059645
26 0 0 26 0.49056016164314464 1.0 -0.019807720565891394 -0.4148501096526955 0.9096741398584058
27 0 0 27 0.5144901913846565 1.0 -0.33700143179770997 -0.14964415569151102 0.9295357236995617
28 0 0 28 0.6265603657345602 1.0 -0.4547741930987304 -0.11075613329332967 0.8836931097554792
29 0 0 29 0.5233234832594564 1.0 -0.5323860401548733 -0.6073798083182543 0.589622652800496
30 0 0 30 0.8596489383985977 1.0 0.010831837427815351 -0.9008615839548503 0.433971286898449
31 0 0 31 0.3525254637082215 1.0 -0.520552805569144 -0.6236654427348276 0.5831519460247594
32 0 0 32 0.40418992702726614 1.0 0.16063576744382105 -0.8600348503774485 0.48428938286315404
33 0 1 0 0.5226130615056102 1.0 -0.11560300622930204 0.7056993805512219 0.6990166873833339
34 0 1 1 0.2974035273552901 -1.0 0.11340348563008032 -0.6495686989879079 0.7517979480831969
35 0 1 2 0.39113445559280524 -1.0 -0.2931744468406487 -0.9546190993130242 0.05245111005946004
36 0 1 3 0.11296300921397912 -1.0 0.8434869493022387 -0.4104311254748664 0.34651992381136965
37 0 1 4 0.4655745584107833 1.0 0.9811966285065532 -0.19297852278649655 0.00353071529788296
38 0 1 5 0.5887430683943948 1.0 -0.931447872456223 -0.23649677588064744 0.2765395738313683
39 0 1 6 0.760720279192192 1.0 -0.9058567238233234 -0.3679609021999065 0.20982938392014192
40 0 1 7 0.6053150240421954 1.0 -0.9718363307492616 -0.12348302619701512 0.2007139468921854
41 0 1 8 0.5579861924064299 1.0 -0.9004363886308014 -0.19341306269961883 0.3896225060320227
