index Run NumInRun Step StepSequence Temp E_pair E_mol TotEng Press Volume
63 2 18 75600000 21600000 0.88060261 -1.2264429 1.6577527 1.752212 8.0151535 319838.84
64 2 19 76800000 22800000 0.87892933 -1.2266653 1.6571167 1.7488438 8.0163564 319758.76
65 2 20 78000000 24000000 0.88088094 -1.2260615 1.6556744 1.7509327 7.9936981 319749.05
66 2 21 79200000 25200000 0.87985946 -1.2268107 1.6544986 1.7474755 7.9965865 319744.37
67 2 22 80400000 26400000 0.88000141 -1.2274874 1.6556715 1.7481846 8.0095784 319735.67
68 2 23 81600000 27600000 0.87925367 -1.2271138 1.6513423 1.7431074 7.9898432 319691.03
69 2 24 82800000 28800000 0.87947192 -1.2271657 1.6492455 1.7412861 8.0011879 319648.27
70 2 25 84000000 30000000 0.88002921 -1.2284412 1.6520649 1.7436658 8.0039903 319712.44
71 2 26 85200000 31200000 0.88049808 -1.228181 1.6502864 1.7428509 8.0102742 319691.98
72 2 27 86400000 32400000 0.87982015 -1.2289516 1.6512515 1.7420284 7.9766662 319669.96
73 2 28 87600000 33600000 0.88094604 -1.2289383 1.6507735 1.7432526 8.0479713 319664.67
74 2 29 88800000 34800000 0.87903163 -1.228739 1.648429 1.7382358 7.972792 319654.02
75 2 30 90000000 36000000 0.88031439 -1.2281581 1.6510877 1.7433995 8.011299 319632.46
76 2 31 91200000 37200000 0.87987091 -1.2281687 1.6460275 1.7376635 7.9650952 319585.95
77 2 32 92400000 38400000 0.87965885 -1.2286599 1.6480088 1.7388355 8.0202502 319660.11
78 2 33 93600000 39600000 0.88050077 -1.2295752 1.6490215 1.7401958 7.9915165 319585.47
79 2 34 94800000 40800000 0.87948183 -1.2297656 1.6474169 1.7368723 7.9935343 319607.47
80 2 35 96000000 42000000 0.88026551 -1.2300042 1.6482419 1.7386343 7.9749769 319505.31
81 2 36 97200000 43200000 0.88023943 -1.2299303 1.6464596 1.7368867 8.0249632 319546.64
82 2 37 98400000 44400000 0.87994667 -1.2302945 1.6447054 1.7343292 7.9815844 319588.16
83 2 38 99600000 45600000 0.8800485 -1.2295412 1.6434796 1.7340095 7.9924564 319549.92
84 2 39 100800000 46800000 0.87961116 -1.2304395 1.6440075 1.7329831 7.9843397 319484.0
85 2 40 102000000 48000000 0.87930979 -1.2293849 1.647178 1.7367561 7.9855323 319534.33
86 2 41 103200000 49200000 0.87981262 -1.2297227 1.6455479 1.7355425 8.0023011 319538.9
87 2 42 104400000 50400000 0.88035193 -1.2308599 1.6436296 1.7332959 8.0110757 319524.94
88 2 43 105600000 51600000 0.88190145 -1.2307914 1.6427624 1.7348215 7.9972832 319538.88
89 2 44 106800000 52800000 0.87955675 -1.2300703 1.6462241 1.7354872 8.0064436 319526.78
90 3 1 108000000 1200000 0.88017996 -1.230834 1.6421452 1.7315796 7.9660589 319442.15
91 3 2 109200000 2400000 0.88092834 -1.2313374 1.6406937 1.7307472 7.9730501 319451.29
92 3 3 110400000 3600000 0.87977427 -1.2309032 1.6420333 1.7307899 8.0154481 319438.52
93 3 4 111600000 4800000 0.87950403 -1.2319956 1.6405337 1.7277926 7.9826321 319419.96
94 3 5 112800000 6000000 0.88070841 -1.2313056 1.6406453 1.7304007 7.9946668 319414.47
95 3 6 114000000 7200000 0.88049764 -1.2316819 1.6406546 1.7297175 7.9800868 319438.46
96 3 7 115200000 8400000 0.88032655 -1.2311597 1.6382092 1.7275377 8.0028814 319405.19
97 3 8 116400000 9600000 0.8802568 -1.2309908 1.6411281 1.7305208 7.9749585 319437.1
98 3 9 117600000 10800000 0.87925167 -1.231674 1.6386112 1.725813 7.9917871 319297.13
99 3 10 118800000 12000000 0.88138942 -1.232627 1.6377606 1.727216 8.0019263 319431.74
100 3 11 120000000 13200000 0.87897174 -1.2335297 1.6411591 1.7260854 7.9975944 319401.35
101 3 12 121200000 14400000 0.88031491 -1.2320588 1.6383711 1.726783 7.977514 319408.27
102 3 13 122400000 15600000 0.88114695 -1.2329616 1.6364505 1.7252077 8.0048256 319310.69
103 3 14 123600000 16800000 0.87996781 -1.2321814 1.6414023 1.7291709 8.0208019 319389.73
104 3 15 124800000 18000000 0.88070645 -1.232423 1.6383423 1.7269773 7.9751786 319312.7
105 3 16 126000000 19200000 0.88052345 -1.2321967 1.6372491 1.7258359 8.0383508 319368.03
106 3 17 127200000 20400000 0.87958059 -1.2318322 1.6380149 1.7255519 8.0080286 319390.46
107 3 18 128400000 21600000 0.88103978 -1.2330456 1.6388813 1.7273938 7.9870674 319329.33
108 3 19 129600000 22800000 0.87909049 -1.2334432 1.6369616 1.7221525 7.9851911 319316.39
109 3 20 130800000 24000000 0.88039766 -1.233274 1.6362953 1.7236162 7.9728239 319302.41
110 3 21 132000000 25200000 0.880413 -1.2328766 1.6362023 1.7239436 8.0245271 319244.67
111 3 22 133200000 26400000 0.88001874 -1.234103 1.6369203 1.7228437 8.0023142 319300.37
112 3 23 134400000 27600000 0.88016787 -1.2340121 1.6352192 1.7214573 7.9813295 319273.71
113 3 24 135600000 28800000 0.87889478 -1.232703 1.6366482 1.7222857 8.0223469 319225.53
114 3 25 136800000 30000000 0.88171047 -1.2319928 1.6352197 1.7257909 7.9875574 319259.14
115 3 26 138000000 31200000 0.88113462 -1.2336635 1.6358084 1.7238452 8.0115389 319311.14
116 3 27 139200000 32400000 0.87991034 -1.2347619 1.6334762 1.7185782 7.9892098 319237.64
117 3 28 140400000 33600000 0.88132458 -1.2345049 1.6352691 1.7227494 7.9582967 319305.47
118 3 29 141600000 34800000 0.88059844 -1.2340239 1.6320582 1.7189303 7.9924127 319188.59
119 3 30 142800000 36000000 0.8811421 -1.2337197 1.6351816 1.7231735 7.9859477 319222.9
120 3 31 144000000 37200000 0.87851428 -1.2336582 1.6338187 1.7179302 7.9844397 319211.55
121 3 32 145200000 38400000 0.88190792 -1.2344933 1.6322093 1.7205763 7.9666962 319230.99
122 3 33 146400000 39600000 0.8809806 -1.2341749 1.6299149 1.7172093 7.988737 319201.07
123 3 34 147600000 40800000 0.88033282 -1.2344003 1.6353764 1.7214737 7.9343387 319308.65
124 3 35 148800000 42000000 0.88093634 -1.2355063 1.633237 1.7191336 8.0263646 319221.92
125 3 36 150000000 43200000 0.88078678 -1.2344134 1.6316361 1.7184012 7.9933672 319204.13
126 3 37 151200000 44400000 0.88199791 -1.2354714 1.6328276 1.7203514 8.0004292 319168.66
127 3 38 152400000 45600000 0.88091112 -1.235088 1.6298023 1.7160794 8.0135105 319144.18
128 3 39 153600000 46800000 0.88096707 -1.2350274 1.6315476 1.7179692 7.9982124 319135.2
129 3 40 154800000 48000000 0.8810387 -1.2339492 1.6306497 1.7182569 7.993964 319196.0
130 3 41 156000000 49200000 0.88080878 -1.2346397 1.6271521 1.713724 8.0126588 319187.72
131 3 42 157200000 50400000 0.88054202 -1.2343715 1.6290609 1.7155008 7.9974253 319160.42
132 3 43 158400000 51600000 0.88208406 -1.2342232 1.6267425 1.7156438 8.0400835 319093.95
133 3 44 159600000 52800000 0.88005488 -1.2346938 1.6305777 1.7159645 8.0249378 319100.08
134 4 1 160800000 1200000 0.8790394 -1.2359977 1.6288508 1.7114105 7.9992761 319187.0
135 4 2 162000000 2400000 0.88071272 -1.2361207 1.6288447 1.7137915 8.0121792 319122.82
136 4 3 163200000 3600000 0.87874928 -1.2356321 1.6286837 1.7111739 8.0182931 319085.23
137 4 4 164400000 4800000 0.87859818 -1.2358629 1.6292494 1.7112821 8.011569 319144.4
138 4 5 165600000 6000000 0.87879865 -1.236719 1.6274415 1.7089188 8.0134801 319095.0
139 4 6 166800000 7200000 0.88041043 -1.2354908 1.6298014 1.7149246 8.005704 319150.76
140 4 7 168000000 8400000 0.87901689 -1.2355291 1.6278832 1.7108778 7.9781283 319090.0
141 4 8 169200000 9600000 0.88034845 -1.2367914 1.6285911 1.7123207 7.956952 319124.42
142 4 9 170400000 10800000 0.8806041 -1.2361948 1.6286963 1.713406 8.0046536 319137.29
143 4 10 171600000 12000000 0.88017899 -1.2351293 1.6277041 1.7128416 8.0120899 319085.12
144 4 11 172800000 13200000 0.88055412 -1.2356275 1.629926 1.715128 8.0163077 319140.27
145 4 12 174000000 14400000 0.88033727 -1.2376342 1.6250534 1.7079235 7.9789677 319057.09
