 xid yid zid cryst_bool x_ev y_ev z_ev
0 0 0 0 0.9800159673599083 -0.8471228500137149 0.1801326168363525 -0.4999351131260224
1 0 1 0 0.9864186218013892 -0.8885734687267316 0.15783370403815006 -0.43072695822822815
2 0 2 0 0.9895565821626591 -0.9150857227238459 0.12679964428720797 -0.3828053947838427
3 0 3 0 0.9592441108404988 -0.9320703194806294 0.17586535833814987 -0.3167274779362727
4 0 4 0 0.24076867430842588 -0.7816153329489519 0.2834004073766737 0.5556632796917886
5 0 5 0 0.6384555277678259 0.623228048992698 -0.6193805704052648 -0.47744581677212766
6 0 6 0 0.4732084969903454 -0.5520552641853262 -0.8152128753682117 0.17510840390787302
7 0 7 0 0.5022010446546726 0.014828876068552323 -0.049650609760132025 0.9986565582746608
8 0 8 0 0.8609749620757523 -0.2430389798887141 0.24783711174665712 -0.9378213157610185
9 0 9 0 0.9823078383468777 0.2548885329238908 -0.17007282936836798 0.9518965639682414
10 0 10 0 0.9568833497085957 0.16461161412705996 -0.19540638548354716 0.9668088544312875
11 0 11 0 0.9901990047539246 0.21195149508591643 -0.2350877619838101 0.948583316264991
12 0 12 0 0.9842034467885816 0.181743034326637 -0.23891588717915624 0.9538808459798027
13 0 13 0 0.987348259247882 0.295993687288865 -0.20593876241712084 0.9327255562164289
14 0 14 0 0.8466149518365389 -0.16634616584371667 0.4058709183835941 -0.8986644260899356
15 0 15 0 0.5318113091955913 -0.8181449012969847 -0.574894680539209 0.011620101956012624
16 0 16 0 0.9769061121890695 0.5887783313752695 0.7176040033424443 0.37200076732427784
17 0 17 0 0.8700750872838232 0.630302674534874 0.6685357174457457 0.394687893117444
18 0 18 0 0.44670196602053247 -0.35253240314832013 -0.8375546464667734 -0.4174004299379529
19 0 19 0 0.8347993716493088 -0.875003873597159 0.30246635664475585 -0.3779977834432555
20 0 20 0 0.9873182948114058 -0.8755662196286895 0.3461749401873209 -0.3369669209750867
21 0 21 0 0.9801609632080629 -0.8918047654028094 0.31110250563483616 -0.3284805799321583
22 0 22 0 0.9805471813042633 -0.9109291335072903 0.31188611541918465 -0.2700651120311328
23 0 23 0 0.5337795815743042 -0.9277452034780123 0.3418256243130784 0.14981348399431943
24 0 24 0 0.4819413101463452 0.3922341531693241 -0.6752713694428407 0.624628647036248
25 0 25 0 0.7897184989182299 -0.684434695502059 0.49239559493309726 -0.5376762275603095
26 0 26 0 0.3299004527026811 -0.9900622750456285 0.029469080395369676 0.13750732646708402
27 0 27 0 0.8288787375150294 0.6979243109378537 -0.18044508846056273 0.6930665381133196
28 0 28 0 0.989462809489435 0.7730741043584821 -0.243211313345163 0.5858367402538457
29 0 29 0 0.982646999111742 0.7692520421697411 -0.1976353772576639 0.6076113505143759
30 0 30 0 0.9889844712511834 0.8088078157549937 -0.15118931369539101 0.5683059990867181
31 0 31 0 0.9802443878992296 0.812386758376666 -0.1858773508329885 0.5527000680853613
32 0 32 0 0.9874881547274388 -0.838242660911944 0.2250737329038356 -0.49668003400982125
33 1 0 0 0.9740797280169655 -0.8700441742980239 0.18878115642785842 -0.45539522367700624
34 1 1 0 0.9907454667706269 -0.8869066538491691 0.210301566838424 -0.4113026116418105
35 1 2 0 0.985151743892825 -0.8884440912831475 0.1759831547193091 -0.4239068599575877
36 1 3 0 0.9781374633595802 -0.9363435312722704 0.19129354806950138 -0.29439356295876523
37 1 4 0 0.40831340775900155 -0.9900729782907013 0.1404192746679992 0.006158324471254411
38 1 5 0 0.57736320382508 0.49745750919060105 0.7442729761010843 -0.4456386020033697
39 1 6 0 0.9865426111377549 0.5193560323174775 0.6652136160060148 -0.5364328073259967
40 1 7 0 0.665502213723988 -0.35818043468287325 -0.6137319618740674 0.7035906872497644
41 1 8 0 0.5298614913560223 -0.6906096092419924 -0.5382389759751813 0.48307056665026804
42 1 9 0 0.6854556535372902 -0.216464368605362 0.12382486989653207 -0.9684062054320949
43 1 10 0 0.6737343316086086 0.015950000156599684 -0.2935419652150365 0.9558131157044765
44 1 11 0 0.4098481247341859 0.007946790840764873 -0.43348992652903606 0.9011233723043608
45 1 12 0 0.7808219353191713 -0.08841353475196573 0.4720739611556269 -0.877114144266012
46 1 13 0 0.39851821329116527 0.07834719478968802 -0.18121405783922634 0.980317898597199
47 1 14 0 0.19848374776280786 -0.17567001451604064 0.28372643867497527 0.9426766964324245
48 1 15 0 0.4885509828345612 -0.944272536202583 -0.3013616716633103 0.13240287091236627
49 1 16 0 0.6931194406501222 0.7053451964229515 0.5488854088784421 0.44856767806364933
50 1 17 0 0.5607493162999279 0.4695285880233256 0.6473095626481975 0.6004441981841624
51 1 18 0 0.8316812639422815 -0.9064227640077726 0.2770825453967874 -0.318783682024264
52 1 19 0 0.9801094921252916 -0.8357332540257395 0.36879227670495085 -0.4068687561835234
53 1 20 0 0.9880433975232847 -0.8574083705413876 0.32228172383977827 -0.40122983015277347
54 1 21 0 0.9867998529608966 -0.8825411225149989 0.3675650343876592 -0.29328674120315223
55 1 22 0 0.9915058595336188 -0.9013656727033874 0.3359379939656465 -0.27328664124378116
56 1 23 0 0.945199853324543 -0.8825843262063698 0.4072267328431978 -0.23497083902625723
57 1 24 0 0.955633115192164 -0.8731893997233521 0.29744993710605183 -0.3860878230744634
58 1 25 0 0.43833356993643563 -0.8924895572249681 0.4351624478619532 0.11872672072946833
59 1 26 0 0.3449675214184874 -0.63996687967936 0.6952509837243711 0.3272131759935063
60 1 27 0 0.28811113381119824 -0.9031891755069372 0.33083646967646063 0.2734895675873489
61 1 28 0 0.5354520365181608 -0.886279915689885 0.1931004076020651 -0.42097522923403335
62 1 29 0 0.7346516875664606 0.7331422398261473 -0.3358792879494671 0.5913438594500318
63 1 30 0 0.8757392427109257 0.7828418394299368 -0.30527709680724024 0.5421849763714378
64 1 31 0 0.8685620852167383 0.7940951527036036 -0.1624431586833348 0.585683454307548
65 1 32 0 0.9699921257141443 0.7991876193065595 -0.17722487347291593 0.5743609434577027
66 2 0 0 0.9770267486032413 -0.8535071044098054 0.17890621463707224 -0.4894059553031857
67 2 1 0 0.9712580817383334 -0.8877100954996567 0.13683023104946518 -0.43960012991233316
68 2 2 0 0.9807449178798614 -0.8961461817194394 0.17291473641891536 -0.40868388140327533
69 2 3 0 0.806772196456689 -0.9464948313739171 0.17153932205795802 -0.27335287664547503
70 2 4 0 0.5104195778060309 -0.37046454891455743 -0.9233533077603372 -0.1008696537397516
71 2 5 0 0.9857178719625904 0.5207799040783461 0.7012226265995798 -0.4869036038611085
72 2 6 0 0.9823103650245977 -0.4616758621445225 -0.7167580081429196 0.5226024838020825
73 2 7 0 0.9874063970156403 -0.46213395823944997 -0.7086397888584238 0.5331621275828082
74 2 8 0 0.9216910340645192 0.5093801580454489 0.6804872455436628 -0.5267532280318665
75 2 9 0 0.8357050662263504 0.5405137373121687 0.6527720787248802 -0.5307857505755317
76 2 10 0 0.97332531747055 0.522707352941799 0.6581375851314458 -0.5418781617835563
77 2 11 0 0.9016720808735191 -0.6042775726043778 -0.5293897845710235 0.5954788587676358
78 2 12 0 0.7218700821593563 0.042738287565294575 -0.998619902216343 -0.030524247302884833
79 2 13 0 0.5485890972347618 0.015205285355359836 0.9987869810489005 -0.04683338322698294
80 2 14 0 0.3589268965775836 0.7452836861009292 -0.6617011919864682 0.08187649085970218
81 2 15 0 0.3272126339298851 -0.01262776119439369 0.36645422479443 -0.9303503860253569
82 2 16 0 0.49105733951097713 0.8708475518848531 -0.3126870653137518 0.37927739263187243
83 2 17 0 0.3494854896873304 -0.4052811618527168 -0.6072658200557549 -0.6833559860272853
84 2 18 0 0.46225217010173364 0.8261498947122011 -0.34138582742315393 -0.448254468245022
85 2 19 0 0.93096819950298 -0.9190317999593784 0.1910907414134035 -0.34476786278523835
