 nx ny nz cryst_bool x_ev y_ev z_ev
0 0 0 0 0.5743673941696583 -0.9367668395228362 0.02676547395210327 0.34892907269890233
1 0 0 1 0.9412581880523446 -0.9635695146005908 -0.05745020633827741 0.2612149772200502
2 0 0 2 0.5689423207263253 -0.9769199271997894 0.15359139579348746 0.14844911241959782
3 0 0 3 0.7781787991098595 0.7839460659828857 -0.38056634286556057 0.49050772094625544
4 0 0 4 0.9903574014164447 0.7700134602160889 -0.3792752711653833 0.5130590022292476
5 0 0 5 0.956589179320529 0.793661042426046 -0.4144899858627664 0.4453091076484804
6 0 0 6 0.9793352032602249 0.7964240680204916 -0.45654007898595306 0.39658524954565716
7 0 0 7 0.9518330389798922 0.7606958459118204 -0.47903284973650373 0.4380289475432237
8 0 0 8 0.6234002970297355 0.7229753512990595 -0.5353502853055067 0.43669979784437024
9 0 0 9 0.4424868680004912 0.4197761394458203 0.32273012800793116 0.8483120046468444
10 0 0 10 0.9600818166576744 0.31099324005802326 0.3711444350536016 0.8749485773272366
11 0 0 11 0.9871515059059057 0.23352041013744598 0.18173880123139385 0.9552168477242301
12 0 0 12 0.985633919889582 0.2749906989306578 0.10384068098320776 0.9558228018176658
13 0 0 13 0.9813584280922123 0.24620294556015657 0.09005020541554387 0.9650259427093765
14 0 0 14 0.5899683046824031 0.30914693829081175 0.057632376262301666 0.9492663902992549
15 0 0 15 0.6281246018327633 0.17281849873556135 -0.9615618385342779 0.2133836853401999
16 0 0 16 0.25828955756274774 0.28921272375768114 -0.011052582673252598 0.9572010451482558
17 0 0 17 0.2538744349900002 0.2954100583273394 0.21856249964298047 0.9300340484029872
18 0 0 18 0.25281459958499236 -0.7467079380432956 0.06089142498772937 0.66235903377707
19 0 0 19 0.24991320687304025 -0.6424611323831066 -0.6872069919395899 0.33910211383351263
20 0 0 20 0.6972293898625008 -0.6102640165671994 -0.7076259931869564 0.35615064768920757
21 0 0 21 0.5768725582530618 -0.5825060532157631 -0.8081893299838979 0.08669893233006129
22 0 0 22 0.1303359005803802 -0.127328411291412 0.17687767201246762 0.9759619689421585
23 0 0 23 0.3906476845130087 0.1787122416631575 0.08941546653725208 0.9798299898572481
24 0 0 24 0.4135297891912291 0.9307747804257713 -0.057508305723300956 0.36104169135460273
25 0 0 25 0.5001989051530191 -0.8938494693408807 0.03679099841998856 0.4468551763091555
26 0 0 26 0.9865511320288292 -0.9206023232987512 -0.0055111868968330535 0.39046253233303924
27 0 0 27 0.9807989064307472 -0.9144409643537188 -0.02940285417912497 0.40364984191494735
28 0 0 28 0.832884262871811 -0.9167597387928268 0.04817939884424993 0.39652279487504166
29 0 0 29 0.9783944077730947 -0.9354665101242435 -0.007933677721101762 0.35332628715365455
30 0 0 30 0.9828281802352667 -0.9379774870429396 -0.06524265324049183 0.34050202642385713
31 0 0 31 0.9822389738846962 -0.9210020136786877 -0.10271694336575676 0.3757718993557103
32 0 1 0 0.9432510409406152 -0.9206933264747438 -0.03368142906396465 0.3888307599985888
33 0 1 1 0.8958871020621086 -0.9354325767591793 -0.09752841235314624 0.3397853780278913
34 0 1 2 0.8883763771282716 -0.9398365761959523 -0.003955701974259873 0.341601467306803
35 0 1 3 0.3704198045135315 0.9501411868042874 -0.2868814729121769 0.12219143029639959
36 0 1 4 0.8838635185353944 0.7902035146176355 -0.34538456781079074 0.5062488575829965
37 0 1 5 0.972206142150147 0.7937574351469594 -0.35318874810602174 0.49518364508555957
38 0 1 6 0.9751692921373072 0.7448914049528972 -0.49491151466173056 0.44743646195021997
39 0 1 7 0.9459090328689796 0.727197990640708 -0.508127747307978 0.4615076107973044
40 0 1 8 0.3143339499672666 0.7104569188484214 0.06872392170564867 0.7003770334939626
41 0 1 9 0.8146750493656337 0.14010134023399287 0.4178568973897926 0.8976453797399141
42 0 1 10 0.9819813456960549 0.20826613248183604 0.31422203994035836 0.926223368133615
43 0 1 11 0.9874511081816171 0.18356702188666102 0.18123593051850428 0.9661556220220191
44 0 1 12 0.9891126132442337 0.24946227044997912 0.11218024667643611 0.9618649426388072
45 0 1 13 0.9831040450276282 0.23362684217324936 0.07068339401427981 0.969753760718038
46 0 1 14 0.8726852171684979 0.1510282911008434 0.06570110506096227 0.9863436622602324
47 0 1 15 0.23572770317075242 0.7299762997457984 -0.5961388994441209 0.3342948016032918
48 0 1 16 0.7561072792694703 0.42371601171202633 -0.9014135828948329 0.08898479640676808
49 0 1 17 0.7774952740904854 0.14273766539070304 -0.9864751991824992 0.0805769214890981
50 0 1 18 0.3522328059845281 -0.30828617754152476 -0.8406441710754052 0.445283067692654
51 0 1 19 0.5158312565771932 0.23155111781377827 0.7209879273804015 0.6531159838886986
52 0 1 20 0.2666866643130935 -0.3258236127129114 -0.9353628905101302 0.13760536492172237
53 0 1 21 0.2237968523971329 -0.3339707145893766 0.9132126307607878 0.23346574227415415
54 0 1 22 0.2264519724839822 0.04577653755034715 0.2987419778500502 0.9532354060147692
55 0 1 23 0.22392637008909272 0.7088985805559588 0.38812509890397184 0.5889157071148032
56 0 1 24 0.4284233138099863 0.8331710438315018 0.5493035377362288 0.06396589052916637
57 0 1 25 0.36559757488820743 0.44029537063397695 0.16091425224090516 0.883315679711415
58 0 1 26 0.9782273025739378 -0.9314464446774896 -0.03371564956904488 0.36231309067131684
