 nx ny nz cryst_bool x_ev y_ev z_ev
0 0 0 0 0.9914841802955178 0.8859418662330791 -0.10370756473339782 0.4520528184543452
1 0 0 1 0.6001559034552733 -0.5097584778098299 0.8564846363808469 0.08111943012973943
2 0 0 2 0.9425618110208411 -0.5951423740532327 0.713006505512306 0.37071185266108264
3 0 0 3 0.9724038033754648 -0.6715937698342981 0.6548317303886804 0.34663700494309946
4 0 0 4 0.9727207669344166 -0.7598529923013994 0.5086774158502412 0.404809481972113
5 0 0 5 0.9814874720383022 -0.7844905366367303 0.48904025687579133 0.3813321715804672
6 0 0 6 0.9017069922209002 -0.7694457145507398 0.4421245997666492 0.46095458631049696
7 0 0 7 0.8812520970967496 -0.8091103335292376 0.3997878933617566 0.4307088442295734
8 0 0 8 0.30367428720415973 -0.9547071910524303 0.29024222051353177 0.06552581769160071
9 0 0 9 0.4120015007392984 -0.5217645832322989 -0.733006770273655 0.43642043308879364
10 0 0 10 0.9384801387171808 0.3082580759570509 0.27676592364687824 0.910152504866711
11 0 0 11 0.9761297722362294 0.2586716172353388 0.4093628815920438 0.8749348693540067
12 0 0 12 0.9425433902277668 0.15363695702327995 0.4883812085122492 0.8589991156041673
13 0 0 13 0.547225800384259 0.17179711810669623 0.6022451779044999 0.7796066289488641
14 0 0 14 0.31533240907700455 0.222725175305165 -0.5565005903683359 0.8004377484882741
15 0 0 15 0.7612566626427733 -0.7369680634131229 0.34710244045794125 0.5799982494260247
16 0 0 16 0.9853527423089864 -0.8417844433951595 0.3239837686795799 0.4317794211053582
17 0 0 17 0.9856493744016587 -0.8617027672246953 0.29607335433332393 0.41207876651329256
18 0 0 18 0.9825766621853302 -0.8522135375687605 0.27521230876864966 0.4449609774876533
19 0 0 19 0.9835503641441284 -0.8381029956986029 0.27335974894923665 0.47207818870970764
20 0 0 20 0.9876700718961254 -0.8286176561066813 0.3017304520163866 0.47154163582260333
21 0 0 21 0.9822356285069143 -0.8346244386935963 0.2767918372952791 0.47622297838523425
22 0 0 22 0.9875098792219853 -0.8151639566511343 0.2767092167268743 0.5088612120758151
23 0 0 23 0.9870153803460762 -0.836833347389593 0.23387310562328578 0.49498820103397206
24 0 0 24 0.9085503343218103 -0.8534615490189758 0.18776075047796748 0.4861576749636694
25 0 0 25 0.8377243498024066 0.8024589753516272 -0.24690093836771232 0.5432306319702151
26 0 0 26 0.9362522682215422 0.8248908705695535 -0.20235340930764079 0.5278334485352166
27 0 1 0 0.9809640340822294 0.876086643028787 -0.12526082556571572 0.46559845305278436
28 0 1 1 0.646871387165791 0.90507521603767 -0.1386917008125763 0.4019993351239272
29 0 1 2 0.9511444408039689 -0.3335361540013655 0.845489916983032 0.4170137099113208
30 0 1 3 0.79183348143598 -0.5986763108798554 0.6727473325034714 0.43473865873734996
31 0 1 4 0.7577869714612226 -0.6656560121188788 0.6184017945576294 0.41770958095056204
32 0 1 5 0.36513897743185053 0.7317665674272671 -0.6814339584393816 0.01286277891243695
33 0 1 6 0.5312832082686986 -0.7090773958397039 -0.572768702688517 0.4112727318090724
34 0 1 7 0.4072452097649558 -0.5602909153446098 0.06404877242026641 0.8258158662400207
35 0 1 8 0.2596892240954237 -0.5191704953108336 -0.65262502476759 0.5518537612862731
36 0 1 9 0.3564761466249391 -0.22027179240098083 0.0703614405957359 0.9728975306525103
37 0 1 10 0.7166493434952419 0.40529879834274024 0.2942332930307292 0.8655400934296602
38 0 1 11 0.9431916474057568 0.28048852665319196 0.3265122900206078 0.9026161481390745
39 0 1 12 0.9771018607334415 0.2348815913342095 0.38166901511151385 0.893957158344916
40 0 1 13 0.8903351493040212 0.2883406076600823 0.347346177119197 0.8923061846781595
41 0 1 14 0.5084670995512187 -0.07553209239050081 0.2793342710558937 0.9572185058975747
42 0 1 15 0.9578737898375365 -0.7484583684542794 0.43361981051601906 0.5017807595143619
43 0 1 16 0.8889665858629101 -0.8085345249302298 0.3263936803635208 0.4896315833507911
44 0 1 17 0.4942832290741844 -0.7631972373904965 0.17881230984528862 0.6209316666810503
45 0 1 18 0.7957232302434748 -0.8786238061371364 0.21501828591501526 0.42636527064391766
46 0 1 19 0.9820612904368717 -0.8801720110389322 0.21484673624742046 0.42324710383830555
47 0 1 20 0.9802899133467444 -0.8354539748600519 0.259302833365745 0.48453967484514227
48 0 1 21 0.9834981492030392 -0.839885861148525 0.27840134844160647 0.46592320121313513
49 0 1 22 0.9875678077609892 -0.844908597651194 0.27427526732631113 0.45924126485777955
50 0 1 23 0.9785037029104227 -0.8543812520544121 0.21866824141705576 0.4713988505856877
51 0 1 24 0.6712300574323384 -0.8319610854583828 0.06741566692773493 0.5507230521193012
52 0 1 25 0.5783217007422916 0.8338147521757057 -0.23652090936598746 0.4988094009607805
53 0 1 26 0.9174994023066254 0.9072774535344431 -0.16189014687183062 0.3881226644424077
