index time total_bonds tie_bonds f_tie n_tie_chains mean_tie_length
0 0 396000 3 7.575757575757576e-06 1 3.0
1 1200000 396000 1299 0.00328030303030303 64 20.296875
2 2400000 396000 16836 0.04251515151515151 726 23.1900826446281
3 3600000 396000 59434 0.15008585858585857 2864 20.752094972067038
4 4800000 396000 92036 0.2324141414141414 5126 17.954740538431526
5 6000000 396000 107590 0.2716919191919192 6932 15.520773225620312
6 7200000 396000 109023 0.27531060606060603 7963 13.691196785131233
7 8400000 396000 105886 0.2673888888888889 8395 12.612983918999404
8 9600000 396000 103489 0.26133585858585856 8654 11.95851629304368
9 10800000 396000 99135 0.2503409090909091 8720 11.368692660550458
10 12000000 396000 99336 0.2508484848484849 8960 11.086607142857142
11 13200000 396000 95653 0.2415479797979798 8923 10.719825170906645
12 14400000 396000 94215 0.23791666666666667 9062 10.396711542705804
13 15600000 396000 94210 0.2379040404040404 9182 10.260291875408408
14 16800000 396000 94180 0.23782828282828283 9088 10.363116197183098
15 18000000 396000 92695 0.23407828282828283 9213 10.061326386627591
16 19200000 396000 91443 0.23091666666666666 9225 9.912520325203252
17 20400000 396000 89454 0.2258939393939394 9067 9.865887283555752
18 21600000 396000 88845 0.22435606060606061 9155 9.704533042053523
19 22800000 396000 89786 0.22673232323232323 9300 9.654408602150538
20 24000000 396000 88870 0.2244191919191919 9245 9.612763656030287
21 25200000 396000 84860 0.21429292929292929 9053 9.373688280128134
22 26400000 396000 86515 0.21847222222222223 9198 9.40584909762992
23 27600000 396000 87124 0.22001010101010102 9327 9.341052857296022
24 28800000 396000 85832 0.21674747474747474 9195 9.334638390429582
25 30000000 396000 84776 0.2140808080808081 9289 9.126493702228442
26 31200000 396000 85456 0.2157979797979798 9159 9.330276231029588
27 32400000 396000 85239 0.21525 9406 9.062194344035722
28 33600000 396000 84902 0.2143989898989899 9248 9.180579584775087
29 34800000 396000 84332 0.21295959595959596 9140 9.226695842450766
30 36000000 396000 86458 0.21832828282828282 9506 9.095097832947612
31 37200000 396000 84710 0.21391414141414142 9380 9.03091684434968
32 38400000 396000 84378 0.21307575757575759 9347 9.027281480688991
33 39600000 396000 83775 0.2115530303030303 9329 8.980062171722585
34 40800000 396000 83933 0.2119520202020202 9426 8.90441332484617
35 42000000 396000 81975 0.20700757575757575 9165 8.944353518821604
36 43200000 396000 82721 0.20889141414141413 9435 8.767461579226286
37 44400000 396000 82180 0.20752525252525253 9242 8.89201471542956
38 45600000 396000 81229 0.20512373737373737 9147 8.880397944681317
39 46800000 396000 82126 0.2073888888888889 9226 8.901582484283546
40 48000000 396000 83436 0.2106969696969697 9418 8.859205776173285
41 49200000 396000 82648 0.2087070707070707 9455 8.741195134849287
42 50400000 396000 81988 0.20704040404040405 9400 8.722127659574468
43 51600000 396000 82136 0.2074141414141414 9499 8.646804926834404
44 52800000 396000 81724 0.20637373737373738 9406 8.688496704231342
45 54000000 396000 81236 0.20514141414141415 9467 8.580965458962712
46 55200000 396000 83115 0.20988636363636365 9613 8.646104233849995
47 56400000 396000 81223 0.20510858585858585 9480 8.56782700421941
48 57600000 396000 82076 0.20726262626262626 9499 8.640488472470786
49 58800000 396000 80310 0.2028030303030303 9298 8.637341363734137
50 60000000 396000 81314 0.20533838383838385 9465 8.591019545694664
51 61200000 396000 80022 0.20207575757575758 9320 8.586051502145922
52 62400000 396000 81099 0.20479545454545456 9406 8.622049755475228
53 63600000 396000 80138 0.20236868686868686 9329 8.590202594061529
54 64800000 396000 79604 0.20102020202020202 9438 8.434414070777708
55 66000000 396000 81602 0.20606565656565656 9592 8.507297748123436
56 67200000 396000 79822 0.20157070707070707 9346 8.540766103145732
57 68400000 396000 81305 0.20531565656565656 9512 8.547624053826745
58 69600000 396000 80322 0.20283333333333334 9353 8.587832780925906
59 70800000 396000 79606 0.20102525252525252 9378 8.488590317764983
60 72000000 396000 79984 0.20197979797979798 9325 8.577372654155496
61 73200000 396000 79741 0.2013661616161616 9360 8.519337606837606
62 74400000 396000 79633 0.20109343434343435 9296 8.566372633390706
63 75600000 396000 80680 0.20373737373737374 9453 8.53485665926161
64 76800000 396000 81360 0.20545454545454545 9398 8.65716109810598
65 78000000 396000 81331 0.20538131313131314 9402 8.650393533290789
66 79200000 396000 78602 0.198489898989899 9181 8.561376756344625
67 80400000 396000 78404 0.197989898989899 9204 8.518470230334637
68 81600000 396000 81671 0.206239898989899 9521 8.577985505724188
69 82800000 396000 79629 0.20108333333333334 9395 8.4756785524215
70 84000000 396000 79339 0.2003510101010101 9366 8.470958787102285
71 85200000 396000 80467 0.20319949494949496 9361 8.59598333511377
72 86400000 396000 79328 0.20032323232323232 9306 8.524392864818397
73 87600000 396000 79961 0.20192171717171717 9224 8.668798785776236
74 88800000 396000 79009 0.19951767676767676 9300 8.495591397849463
75 90000000 396000 79562 0.2009141414141414 9428 8.438905388205345
76 91200000 396000 79864 0.20167676767676768 9518 8.390838411430973
77 92400000 396000 79035 0.19958333333333333 9348 8.454749679075737
78 93600000 396000 78180 0.19742424242424242 9261 8.44185293164885
79 94800000 396000 79176 0.19993939393939394 9394 8.428358526719183
80 96000000 396000 78723 0.19879545454545455 9262 8.499568127834161
81 97200000 396000 79288 0.20022222222222222 9311 8.515519278273011
82 98400000 396000 78589 0.19845707070707072 9397 8.36320102160264
83 99600000 396000 79186 0.19996464646464646 9474 8.358243614101752
84 100800000 396000 77894 0.1967020202020202 9301 8.37479840877325
85 102000000 396000 78953 0.19937626262626262 9356 8.43875587858059
86 103200000 396000 76479 0.19312878787878787 9106 8.398748078190204
87 104400000 396000 78852 0.19912121212121212 9332 8.449635662237462
88 105600000 396000 75521 0.19070959595959597 9019 8.373544738884577
89 106800000 396000 77579 0.19590656565656567 9268 8.370630125161847
90 108000000 396000 76907 0.19420959595959597 9109 8.442968492699528
91 109200000 396000 77190 0.19492424242424242 9219 8.372925479986984
92 110400000 396000 76858 0.19408585858585858 9298 8.266078726607873
93 111600000 396000 76799 0.19393686868686869 9305 8.25351961311123
94 112800000 396000 77676 0.19615151515151516 9306 8.346872985170858
95 114000000 396000 77447 0.19557323232323232 9267 8.357289306140068
96 115200000 396000 76674 0.1936212121212121 9200 8.334130434782608
97 116400000 396000 77048 0.19456565656565655 9248 8.331314878892734
98 117600000 396000 77533 0.19579040404040404 9357 8.286095970930853
99 118800000 396000 76374 0.19286363636363638 9276 8.233505821474774
100 120000000 396000 77819 0.19651262626262625 9364 8.310444254592054
101 121200000 396000 76493 0.19316414141414143 9148 8.361718408395278
102 122400000 396000 78115 0.197260101010101 9343 8.360804880659318
103 123600000 396000 77954 0.19685353535353536 9410 8.284165781083953
104 124800000 396000 76165 0.19233585858585858 9278 8.20920456995042
105 126000000 396000 77841 0.1965681818181818 9370 8.307470651013874
106 127200000 396000 77367 0.1953712121212121 9323 8.298509063606135
107 128400000 396000 76634 0.193520202020202 9258 8.277597753294447
108 129600000 396000 76822 0.1939949494949495 9251 8.304183331531727
109 130800000 396000 76144 0.19228282828282828 9189 8.286429426488192
