index time total_bonds tie_bonds f_tie n_tie_chains mean_tie_length
0 0 712800 27 3.787878787878788e-05 1 27.0
1 1200000 712800 5134 0.007202581369248036 223 23.022421524663677
2 2400000 712800 41875 0.05874719416386083 1775 23.591549295774648
3 3600000 712800 93355 0.13096941638608306 4101 22.763960009753717
4 4800000 712800 147340 0.20670594837261505 6801 21.66446110866049
5 6000000 712800 166195 0.23315796857463525 8227 20.201166889510148
6 7200000 712800 179494 0.2518153759820426 9424 19.046477079796265
7 8400000 712800 179805 0.2522516835016835 9909 18.14562518922192
8 9600000 712800 183176 0.2569809203142536 10521 17.4105123087159
9 10800000 712800 183466 0.25738776655443324 10874 16.87198822880265
10 12000000 712800 184210 0.25843153759820425 11110 16.580558055805582
11 13200000 712800 183878 0.25796576879910216 11356 16.192145121521662
12 14400000 712800 182324 0.25578563411896743 11380 16.021441124780317
13 15600000 712800 182955 0.2566708754208754 11619 15.746191582752388
14 16800000 712800 180252 0.25287878787878787 11411 15.79633686793445
15 18000000 712800 177935 0.24962822671156004 11427 15.571453574866544
16 19200000 712800 179238 0.25145622895622893 11605 15.44489444205084
17 20400000 712800 176893 0.24816638608305275 11737 15.071398142625885
18 21600000 712800 177552 0.24909090909090909 11785 15.06593126856173
19 22800000 712800 178048 0.24978675645342313 11936 14.916890080428955
20 24000000 712800 173825 0.2438622334455668 11872 14.641593665768195
21 25200000 712800 174776 0.24519640852974187 11841 14.76023984460772
22 26400000 712800 173523 0.24343855218855218 11938 14.535349304741162
23 27600000 712800 172491 0.24199074074074073 11747 14.683834170426492
24 28800000 712800 173356 0.24320426487093152 11927 14.534753081244236
25 30000000 712800 171575 0.24070566778900113 11877 14.445988044118884
26 31200000 712800 173193 0.24297558922558923 11952 14.490712851405622
27 32400000 712800 170279 0.2388874859708193 11803 14.42675590951453
28 33600000 712800 170239 0.2388313692480359 11842 14.375865563249452
29 34800000 712800 172767 0.24237794612794614 12062 14.323246559442879
30 36000000 712800 168956 0.23703142536475869 11982 14.100817893506926
31 37200000 712800 170149 0.2387051066217733 12081 14.08401622382253
32 38400000 712800 168294 0.2361026936026936 11885 14.160201935212452
33 39600000 712800 169062 0.23718013468013469 11860 14.254806070826307
34 40800000 712800 169337 0.2375659371492705 11895 14.235981504833964
35 42000000 712800 166248 0.23323232323232324 11729 14.17409838860943
36 43200000 712800 168417 0.23627525252525253 12001 14.033580534955421
37 44400000 712800 166108 0.23303591470258136 11829 14.042438075915124
38 45600000 712800 168517 0.236415544332211 12141 13.879993410756938
39 46800000 712800 167607 0.2351388888888889 12018 13.946330504243635
40 48000000 712800 166982 0.23426206509539843 12004 13.910529823392203
41 49200000 712800 166235 0.23321408529741863 11777 14.115224590303134
42 50400000 712800 166396 0.23343995510662177 11862 14.027651323554206
43 51600000 712800 164535 0.23082912457912458 11770 13.979184367034835
44 52800000 712800 163168 0.22891133557800225 11778 13.853625403294277
45 54000000 712800 165627 0.2323611111111111 12011 13.789609524602447
46 55200000 712800 165462 0.23212962962962963 11905 13.898530029399412
47 56400000 712800 164600 0.2309203142536476 11748 14.01089547156963
48 57600000 712800 163764 0.22974747474747476 11842 13.829082925181558
49 58800000 712800 162781 0.22836840628507296 11896 13.683675184936114
50 60000000 712800 164620 0.23094837261503928 11746 14.014983824280606
51 61200000 712800 163645 0.22958052749719415 11812 13.854131391804945
52 62400000 712800 163080 0.2287878787878788 11727 13.906369915579432
53 63600000 712800 164813 0.23121913580246914 11936 13.808059651474531
54 64800000 712800 162558 0.22805555555555557 11710 13.88198121263877
55 66000000 712800 162412 0.22785072951739618 11655 13.934963534963535
56 67200000 712800 161901 0.22713383838383838 11735 13.796420962931402
57 68400000 712800 163336 0.22914702581369248 11729 13.925824878506267
58 69600000 712800 162114 0.22743265993265993 11784 13.757128309572302
59 70800000 712800 162085 0.22739197530864197 11753 13.790946992257297
60 72000000 712800 160115 0.22462822671156005 11673 13.716696650389789
61 73200000 712800 159942 0.22438552188552188 11611 13.775040909482387
62 74400000 712800 162126 0.22744949494949496 11779 13.763986756091349
63 75600000 712800 159882 0.2243013468013468 11589 13.796013461040642
64 76800000 712800 161174 0.22611391694725028 11678 13.8015071073814
65 78000000 712800 159168 0.2232996632996633 11668 13.641412410010284
66 79200000 712800 158851 0.22285493827160494 11638 13.649338374291116
67 80400000 712800 161193 0.2261405723905724 11904 13.541078629032258
68 81600000 712800 158114 0.22182098765432098 11749 13.457655970720912
69 82800000 712800 157965 0.22161195286195287 11718 13.480542754736303
70 84000000 712800 159267 0.2234385521885522 11767 13.535055664145492
71 85200000 712800 160196 0.22474186307519642 11866 13.50042137198719
72 86400000 712800 159418 0.22365039281705948 11858 13.44391971664699
73 87600000 712800 159766 0.22413860830527496 11789 13.55212486215964
74 88800000 712800 158747 0.22270903479236812 11646 13.63103211403057
75 90000000 712800 157899 0.22151936026936028 11734 13.456536560422704
76 91200000 712800 158519 0.2223891694725028 11798 13.436090862858112
77 92400000 712800 158709 0.2226557239057239 11741 13.517502768077676
78 93600000 712800 158466 0.22231481481481483 11846 13.377173729528955
79 94800000 712800 155908 0.21872615039281706 11708 13.316364878715408
80 96000000 712800 157892 0.22150953984287317 11814 13.364821398340952
81 97200000 712800 157063 0.22034652076318742 11792 13.319453867028495
82 98400000 712800 158701 0.22264450056116722 11943 13.28820229423093
83 99600000 712800 157158 0.22047979797979797 11797 13.321861490209375
84 100800000 712800 155638 0.21834736251402917 11591 13.427486843240445
85 102000000 712800 158497 0.22235830527497194 11804 13.427397492375466
86 103200000 712800 159491 0.22375280583613916 11837 13.473937653121569
87 104400000 712800 158146 0.2218658810325477 11712 13.50290300546448
88 105600000 712800 156547 0.2196226150392817 11723 13.353834342745031
89 106800000 712800 157352 0.22075196408529743 11883 13.241773962804006
90 108000000 712800 156483 0.21953282828282827 11792 13.270267978290367
91 109200000 712800 157034 0.2203058361391695 11720 13.398805460750854
