num_in_run Run NumInRun Step StepSequence Temp E_pair E_mol TotEng Press Volume
63 2 1 38400031 1200000 0.88006818 -1.1923233 1.7820395 1.9098179 8.0198 804338.28
64 2 2 39600031 2400000 0.88004192 -1.1919863 1.7806125 1.9086885 7.9902135 804331.42
65 2 3 40800031 3600000 0.88033319 -1.1931643 1.7783291 1.905664 7.9915331 804311.24
66 2 4 42000031 4800000 0.8800284 -1.1927584 1.7782246 1.9055082 7.9934793 804208.16
67 2 5 43200031 6000000 0.88006438 -1.1932192 1.7794538 1.9063305 8.0080913 804123.69
68 2 6 44400031 7200000 0.88052191 -1.1931742 1.7783619 1.90597 8.0057761 804054.16
69 2 7 45600031 8400000 0.88059 -1.1926331 1.7777199 1.9059711 7.9863868 804079.57
70 2 8 46800031 9600000 0.88036458 -1.1939042 1.7754466 1.9020886 7.9968418 804025.62
71 2 9 48000031 10800000 0.88002039 -1.1932342 1.7754672 1.9022629 7.9847033 803947.97
72 2 10 49200031 12000000 0.87930084 -1.1938153 1.7754236 1.9005588 7.9941686 804024.8
73 2 11 50400031 13200000 0.88049104 -1.1947089 1.7743181 1.9003452 7.9985134 803911.11
74 2 12 51600031 14400000 0.88030374 -1.1940415 1.7740835 1.900497 8.0010098 803898.4
75 2 13 52800031 15600000 0.87973504 -1.1941478 1.7745155 1.8999695 7.9876255 803919.38
76 2 14 54000031 16800000 0.87954486 -1.1946259 1.7733346 1.8980253 7.9985532 803881.6
77 2 15 55200031 18000000 0.87984013 -1.1944217 1.7712823 1.8966201 8.0261484 803763.13
78 2 16 56400031 19200000 0.88083704 -1.1944646 1.7708935 1.8976838 8.0065059 803778.83
79 2 17 57600031 20400000 0.87909784 -1.1943201 1.773008 1.8973341 7.9985845 803780.7
80 2 18 58800031 21600000 0.87997275 -1.1953178 1.7703856 1.8950263 7.9910095 803703.77
81 2 19 60000031 22800000 0.88000743 -1.195219 1.769147 1.8939385 8.0033444 803640.74
82 2 20 61200031 24000000 0.88073331 -1.1954968 1.7714773 1.8970798 7.9826877 803605.81
83 2 21 62400031 25200000 0.88076521 -1.1954626 1.7701319 1.8958165 7.999616 803604.07
84 2 22 63600031 26400000 0.88038265 -1.195626 1.7708365 1.8957838 7.9934884 803559.28
85 2 23 64800031 27600000 0.87987802 -1.196116 1.7685606 1.8922609 7.9955914 803555.04
86 2 24 66000031 28800000 0.88103258 -1.1964406 1.7691114 1.894219 7.9975658 803641.25
87 2 25 67200031 30000000 0.87893364 -1.1961392 1.7680873 1.8903479 8.0134616 803484.41
88 2 26 68400031 31200000 0.87994539 -1.1967056 1.7657608 1.8889726 8.0063239 803352.06
89 2 27 69600031 32400000 0.88017853 -1.196655 1.7648918 1.888504 7.9882579 803531.89
90 2 28 70800031 33600000 0.87976718 -1.1967589 1.7670478 1.889939 8.009245 803467.01
91 2 29 72000031 34800000 0.88063804 -1.1964865 1.7684694 1.8929393 8.0110602 803453.71
92 2 30 73200031 36000000 0.87966285 -1.1967324 1.7669643 1.8897254 8.0115768 803335.71
93 2 31 74400031 37200000 0.87983404 -1.1969241 1.7667498 1.8895761 7.9883013 803509.99
