clustersize volume vol/Vtot Ncluster[i] pdf1 volume-pdf
0 0 0 1 0 0 0
1 8.11008 2.78265e-05 478 0.699854 0.0236166 0.00721701
2 16.2202 5.56529e-05 56 0.0819912 0.0083004 0.00253652
3 24.3302 8.34794e-05 19 0.0278184 0.00469368 0.00143434
4 32.4403 0.000111306 7 0.0102489 0.00242095 0.000739819
5 40.5504 0.000139132 7 0.0102489 0.00311265 0.000951195
7 56.7706 0.000194785 9 0.00658858 0.00266798 0.00081531
10 81.1008 0.000278265 3 0.00146413 0.000839921 0.000256672
20 162.202 0.000556529 19 0.00278184 0.00281621 0.000860605
30 243.302 0.000834794 13 0.00190337 0.00321146 0.000981392
40 324.403 0.00111306 7 0.00102489 0.00242095 0.000739819
50 405.504 0.00139132 9 0.00131772 0.00400198 0.00122297
60 486.605 0.00166959 8 0.0011713 0.00434783 0.00132865
70 567.706 0.00194785 5 0.000732064 0.00321146 0.000981392
100 811.008 0.00278265 12 0.000585652 0.00335968 0.00102669
200 1622.02 0.00556529 20 0.000292826 0.00296443 0.0009059
300 2433.02 0.00834794 8 0.00011713 0.00197628 0.000603933
400 3244.03 0.0111306 1 1.46413e-05 0.00034585 0.000105688
500 4055.04 0.0139132 1 1.46413e-05 0.000444664 0.000135885
600 4866.05 0.0166959 1 1.46413e-05 0.000543478 0.000166082
the total number of clusters with at least 2 elements is 205 nematic grid elements
 The total number of independent crystalline domains is:  683
 The average cluster size of crystalline domains is :  14.817
 The average volume fraction of crystalline domains is :  0.0048466
 The total number of crystalline grid elements is:  10120
 S_Ree globalNem Vtotal Ngrid crystallinity avenclust avenclust/Ngrid avevol avevol/Vtot
0 0.033753 291452 35937 0.30559 14.817 0.000412304 1412.55 0.0048466
